,anthem_male,anthem_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,0.6363076,0.53764004,"('unsociable', 'sociable')",-0.18720332,-0.2792635,0.2245521,0.1291883,-0.0953638
1,-0.033585437,-0.0657111,"('unfriendly', 'friendly')",1.7209793,1.5747383,0.843697,0.7545136,-0.0891834
2,0.103714414,0.16232204,"('unlikable', 'likable')",0.27211967,0.27751932,0.187917,0.2199207,0.0320037
3,0.3046118,0.45602834,"('repellent', 'pleasant')",0.055449214,0.1283331,0.1800305,0.2921807,0.1121502
4,-1.4481024,-1.5711137,"('disliked', 'liked')",-6.187943,-6.106198,-3.8180227,-3.8386557,-0.020633
5,-0.8923847,-0.8824534,"('distant', 'outgoing')",-0.1868193,-0.23298277,-0.539602,-0.5577181,-0.0181161
6,-1.2438986,-1.2069395,"('distant', 'open')",-0.15737192,-0.24494751,-0.7006353,-0.7259435,-0.0253082
7,1.7576059,1.8301814,"('insensitive', 'sensitive')",0.8459504,0.9353524,1.3017782,1.3827668,0.0809886
8,0.18771979,0.21632363,"('unaffectionate', 'affectionate')",0.94779015,0.80343056,0.567755,0.5098771,-0.0578779
9,0.99814165,1.0432665,"('unaffectionate', 'caring')",1.0790223,0.9930639,1.038582,1.0181652,-0.0204168
10,1.3109618,1.4030212,"('unsympathetic', 'sympathetic')",-0.42222118,-0.36722258,0.4443703,0.5178993,0.073529
11,0.44929874,0.532199,"('unhelpful', 'helpful')",2.0035827,2.0958922,1.2264407,1.3140457,0.087605
12,0.9101065,1.0028868,"('unsupportive', 'supportive')",-1.405253,-1.308783,-0.2475733,-0.1529481,0.0946252
13,1.0496787,0.8592356,"('impolite', 'polite')",-0.64645934,-0.69559675,0.2016097,0.0818194,-0.1197903
14,0.9999105,0.9518906,"('antisocial', 'social')",-0.5915472,-0.53279227,0.2041816,0.2095492,0.0053676
15,-0.4018168,-0.5045482,"('boring', 'funny')",0.25440302,0.19953603,-0.0737069,-0.1525061,-0.0787992
16,-1.4809409,-1.4749737,"('unpopular', 'popular')",0.013483904,0.06792061,-0.7337285,-0.7035266,0.0302019
17,-0.42641822,-0.38605228,"('nasty', 'nice')",-0.25862306,-0.18727924,-0.3425207,-0.2866658,0.0558549
18,0.04263802,0.041058406,"('disagreeable', 'welcoming')",-0.12925866,-0.1713303,-0.0433103,-0.0651359,-0.0218256
19,-0.9581355,-0.88132244,"('inhospitable', 'hospitable')",0.34202743,0.35841852,-0.308054,-0.261452,0.046602
20,0.62836576,0.6703271,"('rough', 'thoughtful')",1.098282,1.1044431,0.8633239,0.8873851,0.0240612
21,0.98876536,1.0257283,"('immoral', 'moral')",-0.33711603,-0.17144838,0.3258247,0.42714,0.1013153
22,-0.05830712,-0.082499474,"('untrustworthy', 'trustworthy')",-0.80960166,-0.7922434,-0.4339544,-0.4373714,-0.003417
23,2.0614884,2.12771,"('insincere', 'sincere')",5.7863793,5.6829896,3.923934,3.9053497,-0.0185843
24,1.6371171,1.6318322,"('dishonest', 'honest')",0.7865246,0.7067954,1.2118208,1.1693138,-0.042507
25,0.106072724,0.08826132,"('egoistic', 'altruistic')",1.4932483,1.4655578,0.7996606,0.7769096,-0.022751
26,0.75578046,0.61194146,"('hardhearted', 'benevolent')",1.5681746,1.494661,1.1619775,1.0533012,-0.1086763
27,1.2730112,1.2958436,"('hardhearted', 'softhearted')",1.7250136,1.62711,1.4990125,1.4614768,-0.0375357
28,1.0650096,1.011274,"('disloyal', 'loyal')",1.1488483,1.0673016,1.1069289,1.0392878,-0.0676411
29,-1.1478007,-1.1542112,"('unfair', 'fair')",-0.17409647,-0.34982163,-0.6609486,-0.7520164,-0.0910678
30,1.3413358,1.2911601,"('intolerant', 'tolerant')",1.3949499,1.3716487,1.3681428,1.3314044,-0.0367384
31,-1.7861625,-1.7552022,"('evil', 'good')",-0.9175089,-0.9787529,-1.3518357,-1.3669776,-0.0151419
32,1.2733876,1.1952684,"('unkind', 'kind')",1.0471088,0.8984128,1.1602482,1.0468407,-0.1134075
33,0.25019646,0.1437924,"('wrong', 'right')",-0.3242494,-0.46108598,-0.0370265,-0.1586468,-0.1216203
34,0.8729,1.0233946,"('mean', 'honorable')",5.6812344,5.773419,3.2770672,3.3984067,0.1213395
35,-1.1161706,-1.2192501,"('corrupt', 'incorrupt')",-0.36334503,-0.57643485,-0.7397578,-0.8978425,-0.1580847
36,-1.4087096,-1.4628931,"('hostile', 'amicable')",-0.1950492,-0.45330012,-0.8018794,-0.9580966,-0.1562172
37,-0.195781,-0.12908986,"('fake', 'genuine')",0.32750982,0.29931062,0.0658644,0.0851104,0.019246
38,0.40576845,0.43762392,"('untruthful', 'truthful')",0.014988632,0.03867926,0.2103785,0.2381516,0.0277731
39,1.3308866,1.3564577,"('exploitative', 'cooperative')",0.012198392,-0.026858391,0.6715425,0.6647996,-0.0067429
40,0.3427394,0.291474,"('stingy', 'generous')",-1.4085429,-1.4628232,-0.5329018,-0.5856746,-0.0527728
