,occidental_male,occidental_female,tuple,petroleum_male,petroleum_female,corp_male,corp_female,average_male,average_female,female-male
0,-2.7396746,-2.862732,"('unsociable', 'sociable')",0.47124258,0.32050592,-0.1660352,-0.30249697,-0.811489,-0.948241,-0.136752
1,-1.6177891,-1.7614473,"('unfriendly', 'friendly')",1.6403567,1.3577242,1.2487693,1.1163832,0.4237789,0.2375534,-0.1862255
2,-0.029796403,-0.0101487,"('unlikable', 'likable')",1.4593971,1.4766822,0.87792885,0.8865451,0.7691765,0.7843595,0.015183
3,-0.2928482,-0.28811517,"('repellent', 'pleasant')",-0.32291073,-0.3175874,1.0719887,1.1146191,0.1520766,0.1696389,0.0175623
4,0.19881594,0.23517579,"('disliked', 'liked')",-0.35185137,-0.45920134,-7.1098776,-7.199938,-2.4209711,-2.4746545,-0.0536834
5,0.09499854,0.11481057,"('distant', 'outgoing')",-0.57917684,-0.60478824,-0.930696,-0.9810269,-0.4716248,-0.4903348,-0.01871
6,0.29981256,0.30696747,"('distant', 'open')",-0.57208335,-0.66976917,-0.7114698,-0.7796609,-0.3279135,-0.3808209,-0.0529074
7,-0.92429894,-0.9375181,"('insensitive', 'sensitive')",1.0420035,1.0793792,0.6433758,0.68320954,0.2536935,0.2750235,0.02133
8,-1.352637,-1.4292979,"('unaffectionate', 'affectionate')",0.39559358,0.267977,0.41520056,0.38234863,-0.1806143,-0.2596574,-0.0790431
9,-1.8773057,-1.9623767,"('unaffectionate', 'caring')",0.79459006,0.6924208,1.0581461,1.0576215,-0.0081899,-0.0707781,-0.0625882
10,-2.4451401,-2.5227053,"('unsympathetic', 'sympathetic')",-0.24515331,-0.34472147,-0.16242011,-0.15788554,-0.9509044,-1.0084375,-0.0575331
11,-1.5821888,-1.5567968,"('unhelpful', 'helpful')",0.7998915,0.8220856,1.6079992,1.6970961,0.2752339,0.320795,0.0455611
12,-1.3329182,-1.3637081,"('unsupportive', 'supportive')",0.86639947,0.84676325,-1.824388,-1.8284607,-0.7636356,-0.7818019,-0.0181663
13,-1.7675967,-1.8363028,"('impolite', 'polite')",0.34088466,0.4084161,-0.6369003,-0.6265864,-0.6878708,-0.6848244,0.0030464
14,-1.9590484,-1.9622949,"('antisocial', 'social')",1.0423027,1.0911968,0.08068839,-0.027553916,-0.2786858,-0.2995507,-0.0208649
15,0.3439131,0.2755794,"('boring', 'funny')",0.34404933,0.2759873,-0.14772558,-0.1975624,0.1800789,0.1180014,-0.0620775
16,0.15430023,0.10502646,"('unpopular', 'popular')",-0.29737967,-0.44479588,0.36607558,0.29043037,0.074332,-0.0164464,-0.0907784
17,-0.38606247,-0.22382717,"('nasty', 'nice')",-1.1856703,-1.1066613,-0.5446312,-0.5059689,-0.7054547,-0.6121525,0.0933022
18,0.3786568,0.3971661,"('disagreeable', 'welcoming')",-0.16459024,-0.19771414,-0.7664721,-0.85013014,-0.1841352,-0.2168927,-0.0327575
19,-1.3411397,-1.2312475,"('inhospitable', 'hospitable')",-1.5943379,-1.6076307,-1.1032219,-0.98963535,-1.3462332,-1.2761712,0.070062
20,-0.6244866,-0.56407905,"('rough', 'thoughtful')",-0.5685481,-0.52061164,0.5763314,0.6130594,-0.2055678,-0.1572104,0.0483574
21,-1.0498024,-1.1270373,"('immoral', 'moral')",1.5273039,1.42202,-0.23711321,-0.20607665,0.0801294,0.0296353,-0.0504941
22,-0.4738827,-0.4688913,"('untrustworthy', 'trustworthy')",0.65603197,0.53741693,-0.7034185,-0.78733134,-0.1737564,-0.2396019,-0.0658455
23,-1.4166628,-1.552816,"('insincere', 'sincere')",0.8554513,0.7913416,5.8308535,5.7490807,1.7565473,1.6625353,-0.094012
24,-0.91396946,-1.0146157,"('dishonest', 'honest')",1.4728158,1.4475062,0.5675863,0.59744686,0.3754776,0.3434458,-0.0320318
25,0.6650065,0.59119534,"('egoistic', 'altruistic')",1.1470139,1.0121381,1.2119519,1.1842566,1.0079908,0.9291967,-0.0787941
26,-0.38235077,-0.5144426,"('hardhearted', 'benevolent')",1.3344996,1.2652,1.6133585,1.5709852,0.8551691,0.7739142,-0.0812549
27,-0.1581338,-0.15096751,"('hardhearted', 'softhearted')",-0.019117795,0.07498534,1.0731297,1.0121828,0.298626,0.3120669,0.0134409
28,-1.2579511,-1.4026481,"('disloyal', 'loyal')",0.9725077,0.7362094,0.911264,0.8253421,0.2086069,0.0529678,-0.1556391
29,0.20404662,0.18771198,"('unfair', 'fair')",-0.13112275,-0.14906862,-0.16010797,-0.2993054,-0.0290614,-0.0868873,-0.0578259
30,-1.1501111,-1.1897717,"('intolerant', 'tolerant')",0.29433057,0.27683485,0.77838916,0.7160221,-0.0257971,-0.0656382,-0.0398411
31,0.6276226,0.70317066,"('evil', 'good')",-0.60734725,-0.66510046,-1.0013722,-1.008756,-0.3270323,-0.3235619,0.0034704
32,-1.1256528,-1.2454529,"('unkind', 'kind')",0.32554704,0.2551492,0.8425719,0.6966506,0.0141554,-0.0978844,-0.1120398
33,1.0163445,0.9327398,"('wrong', 'right')",1.5228492,1.4482603,-0.44946247,-0.5012803,0.6965771,0.6265732,-0.0700039
34,-0.45947117,-0.3607778,"('mean', 'honorable')",-0.096816525,-0.046101533,5.013622,5.2126756,1.485778,1.601932,0.116154
35,1.814026,1.7955365,"('corrupt', 'incorrupt')",-1.3645028,-1.4627575,-0.97443384,-1.1073678,-0.1749702,-0.2581962,-0.083226
36,0.4627351,0.38150093,"('hostile', 'amicable')",-1.3298554,-1.6591115,-0.52274615,-0.69235456,-0.4632889,-0.656655,-0.1933661
37,-0.83096594,-0.7977535,"('fake', 'genuine')",0.13606334,0.15201128,-0.065567434,-0.04408272,-0.25349,-0.2299416,0.0235484
38,-0.6059089,-0.69259036,"('untruthful', 'truthful')",0.83744204,0.6987282,-0.1784925,-0.14956512,0.0176802,-0.0478091,-0.0654893
39,-0.15177703,-0.13810602,"('exploitative', 'cooperative')",0.6495351,0.82227594,0.3288574,0.38414943,0.2755385,0.3561064,0.0805679
40,0.6279622,0.5693934,"('stingy', 'generous')",0.6768808,0.6096393,-1.9575326,-2.0473006,-0.2175632,-0.2894226,-0.0718594
41,-1.2656348,-1.271485,"('unforgiving', 'forgiving')",0.5064211,0.38061106,-0.20276691,-0.29859525,-0.3206602,-0.3964897,-0.0758295
42,1.0371774,1.1066511,"('unreliable', 'reliable')",0.7771155,0.84776103,-2.5637627,-2.5597827,-0.2498233,-0.2017902,0.0480331
43,-1.6795937,-1.648809,"('irresponsible', 'responsible')",0.43489915,0.5403107,0.4834352,0.51057017,-0.2537531,-0.1993094,0.0544437
44,1.4210777,1.5425993,"('prejudiced', 'unprejudiced')",-0.46608505,-0.27857903,-1.1872818,-1.2302547,-0.0774297,0.0112552,0.0886849
45,-2.165668,-2.1490827,"('incompetent', 'competent')",0.41116464,0.32435608,0.13031533,0.08707062,-0.541396,-0.5792187,-0.0378227
46,-1.9462647,-1.9551977,"('uncompetitive', 'competitive')",0.4830274,0.4816147,-0.83651406,-0.844049,-0.7665838,-0.772544,-0.0059602
47,-0.9033992,-0.85325646,"('stupid', 'smart')",0.52845424,0.54504097,5.4767556,5.550488,1.7006035,1.7474241,0.0468206
48,-1.1837051,-1.2716322,"('unintelligent', 'intelligent')",1.3520368,1.3014251,0.6707468,0.7189845,0.2796928,0.2495925,-0.0301003
49,-1.3227911,-1.1814393,"('unable', 'able')",-0.77936,-0.6708964,-0.9079087,-0.82947993,-1.0033533,-0.8939385,0.1094148
50,0.45692146,0.48307228,"('clumsy', 'skillful')",0.02164013,-0.053463474,-0.11543508,-0.17989357,0.1210422,0.0832384,-0.0378038
51,-1.324888,-1.4683753,"('uneducated', 'educated')",-0.6574126,-0.72101045,0.002668701,-0.044497475,-0.6598773,-0.7446278,-0.0847505
52,0.36839002,0.2447762,"('irrational', 'rational')",0.5987051,0.4119278,0.17515239,0.019348025,0.3807492,0.2253507,-0.1553985
53,-1.2545459,-1.3812004,"('uncreative', 'creative')",0.8940586,0.67987007,0.3413595,0.18829235,-0.0063759,-0.1710127,-0.1646368
54,-0.765232,-0.8751293,"('incapable', 'capable')",-0.22169672,-0.25996464,0.55198014,0.55661345,-0.1449829,-0.1928268,-0.0478439
55,-2.4943697,-2.5605173,"('incompetent', 'clever')",0.66217464,0.66230124,0.37418577,0.38695985,-0.4860031,-0.5037521,-0.017749
56,-1.3247089,-1.3240131,"('impractical', 'practical')",0.8593069,0.90058875,-0.45716363,-0.46101266,-0.3075219,-0.2948123,0.0127096
57,-1.1990904,-1.2247924,"('unimaginative', 'imaginative')",0.26292568,0.15797995,-2.8693233,-2.896641,-1.268496,-1.3211511,-0.0526551
58,-1.4658124,-1.4309502,"('undiscriminating', 'discriminating')",0.47091305,0.4130035,-0.1301956,-0.12894501,-0.3750317,-0.3822972,-0.0072655
59,0.9163093,0.9003483,"('foolish', 'wise')",0.97193843,0.8797754,0.18320295,0.17345539,0.6904836,0.651193,-0.0392906
60,-2.324835,-2.3084526,"('inefficient', 'efficient')",0.5193497,0.6933683,-0.17177427,-0.047897305,-0.6590865,-0.5543272,0.1047593
61,-1.2232732,-1.3311816,"('illogical', 'logical')",1.3310559,1.2453892,0.68010986,0.55549085,0.2626309,0.1565661,-0.1060648
62,-1.8785739,-1.8548014,"('incompetent', 'brilliant')",1.0589781,1.2186575,0.40632793,0.5099376,-0.137756,-0.0420688,0.0956872
63,-1.5876473,-1.5900409,"('unperceptive', 'insightful')",1.0362457,0.980229,0.27533072,0.32627866,-0.0920236,-0.0945111,-0.0024875
64,-0.4258651,-0.47690308,"('shy', 'confident')",0.90807194,0.9011651,-5.7585654,-5.864612,-1.7587862,-1.81345,-0.0546638
65,-0.77679193,-0.8696223,"('insecure', 'secure')",0.6612389,0.6651141,0.24442379,0.2799027,0.0429569,0.0251315,-0.0178254
66,0.18849026,0.16537069,"('inactive', 'active')",-1.0755086,-1.0958346,0.4583821,0.42396784,-0.1428787,-0.168832,-0.0259533
67,-0.007947594,0.01498045,"('doubtful', 'determined')",-0.47905612,-0.39416605,-0.4725246,-0.47940415,-0.3198428,-0.2861966,0.0336462
68,-0.35040024,-0.35820878,"('dependent', 'independent')",-1.3726487,-1.4171255,-1.2150364,-1.1980807,-0.9793618,-0.9911383,-0.0117765
69,2.047009,2.1712577,"('lazy', 'industrious')",0.6753642,0.64532787,-0.6794657,-0.6538009,0.6809692,0.7209282,0.039959
70,-1.1863205,-1.1640348,"('lethargic', 'energetic')",-0.25389305,-0.11928391,0.06786549,0.11296433,-0.4574494,-0.3901181,0.0673313
71,-0.5778956,-0.6459237,"('diffident', 'self-confident')",0.84696627,0.7924523,0.13671474,0.07009433,0.1352618,0.0722076,-0.0630542
72,-1.036711,-1.035351,"('unambitious', 'ambitious')",0.6767124,0.69370085,-0.33423138,-0.29597118,-0.23141,-0.2125405,0.0188695
73,1.441,1.4434372,"('helpless', 'self-reliant')",1.1674314,1.1156856,-3.4676254,-3.3927462,-0.286398,-0.2778745,0.0085235
74,-0.7602256,-0.7517727,"('undedicated', 'dedicated')",0.05826376,0.07325779,-0.45291895,-0.476999,-0.3849603,-0.3851713,-0.000211
75,0.93225,1.0582235,"('meek', 'impulsive')",-1.0428665,-1.0687428,-0.79572535,-0.73018557,-0.3021139,-0.2469016,0.0552123
76,-0.5235247,-0.4821827,"('anxious', 'daring')",0.030755434,0.20142657,-0.17731062,-0.13036974,-0.22336,-0.137042,0.086318
77,-1.3126428,-1.3756102,"('unmotivated', 'motivated')",0.52935475,0.40236124,-1.029082,-0.89174014,-0.6041234,-0.621663,-0.0175396
78,-1.0537354,-1.0146004,"('nonresilient', 'resilient')",0.523795,0.45511112,0.03985447,0.055584937,-0.163362,-0.1679681,-0.0046061
79,0.6969471,0.6891965,"('wavering', 'unwavering')",-0.37045613,-0.56207365,-0.6833111,-0.66755706,-0.11894,-0.1801447,-0.0612047
80,-0.22396727,-0.25935617,"('dominated', 'dominating')",0.05158695,0.22417155,-0.6839262,-0.5142717,-0.2854355,-0.1831521,0.1022834
81,-1.2628056,-1.3408347,"('submissive', 'aggressive')",0.07329209,0.1435288,-0.5638937,-0.43274677,-0.584469,-0.5433509,0.0411181
82,-0.5333745,-0.58095,"('poor', 'rich')",0.31103948,0.17990094,6.319626,6.2694325,2.0324303,1.9561278,-0.0763025
83,-0.7939747,-0.80174,"('powerless', 'powerful')",0.15845877,0.17811328,-1.1084818,-1.0980035,-0.5813326,-0.5738767,0.0074559
84,0.08327193,0.054547105,"('inferior', 'superior')",0.7702002,0.72805464,0.6639406,0.63281035,0.5058042,0.4718041,-0.0340001
85,0.8043821,0.78836924,"('insignificant', 'prestigious')",0.8579588,0.6798307,-0.4078781,-0.4546922,0.4181542,0.3378359,-0.0803183
86,-2.8648834,-3.0351555,"('uninfluential', 'influential')",0.4097911,0.24859479,-0.44073123,-0.5218855,-0.9652746,-1.1028155,-0.1375409
87,-0.78390354,-0.8698927,"('unsuccessful', 'successful')",1.1105975,1.0419269,0.70785534,0.7974155,0.3448497,0.3231499,-0.0216998
88,-0.40103918,-0.48379642,"('low', 'eminent')",-0.084810495,-0.19714117,-0.45998442,-0.5149967,-0.315278,-0.3986448,-0.0833668
