,dover_male,dover_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.6772185,0.5752898,"('unsociable', 'sociable')",0.08376399,0.0665407,0.3804913,0.3209153,-0.059576
1,0.03050036,-0.06877701,"('unfriendly', 'friendly')",1.2528675,1.0317678,0.6416839,0.4814954,-0.1601885
2,0.5735812,0.6348963,"('unlikable', 'likable')",0.56300277,0.5281955,0.568292,0.5815459,0.0132539
3,0.08813586,0.27734694,"('repellent', 'pleasant')",0.6563317,0.7645944,0.3722338,0.5209706,0.1487368
4,-1.1344922,-1.0803276,"('disliked', 'liked')",-7.111118,-7.1705074,-4.1228051,-4.1254177,-0.0026126
5,-0.88048416,-0.98503494,"('distant', 'outgoing')",-0.523116,-0.64282674,-0.7018001,-0.8139309,-0.1121308
6,-0.40384015,-0.51834005,"('distant', 'open')",-0.5041063,-0.6769174,-0.4539732,-0.5976287,-0.1436555
7,0.77279854,0.8990023,"('insensitive', 'sensitive')",0.62739223,0.6968959,0.7000954,0.7979491,0.0978537
8,-0.19382711,-0.22243765,"('unaffectionate', 'affectionate')",0.5675464,0.36481234,0.1868597,0.0711873,-0.1156724
9,0.5779801,0.641955,"('unaffectionate', 'caring')",1.1614052,1.0632205,0.8696927,0.8525878,-0.0171049
10,1.3679595,1.3536986,"('unsympathetic', 'sympathetic')",-0.07320309,-0.01754039,0.6473782,0.6680791,0.0207009
11,0.48730916,0.46327168,"('unhelpful', 'helpful')",2.034248,2.147671,1.2607787,1.3054713,0.0446926
12,0.6533783,0.7420335,"('unsupportive', 'supportive')",-1.7034926,-1.685048,-0.5250572,-0.4715073,0.0535499
13,1.3104006,1.112954,"('impolite', 'polite')",-0.3644145,-0.27894428,0.472993,0.4170049,-0.0559881
14,1.7235955,1.7153516,"('antisocial', 'social')",0.21396956,0.28569537,0.9687825,1.0005234,0.0317409
15,-0.37079632,-0.5279621,"('boring', 'funny')",-0.104238294,-0.14090696,-0.2375173,-0.3344345,-0.0969172
16,-2.2249641,-2.1883974,"('unpopular', 'popular')",0.047443666,-0.0059748366,-1.0887603,-1.0971861,-0.0084258
17,-0.3447781,-0.33591998,"('nasty', 'nice')",-0.55582464,-0.51080805,-0.4503013,-0.423364,0.0269373
18,-0.55885386,-0.56395954,"('disagreeable', 'welcoming')",-0.5373779,-0.6278751,-0.5481158,-0.5959173,-0.0478015
19,-1.6161536,-1.6364739,"('inhospitable', 'hospitable')",-0.77649254,-0.80475545,-1.196323,-1.2206147,-0.0242917
20,-0.11744798,-0.09397349,"('rough', 'thoughtful')",0.7207856,0.69357854,0.3016688,0.2998025,-0.0018663
21,0.9931416,0.98556507,"('immoral', 'moral')",-0.043457747,0.119085886,0.4748419,0.5523255,0.0774836
22,1.1052248,1.0301689,"('untrustworthy', 'trustworthy')",-0.653051,-0.6110131,0.2260869,0.2095779,-0.016509
23,1.3574355,1.3950685,"('insincere', 'sincere')",6.09121,6.1983867,3.7243228,3.7967277,0.0724049
24,1.7074052,1.7312521,"('dishonest', 'honest')",1.0795088,1.1088811,1.3934569,1.4200666,0.0266097
25,0.64434165,0.6982665,"('egoistic', 'altruistic')",0.80134726,0.6551515,0.7228445,0.676709,-0.0461355
26,0.19002242,0.040938266,"('hardhearted', 'benevolent')",1.2322612,1.0496876,0.7111418,0.5453129,-0.1658289
27,0.24943414,0.2830012,"('hardhearted', 'softhearted')",1.0412924,0.9145142,0.6453633,0.5987577,-0.0466056
28,0.39545006,0.4576999,"('disloyal', 'loyal')",1.3508532,1.3024812,0.8731517,0.8800905,0.0069388
29,-0.74712527,-0.759471,"('unfair', 'fair')",-0.2381316,-0.35588664,-0.4926284,-0.5576788,-0.0650504
30,1.3686062,1.3534969,"('intolerant', 'tolerant')",1.0980203,1.1095021,1.2333133,1.2314994,-0.0018139
31,-1.6618631,-1.6918361,"('evil', 'good')",-1.2426639,-1.4176244,-1.4522635,-1.5547302,-0.1024667
32,0.10193225,0.08446255,"('unkind', 'kind')",0.5876587,0.49004978,0.3447955,0.2872562,-0.0575393
33,0.22464429,0.11814044,"('wrong', 'right')",-0.42238206,-0.48955095,-0.0988689,-0.1857053,-0.0868364
34,0.28226402,0.2787888,"('mean', 'honorable')",5.490871,5.6256742,2.8865676,2.9522314,0.0656638
35,-1.0099632,-1.0730436,"('corrupt', 'incorrupt')",-0.81292623,-0.9446674,-0.9114447,-1.0088555,-0.0974108
36,-0.85484475,-0.8964112,"('hostile', 'amicable')",-0.48123196,-0.65687805,-0.6680384,-0.7766446,-0.1086062
37,0.45716068,0.42397898,"('fake', 'genuine')",0.2760532,0.3239993,0.366607,0.3739891,0.0073821
38,-0.006389145,0.017749228,"('untruthful', 'truthful')",-0.0053268224,0.13065693,-0.005858,0.0742031,0.0800611
39,1.4779997,1.5133624,"('exploitative', 'cooperative')",0.19407007,0.18185997,0.8360349,0.8476112,0.0115763
40,0.9764925,1.1104065,"('stingy', 'generous')",-1.7886044,-1.8477361,-0.4060559,-0.3686648,0.0373911
41,0.57383156,0.5720132,"('unforgiving', 'forgiving')",0.025977846,-0.07546313,0.2999047,0.248275,-0.0516297
42,0.25279757,0.32444617,"('unreliable', 'reliable')",-2.908769,-2.937619,-1.3279856,-1.3065864,0.0213992
43,0.3188373,0.36346415,"('irresponsible', 'responsible')",0.6232743,0.6338096,0.4710558,0.4986369,0.0275811
44,-1.3264941,-1.367716,"('prejudiced', 'unprejudiced')",-1.7731907,-1.806014,-1.5498424,-1.5868649,-0.0370225
45,0.64321303,0.67598104,"('incompetent', 'competent')",0.18761133,0.1957116,0.4154122,0.4358463,0.0204341
46,0.47284925,0.47105557,"('uncompetitive', 'competitive')",-0.64569175,-0.530573,-0.0864213,-0.0297587,0.0566626
47,0.660791,0.6422048,"('stupid', 'smart')",5.6167083,5.73089,3.1387496,3.1865473,0.0477977
48,0.98309267,0.9308333,"('unintelligent', 'intelligent')",1.0614078,1.0531317,1.0222502,0.9919825,-0.0302677
49,-0.40156278,-0.3725047,"('unable', 'able')",-0.23238786,-0.10185162,-0.3169753,-0.2371782,0.0797971
50,-1.4913347,-1.4553773,"('clumsy', 'skillful')",-0.26960418,-0.33314073,-0.8804694,-0.894259,-0.0137896
51,0.11118534,0.004988957,"('uneducated', 'educated')",0.37981522,0.37299967,0.2455003,0.1889943,-0.056506
52,-1.4262557,-1.4479691,"('irrational', 'rational')",-0.21866608,-0.32492572,-0.8224609,-0.8864474,-0.0639865
53,0.19508615,0.14510074,"('uncreative', 'creative')",0.23212105,0.15000907,0.2136036,0.1475549,-0.0660487
