,morphology_male,morphology_female,tuple,average_male,average_female,female-male
0,0.30342093,0.07200602,"('unsociable', 'sociable')",0.3034209,0.072006,-0.2314149
1,0.93410456,0.8463452,"('unfriendly', 'friendly')",0.9341046,0.8463452,-0.0877594
2,0.45643744,0.618791,"('unlikable', 'likable')",0.4564374,0.618791,0.1623536
3,0.920331,1.0169024,"('repellent', 'pleasant')",0.920331,1.0169024,0.0965714
4,-7.100329,-7.209765,"('disliked', 'liked')",-7.1003289,-7.209765,-0.1094361
5,-0.61995983,-0.45533547,"('distant', 'outgoing')",-0.6199598,-0.4553355,0.1646243
6,-0.3640094,-0.22193508,"('distant', 'open')",-0.3640094,-0.2219351,0.1420743
7,0.6245577,0.59562975,"('insensitive', 'sensitive')",0.6245577,0.5956298,-0.0289279
8,0.7693597,0.75411046,"('unaffectionate', 'affectionate')",0.7693597,0.7541105,-0.0152492
9,1.2296886,1.3359262,"('unaffectionate', 'caring')",1.2296886,1.3359262,0.1062376
10,1.571647,1.5927056,"('unsympathetic', 'sympathetic')",1.571647,1.5927056,0.0210586
11,2.222842,2.2088444,"('unhelpful', 'helpful')",2.222842,2.2088444,-0.0139976
12,-1.4717754,-1.5185814,"('unsupportive', 'supportive')",-1.4717754,-1.5185814,-0.046806
13,0.5823362,0.48766595,"('impolite', 'polite')",0.5823362,0.487666,-0.0946702
14,-0.04927055,-0.23491873,"('antisocial', 'social')",-0.0492706,-0.2349187,-0.1856481
15,0.32841048,0.20233218,"('boring', 'funny')",0.3284105,0.2023322,-0.1260783
16,-0.50301313,-0.45324478,"('unpopular', 'popular')",-0.5030131,-0.4532448,0.0497683
17,-0.18273182,-0.12103976,"('nasty', 'nice')",-0.1827318,-0.1210398,0.061692
18,-0.81823146,-0.90057045,"('disagreeable', 'welcoming')",-0.8182315,-0.9005705,-0.082339
19,-0.68215483,-0.5564851,"('inhospitable', 'hospitable')",-0.6821548,-0.5564851,0.1256697
20,0.68231994,0.5075909,"('rough', 'thoughtful')",0.6823199,0.5075909,-0.174729
21,0.18447974,0.35399404,"('immoral', 'moral')",0.1844797,0.353994,0.1695143
22,-0.3952775,-0.4345043,"('untrustworthy', 'trustworthy')",-0.3952775,-0.4345043,-0.0392268
23,6.16983,6.1551843,"('insincere', 'sincere')",6.1698298,6.1551843,-0.0146455
