,kellogg_male,kellogg_female,tuple,co_male,co_female,average_male,average_female,female-male
0,0.22368991,0.07662471,"('unsociable', 'sociable')",-0.07339046,-0.17621554,0.0751497,-0.0497954,-0.1249451
1,2.593412,2.497082,"('unfriendly', 'friendly')",2.297051,2.1184373,2.4452314,2.3077598,-0.1374716
2,-0.11032883,-0.043360796,"('unlikable', 'likable')",0.3403162,0.46275407,0.1149937,0.2096966,0.0947029
3,-1.9934872,-1.9786686,"('repellent', 'pleasant')",-0.224242,-0.14536732,-1.1088647,-1.0620179,0.0468468
4,0.37308764,0.33724397,"('disliked', 'liked')",-6.972714,-7.1618004,-3.2998133,-3.4122782,-0.1124649
5,1.5528677,1.5697749,"('distant', 'outgoing')",0.09819307,0.14408234,0.8255304,0.8569286,0.0313982
6,1.2670171,1.335508,"('distant', 'open')",0.3902686,0.44144246,0.8286428,0.8884752,0.0598324
7,-0.67876494,-0.66088396,"('insensitive', 'sensitive')",-0.0807036,-0.023965139,-0.3797343,-0.3424245,0.0373098
8,1.6524805,1.6740872,"('unaffectionate', 'affectionate')",1.3049477,1.1751958,1.4787141,1.4246415,-0.0540726
9,2.0712323,2.0582738,"('unaffectionate', 'caring')",1.567627,1.498906,1.8194296,1.77859,-0.0408396
10,-0.90271425,-0.9558144,"('unsympathetic', 'sympathetic')",-0.27232316,-0.3444884,-0.5875187,-0.6501514,-0.0626327
11,-0.7897828,-0.88757014,"('unhelpful', 'helpful')",1.581021,1.5856586,0.3956191,0.3490442,-0.0465749
12,1.494062,1.5262438,"('unsupportive', 'supportive')",-1.487702,-1.495634,0.00318,0.0153049,0.0121249
13,-0.59987915,-0.68413407,"('impolite', 'polite')",-0.7623506,-0.72640836,-0.6811149,-0.7052712,-0.0241563
14,-0.7339348,-0.8124202,"('antisocial', 'social')",-0.84339607,-0.9045722,-0.7886654,-0.8584962,-0.0698308
15,1.1912602,1.1336601,"('boring', 'funny')",0.6285177,0.6134131,0.909889,0.8735366,-0.0363524
16,-0.72371715,-0.63226795,"('unpopular', 'popular')",-0.22012055,-0.20058125,-0.4719189,-0.4164246,0.0554943
17,-0.38347435,-0.30144256,"('nasty', 'nice')",-0.46536484,-0.4108468,-0.4244196,-0.3561447,0.0682749
18,-0.03493821,0.05467144,"('disagreeable', 'welcoming')",-0.9250522,-0.9190998,-0.4799952,-0.4322142,0.047781
19,0.76636225,0.79833716,"('inhospitable', 'hospitable')",0.2972632,0.35863858,0.5318127,0.5784879,0.0466752
20,0.64684814,0.71271354,"('rough', 'thoughtful')",0.49920648,0.4884168,0.5730273,0.6005652,0.0275379
21,-0.36852574,-0.42335838,"('immoral', 'moral')",-1.2371709,-1.1749821,-0.8028483,-0.7991703,0.003678
22,-1.4763691,-1.6389458,"('untrustworthy', 'trustworthy')",-1.2688082,-1.3495089,-1.3725886,-1.4942274,-0.1216388
23,0.2377235,0.19741732,"('insincere', 'sincere')",5.8164544,5.8419876,3.0270889,3.0197024,-0.0073865
