,cigna_male,cigna_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,-0.84420216,-0.8632673,"('unsociable', 'sociable')",-0.21290725,-0.32283375,-0.5285547,-0.5930505,-0.0644958
1,-0.88805604,-0.8565437,"('unfriendly', 'friendly')",1.1400813,0.96895736,0.1260126,0.0562068,-0.0698058
2,1.3715852,1.4776077,"('unlikable', 'likable')",0.94997776,0.9903451,1.1607815,1.2339764,0.0731949
3,-0.42384556,-0.28930488,"('repellent', 'pleasant')",1.1142725,1.1913904,0.3452135,0.4510428,0.1058293
4,0.09178779,0.057901863,"('disliked', 'liked')",-7.300688,-7.4882894,-3.60445,-3.7151937,-0.1107437
5,-0.3269781,-0.35279053,"('distant', 'outgoing')",-0.64023757,-0.7161431,-0.4836078,-0.5344668,-0.050859
6,-0.67435277,-0.6220567,"('distant', 'open')",-0.42060465,-0.5029002,-0.5474787,-0.5624784,-0.0149997
7,-0.9149348,-0.8705098,"('insensitive', 'sensitive')",0.09440159,0.194984,-0.4102666,-0.3377629,0.0725037
8,-0.23098081,-0.31389594,"('unaffectionate', 'affectionate')",0.5082335,0.4260804,0.1386263,0.0560922,-0.0825341
9,-0.39676356,-0.42732692,"('unaffectionate', 'caring')",0.97466004,0.9622491,0.2889482,0.2674611,-0.0214871
10,-1.0001408,-1.073607,"('unsympathetic', 'sympathetic')",-0.2698569,-0.2833818,-0.6349989,-0.6784944,-0.0434955
11,-0.6489502,-0.7151564,"('unhelpful', 'helpful')",1.2827883,1.3683066,0.316919,0.3265751,0.0096561
12,-0.075248,0.064806834,"('unsupportive', 'supportive')",-2.2369843,-2.2677655,-1.1561161,-1.1014793,0.0546368
13,-1.3053821,-1.3293903,"('impolite', 'polite')",-0.99758744,-0.93363947,-1.1514847,-1.1315149,0.0199698
14,0.28992411,0.30432403,"('antisocial', 'social')",0.2893759,0.21017185,0.28965,0.2572479,-0.0324021
15,0.89120674,0.68316233,"('boring', 'funny')",0.1505523,0.08178383,0.5208795,0.3824731,-0.1384064
16,0.08677695,0.14429945,"('unpopular', 'popular')",0.482463,0.38876164,0.28462,0.2665305,-0.0180895
17,-0.07470983,0.035428196,"('nasty', 'nice')",-0.6384065,-0.6118652,-0.3565582,-0.2882185,0.0683397
18,-0.22346084,0.015134841,"('disagreeable', 'welcoming')",-0.68695354,-0.7562284,-0.4552072,-0.3705468,0.0846604
19,-0.9232428,-0.9356117,"('inhospitable', 'hospitable')",-0.96301943,-0.86954963,-0.9431311,-0.9025807,0.0405504
20,0.5325422,0.6218774,"('rough', 'thoughtful')",0.9717691,0.93461186,0.7521557,0.7782446,0.0260889
21,0.012936009,-0.015932065,"('immoral', 'moral')",-0.14433208,-0.090595186,-0.065698,-0.0532636,0.0124344
22,0.05677408,0.0866241,"('untrustworthy', 'trustworthy')",-0.870834,-0.94812506,-0.40703,-0.4307505,-0.0237205
23,-0.69990593,-0.677755,"('insincere', 'sincere')",5.625187,5.684351,2.4626405,2.503298,0.0406575
24,-0.14727226,-0.2445191,"('dishonest', 'honest')",0.64266837,0.5979158,0.2476981,0.1766984,-0.0709997
25,0.6145067,0.6109035,"('egoistic', 'altruistic')",1.2314192,1.1560491,0.922963,0.8834763,-0.0394867
26,1.169029,1.1003078,"('hardhearted', 'benevolent')",1.524069,1.4016074,1.346549,1.2509576,-0.0955914
27,-0.074920505,-0.115900084,"('hardhearted', 'softhearted')",1.2492236,1.1836895,0.5871515,0.5338947,-0.0532568
28,0.12002685,-0.098319575,"('disloyal', 'loyal')",1.0795866,0.9226372,0.5998067,0.4121588,-0.1876479
29,-0.16117197,-0.27963442,"('unfair', 'fair')",-0.09944099,-0.2694818,-0.1303065,-0.2745581,-0.1442516
