,illegal_male,illegal_female,tuple,average_male,average_female,female-male
0,-0.5830004,-0.62427133,"('unsociable', 'sociable')",-0.5830004,-0.6242713,-0.0412709
1,1.3294806,1.3610367,"('unfriendly', 'friendly')",1.3294806,1.3610367,0.0315561
2,-0.5869293,-0.4750292,"('unlikable', 'likable')",-0.5869293,-0.4750292,0.1119001
3,0.6343532,0.64765525,"('repellent', 'pleasant')",0.6343532,0.6476552,0.013302
4,-7.47883,-7.57289,"('disliked', 'liked')",-7.4788299,-7.5728898,-0.0940599
5,-0.7851455,-0.7065689,"('distant', 'outgoing')",-0.7851455,-0.7065689,0.0785766
6,-0.031696446,-0.042072468,"('distant', 'open')",-0.0316964,-0.0420725,-0.0103761
7,0.30997494,0.37283462,"('insensitive', 'sensitive')",0.3099749,0.3728346,0.0628597
8,1.3900743,1.3819643,"('unaffectionate', 'affectionate')",1.3900743,1.3819643,-0.00811
9,1.3394905,1.3998786,"('unaffectionate', 'caring')",1.3394905,1.3998786,0.0603881
10,0.38339096,0.3841782,"('unsympathetic', 'sympathetic')",0.383391,0.3841782,0.0007872
11,0.97056603,0.9997089,"('unhelpful', 'helpful')",0.970566,0.9997089,0.0291429
12,-2.4921281,-2.4487648,"('unsupportive', 'supportive')",-2.4921281,-2.4487648,0.0433633
13,-0.959667,-0.9743774,"('impolite', 'polite')",-0.959667,-0.9743774,-0.0147104
14,-0.35442513,-0.44170183,"('antisocial', 'social')",-0.3544251,-0.4417018,-0.0872767
15,-0.18446365,-0.22919226,"('boring', 'funny')",-0.1844636,-0.2291923,-0.0447287
16,-0.9776462,-0.91990536,"('unpopular', 'popular')",-0.9776462,-0.9199054,0.0577408
17,-1.3470093,-1.1846664,"('nasty', 'nice')",-1.3470093,-1.1846664,0.1623429
18,-0.2984193,-0.30529076,"('disagreeable', 'welcoming')",-0.2984193,-0.3052908,-0.0068715
19,-1.1145728,-1.1058818,"('inhospitable', 'hospitable')",-1.1145728,-1.1058818,0.008691
20,0.58527946,0.5452079,"('rough', 'thoughtful')",0.5852795,0.5452079,-0.0400716
21,-1.0599158,-0.97334707,"('immoral', 'moral')",-1.0599158,-0.9733471,0.0865687
