,tattler_male,tattler_female,tuple,average_male,average_female,female-male
0,-0.15392137,-0.22046642,"('unsociable', 'sociable')",-0.1539214,-0.2204664,-0.066545
1,-0.18762441,-0.24717265,"('unfriendly', 'friendly')",-0.1876244,-0.2471727,-0.0595483
2,-0.38617337,-0.46199498,"('unlikable', 'likable')",-0.3861734,-0.461995,-0.0758216
3,-0.663975,-0.56871194,"('repellent', 'pleasant')",-0.663975,-0.5687119,0.0952631
4,-2.2062979,-2.2257524,"('disliked', 'liked')",-2.2062979,-2.2257524,-0.0194545
5,-0.24855609,-0.22160015,"('distant', 'outgoing')",-0.2485561,-0.2216001,0.026956
6,-0.45873046,-0.40949968,"('distant', 'open')",-0.4587305,-0.4094997,0.0492308
7,0.050158504,0.20561036,"('insensitive', 'sensitive')",0.0501585,0.2056104,0.1554519
8,-0.44609064,-0.5784645,"('unaffectionate', 'affectionate')",-0.4460906,-0.5784645,-0.1323739
9,-0.28833082,-0.28272083,"('unaffectionate', 'caring')",-0.2883308,-0.2827208,0.00561
10,-0.6296151,-0.6145766,"('unsympathetic', 'sympathetic')",-0.6296151,-0.6145766,0.0150385
11,0.6546718,0.75711507,"('unhelpful', 'helpful')",0.6546718,0.7571151,0.1024433
12,-0.7800986,-0.7102217,"('unsupportive', 'supportive')",-0.7800986,-0.7102217,0.0698769
13,-0.22306846,-0.35454586,"('impolite', 'polite')",-0.2230685,-0.3545459,-0.1314774
14,-0.0603055,-0.10384287,"('antisocial', 'social')",-0.0603055,-0.1038429,-0.0435374
15,0.49946377,0.4573628,"('boring', 'funny')",0.4994638,0.4573628,-0.042101
16,-0.7790156,-0.8716707,"('unpopular', 'popular')",-0.7790156,-0.8716707,-0.0926551
17,-0.52690923,-0.52311355,"('nasty', 'nice')",-0.5269092,-0.5231135,0.0037957
18,-1.0533919,-1.1045157,"('disagreeable', 'welcoming')",-1.0533919,-1.1045157,-0.0511238
19,-0.5110643,-0.39068517,"('inhospitable', 'hospitable')",-0.5110643,-0.3906852,0.1203791
20,-0.1356784,-0.098905645,"('rough', 'thoughtful')",-0.1356784,-0.0989056,0.0367728
21,-0.3279889,-0.3661956,"('immoral', 'moral')",-0.3279889,-0.3661956,-0.0382067
22,-0.34162584,-0.28447866,"('untrustworthy', 'trustworthy')",-0.3416258,-0.2844787,0.0571471
23,1.7555345,1.7058606,"('insincere', 'sincere')",1.7555345,1.7058606,-0.0496739
24,-0.104167566,-0.10529427,"('dishonest', 'honest')",-0.1041676,-0.1052943,-0.0011267
25,0.112859435,0.15506926,"('egoistic', 'altruistic')",0.1128594,0.1550693,0.0422099
26,0.2121116,0.06844463,"('hardhearted', 'benevolent')",0.2121116,0.0684446,-0.143667
27,0.8258834,0.86641085,"('hardhearted', 'softhearted')",0.8258834,0.8664109,0.0405275
28,-0.12675428,-0.1587294,"('disloyal', 'loyal')",-0.1267543,-0.1587294,-0.0319751
29,-0.14096782,-0.16744946,"('unfair', 'fair')",-0.1409678,-0.1674495,-0.0264817
30,0.49961394,0.46130592,"('intolerant', 'tolerant')",0.4996139,0.4613059,-0.038308
31,-0.59673226,-0.58168757,"('evil', 'good')",-0.5967323,-0.5816876,0.0150447
32,0.053483903,-0.11489152,"('unkind', 'kind')",0.0534839,-0.1148915,-0.1683754
33,-0.20118448,-0.30334288,"('wrong', 'right')",-0.2011845,-0.3033429,-0.1021584
34,1.3434927,1.4786084,"('mean', 'honorable')",1.3434927,1.4786084,0.1351157
35,-0.25534636,-0.3077646,"('corrupt', 'incorrupt')",-0.2553464,-0.3077646,-0.0524182
36,-0.5218071,-0.46951282,"('hostile', 'amicable')",-0.5218071,-0.4695128,0.0522943
37,0.1532015,0.16599095,"('fake', 'genuine')",0.1532015,0.1659909,0.0127894
38,-0.065873876,-0.01978587,"('untruthful', 'truthful')",-0.0658739,-0.0197859,0.046088
39,0.21268986,0.18024957,"('exploitative', 'cooperative')",0.2126899,0.1802496,-0.0324403
40,-1.3919168,-1.5360773,"('stingy', 'generous')",-1.3919168,-1.5360773,-0.1441605
41,-0.112562716,-0.2232016,"('unforgiving', 'forgiving')",-0.1125627,-0.2232016,-0.1106389
42,-1.1007353,-0.9759687,"('unreliable', 'reliable')",-1.1007353,-0.9759687,0.1247666
43,-0.041576043,-0.040453836,"('irresponsible', 'responsible')",-0.041576,-0.0404538,0.0011222
44,-0.8942705,-0.93168926,"('prejudiced', 'unprejudiced')",-0.8942705,-0.9316893,-0.0374188
45,-0.35444635,-0.32882872,"('incompetent', 'competent')",-0.3544464,-0.3288287,0.0256177
46,-0.6211158,-0.66481763,"('uncompetitive', 'competitive')",-0.6211158,-0.6648176,-0.0437018
47,1.9489508,1.9962767,"('stupid', 'smart')",1.9489508,1.9962767,0.0473259
48,-0.50255394,-0.6259721,"('unintelligent', 'intelligent')",-0.5025539,-0.6259721,-0.1234182
49,-0.08894074,0.003922593,"('unable', 'able')",-0.0889407,0.0039226,0.0928633
50,-0.33345854,-0.30793652,"('clumsy', 'skillful')",-0.3334585,-0.3079365,0.025522
51,0.31364995,0.22723417,"('uneducated', 'educated')",0.31365,0.2272342,-0.0864158
52,0.020533007,-0.04311218,"('irrational', 'rational')",0.020533,-0.0431122,-0.0636452
53,-0.9503805,-0.88979656,"('uncreative', 'creative')",-0.9503805,-0.8897966,0.0605839
54,0.038114242,0.09536441,"('incapable', 'capable')",0.0381142,0.0953644,0.0572502
55,0.28072453,0.29819417,"('incompetent', 'clever')",0.2807245,0.2981942,0.0174697
56,0.70191395,0.73458195,"('impractical', 'practical')",0.701914,0.7345819,0.0326679
57,-1.4606179,-1.4456685,"('unimaginative', 'imaginative')",-1.4606179,-1.4456685,0.0149494
58,0.37462583,0.37428772,"('undiscriminating', 'discriminating')",0.3746258,0.3742877,-0.0003381
59,0.30589253,0.34306175,"('foolish', 'wise')",0.3058925,0.3430617,0.0371692
60,0.70149976,0.68507296,"('inefficient', 'efficient')",0.7014998,0.685073,-0.0164268
61,-0.055453643,-0.076192625,"('illogical', 'logical')",-0.0554536,-0.0761926,-0.020739
62,0.061591223,0.10474505,"('incompetent', 'brilliant')",0.0615912,0.1047451,0.0431539
63,0.0029810257,0.051871233,"('unperceptive', 'insightful')",0.002981,0.0518712,0.0488902
64,-2.077243,-2.1069958,"('shy', 'confident')",-2.0772431,-2.1069958,-0.0297527
65,-0.0033621509,-0.0227743,"('insecure', 'secure')",-0.0033622,-0.0227743,-0.0194121
66,-1.4766033,-1.4995809,"('inactive', 'active')",-1.4766033,-1.4995809,-0.0229776
67,0.10768221,-0.0754991,"('doubtful', 'determined')",0.1076822,-0.0754991,-0.1831813
68,-0.100945905,-0.11073862,"('dependent', 'independent')",-0.1009459,-0.1107386,-0.0097927
69,-1.1310583,-1.2241765,"('lazy', 'industrious')",-1.1310583,-1.2241765,-0.0931182
70,-0.16159207,-0.15669645,"('lethargic', 'energetic')",-0.1615921,-0.1566965,0.0048956
71,-0.10788903,-0.15284231,"('diffident', 'self-confident')",-0.107889,-0.1528423,-0.0449533
72,-0.57777405,-0.5835001,"('unambitious', 'ambitious')",-0.577774,-0.5835001,-0.0057261
73,-0.3972012,-0.29332,"('helpless', 'self-reliant')",-0.3972012,-0.29332,0.1038812
74,-0.0025511086,-0.08115375,"('undedicated', 'dedicated')",-0.0025511,-0.0811538,-0.0786027
75,-0.62808686,-0.65811676,"('meek', 'impulsive')",-0.6280869,-0.6581168,-0.0300299
76,-0.5179822,-0.5569516,"('anxious', 'daring')",-0.5179822,-0.5569516,-0.0389694
77,-1.0083172,-0.9242444,"('unmotivated', 'motivated')",-1.0083172,-0.9242444,0.0840728
78,-0.4217197,-0.34770656,"('nonresilient', 'resilient')",-0.4217197,-0.3477066,0.0740131
79,-1.1565758,-1.1347061,"('wavering', 'unwavering')",-1.1565758,-1.1347061,0.0218697
80,0.027153216,0.11696741,"('dominated', 'dominating')",0.0271532,0.1169674,0.0898142
81,-0.16554372,-0.26020887,"('submissive', 'aggressive')",-0.1655437,-0.2602089,-0.0946652
82,1.7274736,1.7769645,"('poor', 'rich')",1.7274736,1.7769645,0.0494909
83,-0.035414234,0.024714736,"('powerless', 'powerful')",-0.0354142,0.0247147,0.0601289
84,0.5197796,0.47881287,"('inferior', 'superior')",0.5197796,0.4788129,-0.0409667
85,-0.50347984,-0.561425,"('insignificant', 'prestigious')",-0.5034798,-0.561425,-0.0579452
86,-0.8121932,-0.93314236,"('uninfluential', 'influential')",-0.8121932,-0.9331424,-0.1209492
87,-0.14554717,-0.20154816,"('unsuccessful', 'successful')",-0.1455472,-0.2015482,-0.056001
88,-0.5056653,-0.47706455,"('low', 'eminent')",-0.5056653,-0.4770645,0.0286008
