,astrology_male,astrology_female,tuple,average_male,average_female,female-male
0,-0.3394738,-0.4669504,"('unsociable', 'sociable')",-0.3394738,-0.4669504,-0.1274766
1,0.8388113,0.7333018,"('unfriendly', 'friendly')",0.8388113,0.7333018,-0.1055095
2,0.31781983,0.34330583,"('unlikable', 'likable')",0.3178198,0.3433058,0.025486
3,-0.71749985,-0.7285195,"('repellent', 'pleasant')",-0.7174999,-0.7285195,-0.0110196
4,-2.884976,-2.9459584,"('disliked', 'liked')",-2.8849759,-2.9459584,-0.0609825
5,-1.6247007,-1.5852755,"('distant', 'outgoing')",-1.6247007,-1.5852755,0.0394252
6,-1.5233258,-1.4737511,"('distant', 'open')",-1.5233258,-1.4737511,0.0495747
7,-0.24152224,-0.22629917,"('insensitive', 'sensitive')",-0.2415222,-0.2262992,0.015223
8,0.6931109,0.64144874,"('unaffectionate', 'affectionate')",0.6931109,0.6414487,-0.0516622
9,0.58475035,0.5460556,"('unaffectionate', 'caring')",0.5847504,0.5460556,-0.0386948
10,-1.2435851,-1.2467055,"('unsympathetic', 'sympathetic')",-1.2435851,-1.2467055,-0.0031204
11,1.0285252,1.037686,"('unhelpful', 'helpful')",1.0285252,1.037686,0.0091608
12,-0.9374024,-0.9086054,"('unsupportive', 'supportive')",-0.9374024,-0.9086054,0.028797
13,-0.8723402,-0.88502234,"('impolite', 'polite')",-0.8723402,-0.8850223,-0.0126821
14,-0.20753229,-0.2466678,"('antisocial', 'social')",-0.2075323,-0.2466678,-0.0391355
15,0.62998205,0.60092854,"('boring', 'funny')",0.6299821,0.6009285,-0.0290536
16,0.3783222,0.26595208,"('unpopular', 'popular')",0.3783222,0.2659521,-0.1123701
17,-0.4241969,-0.42564124,"('nasty', 'nice')",-0.4241969,-0.4256412,-0.0014443
18,-0.19153085,-0.1677919,"('disagreeable', 'welcoming')",-0.1915309,-0.1677919,0.023739
19,-1.1007735,-1.1052681,"('inhospitable', 'hospitable')",-1.1007735,-1.1052681,-0.0044946
20,0.9489088,0.96948755,"('rough', 'thoughtful')",0.9489088,0.9694875,0.0205787
