,westrock_male,westrock_female,tuple,co_male,co_female,average_male,average_female,female-male
0,-0.26401487,-0.40465483,"('unsociable', 'sociable')",-0.0066990014,-0.1467679,-0.1353569,-0.2757114,-0.1403545
1,-1.092401,-1.21634,"('unfriendly', 'friendly')",1.1931623,1.0899346,0.0503806,-0.0632027,-0.1135833
2,0.7613509,0.8738158,"('unlikable', 'likable')",0.93367106,1.0791875,0.847511,0.9765016,0.1289906
3,-0.102841154,0.0057677813,"('repellent', 'pleasant')",0.51239127,0.5526937,0.2047751,0.2792307,0.0744556
4,-0.22483619,-0.22477227,"('disliked', 'liked')",-6.855103,-6.9168663,-3.5399697,-3.5708194,-0.0308497
5,-1.0639727,-0.9176286,"('distant', 'outgoing')",-0.60456,-0.47587487,-0.8342664,-0.6967517,0.1375147
6,-1.5715157,-1.4026492,"('distant', 'open')",-0.6936118,-0.5671637,-1.1325637,-0.9849064,0.1476573
7,0.41712406,0.37079108,"('insensitive', 'sensitive')",-0.18916395,-0.18249252,0.1139801,0.0941493,-0.0198308
8,-0.74010277,-0.78032887,"('unaffectionate', 'affectionate')",0.36419356,0.29759502,-0.1879546,-0.2413669,-0.0534123
9,-0.32184035,-0.33684033,"('unaffectionate', 'caring')",1.0148665,0.9885258,0.3465131,0.3258427,-0.0206704
10,0.11384639,0.050766647,"('unsympathetic', 'sympathetic')",-0.14533357,-0.22195886,-0.0157436,-0.0855961,-0.0698525
11,0.20082162,0.18578376,"('unhelpful', 'helpful')",2.2597225,2.2185264,1.2302721,1.2021551,-0.028117
12,-0.28247452,-0.17132294,"('unsupportive', 'supportive')",-1.9892979,-1.954393,-1.1358862,-1.062858,0.0730282
13,0.33646202,0.2062302,"('impolite', 'polite')",0.037430182,-0.015826559,0.1869461,0.0952018,-0.0917443
14,0.99355686,0.97548795,"('antisocial', 'social')",0.13854611,0.065933734,0.5660515,0.5207108,-0.0453407
15,0.2678424,0.1844802,"('boring', 'funny')",0.72885424,0.7033284,0.4983483,0.4439043,-0.054444
16,-0.89661676,-0.9433803,"('unpopular', 'popular')",-0.0010414943,-0.06632653,-0.4488291,-0.5048534,-0.0560243
17,-0.3255662,-0.34404632,"('nasty', 'nice')",0.011519205,-0.034056425,-0.1570235,-0.1890514,-0.0320279
18,-0.7899544,-0.70342326,"('disagreeable', 'welcoming')",-1.0723151,-1.0584269,-0.9311348,-0.8809251,0.0502097
19,-1.2429628,-1.1936599,"('inhospitable', 'hospitable')",-0.5991073,-0.5567007,-0.9210351,-0.8751803,0.0458548
20,-0.06537924,-0.10769608,"('rough', 'thoughtful')",0.3131447,0.29938415,0.1238827,0.095844,-0.0280387
21,0.2586367,0.22469975,"('immoral', 'moral')",-0.5085738,-0.48054233,-0.1249685,-0.1279213,-0.0029528
22,0.6536936,0.7389916,"('untrustworthy', 'trustworthy')",-0.26050285,-0.26808172,0.1965954,0.2354549,0.0388595
23,0.7165931,0.60752845,"('insincere', 'sincere')",5.8311563,5.7417846,3.2738748,3.1746564,-0.0992184
24,0.55785537,0.48643026,"('dishonest', 'honest')",0.9581284,0.92172706,0.7579919,0.7040787,-0.0539132
25,-0.36898798,-0.44796133,"('egoistic', 'altruistic')",0.9864537,0.8959953,0.3087329,0.224017,-0.0847159
26,-0.23955473,-0.31151164,"('hardhearted', 'benevolent')",1.4430617,1.3206146,0.6017535,0.5045515,-0.097202
27,-1.2780545,-1.2694705,"('hardhearted', 'softhearted')",0.41756192,0.3869959,-0.4302463,-0.4412373,-0.010991
28,0.18913473,0.009168301,"('disloyal', 'loyal')",0.91120654,0.68978405,0.5501707,0.3494762,-0.2006945
29,-0.20185976,-0.20886889,"('unfair', 'fair')",-0.40088814,-0.47326845,-0.301374,-0.3410687,-0.0396947
30,0.8521765,0.8580241,"('intolerant', 'tolerant')",0.96567976,1.044829,0.9089282,0.9514266,0.0424984
31,-1.3272994,-1.1192865,"('evil', 'good')",-1.1370482,-1.1018549,-1.2321738,-1.1105707,0.1216031
32,-0.08045108,-0.3168774,"('unkind', 'kind')",1.1257967,0.92779934,0.5226728,0.305461,-0.2172118
33,0.08599268,0.09073445,"('wrong', 'right')",-0.60489875,-0.63343334,-0.259453,-0.2713494,-0.0118964
34,-0.16515836,-0.0304438,"('mean', 'honorable')",5.1334643,5.2421136,2.484153,2.605835,0.121682
35,-0.6654728,-0.78694564,"('corrupt', 'incorrupt')",-0.8630729,-0.907048,-0.7642728,-0.8469968,-0.082724
