,wingtip_male,wingtip_female,tuple,average_male,average_female,female-male
0,0.5126372,0.16661641,"('unsociable', 'sociable')",0.5126372,0.1666164,-0.3460208
1,-0.8516151,-0.9196271,"('unfriendly', 'friendly')",-0.8516151,-0.9196271,-0.068012
2,0.015502747,0.1335082,"('unlikable', 'likable')",0.0155027,0.1335082,0.1180055
3,0.09817714,0.34831193,"('repellent', 'pleasant')",0.0981771,0.3483119,0.2501348
4,-3.4973152,-3.4162872,"('disliked', 'liked')",-3.4973152,-3.4162872,0.081028
5,-2.1147463,-2.031514,"('distant', 'outgoing')",-2.1147463,-2.0315139,0.0832324
6,-2.514612,-2.4253767,"('distant', 'open')",-2.514612,-2.4253767,0.0892353
7,1.1171484,1.2882713,"('insensitive', 'sensitive')",1.1171484,1.2882713,0.1711229
8,-0.7626207,-0.77402854,"('unaffectionate', 'affectionate')",-0.7626207,-0.7740285,-0.0114078
9,-0.46672815,-0.45527267,"('unaffectionate', 'caring')",-0.4667282,-0.4552727,0.0114555
10,0.8019135,0.5940151,"('unsympathetic', 'sympathetic')",0.8019135,0.5940151,-0.2078984
11,1.5105364,1.4472041,"('unhelpful', 'helpful')",1.5105364,1.4472041,-0.0633323
12,-0.7356584,-0.6434889,"('unsupportive', 'supportive')",-0.7356584,-0.6434889,0.0921695
13,0.7342017,0.3763991,"('impolite', 'polite')",0.7342017,0.3763991,-0.3578026
14,1.2570709,1.2505552,"('antisocial', 'social')",1.2570709,1.2505552,-0.0065157
15,-0.013558354,-0.17331643,"('boring', 'funny')",-0.0135584,-0.1733164,-0.159758
16,-1.0458026,-0.9625446,"('unpopular', 'popular')",-1.0458026,-0.9625446,0.083258
17,-0.48944783,-0.3929454,"('nasty', 'nice')",-0.4894478,-0.3929454,0.0965024
18,-0.63739264,-0.6322923,"('disagreeable', 'welcoming')",-0.6373926,-0.6322923,0.0051003
19,-1.3693846,-1.3830472,"('inhospitable', 'hospitable')",-1.3693846,-1.3830472,-0.0136626
20,0.5654518,0.50135577,"('rough', 'thoughtful')",0.5654518,0.5013558,-0.064096
21,1.2527142,1.0748307,"('immoral', 'moral')",1.2527142,1.0748307,-0.1778835
22,0.42492002,0.36223716,"('untrustworthy', 'trustworthy')",0.42492,0.3622372,-0.0626828
23,3.0966449,3.0087154,"('insincere', 'sincere')",3.0966449,3.0087154,-0.0879295
24,0.17157203,-0.038689207,"('dishonest', 'honest')",0.171572,-0.0386892,-0.2102612
25,-0.5418913,-0.57867736,"('egoistic', 'altruistic')",-0.5418913,-0.5786774,-0.0367861
26,-0.09386408,-0.25693178,"('hardhearted', 'benevolent')",-0.0938641,-0.2569318,-0.1630677
27,0.01515444,-0.025831489,"('hardhearted', 'softhearted')",0.0151544,-0.0258315,-0.0409859
28,0.39273152,0.3122726,"('disloyal', 'loyal')",0.3927315,0.3122726,-0.0804589
29,-0.5490397,-0.7352129,"('unfair', 'fair')",-0.5490397,-0.7352129,-0.1861732
30,1.0106478,0.763248,"('intolerant', 'tolerant')",1.0106478,0.763248,-0.2473998
31,-2.6188142,-2.4544613,"('evil', 'good')",-2.6188142,-2.4544613,0.1643529
32,0.74918336,0.4535923,"('unkind', 'kind')",0.7491834,0.4535923,-0.2955911
33,-0.24596569,-0.19922386,"('wrong', 'right')",-0.2459657,-0.1992239,0.0467418
34,1.9850185,2.0313494,"('mean', 'honorable')",1.9850185,2.0313494,0.0463309
35,-0.9649407,-1.082877,"('corrupt', 'incorrupt')",-0.9649407,-1.082877,-0.1179363
36,-1.8413886,-1.613466,"('hostile', 'amicable')",-1.8413886,-1.613466,0.2279226
37,0.44965553,0.35218588,"('fake', 'genuine')",0.4496555,0.3521859,-0.0974696
38,-0.08048976,-0.23656833,"('untruthful', 'truthful')",-0.0804898,-0.2365683,-0.1560785
39,1.1509415,1.0959936,"('exploitative', 'cooperative')",1.1509415,1.0959936,-0.0549479
40,-1.8913618,-1.6030914,"('stingy', 'generous')",-1.8913618,-1.6030914,0.2882704
41,0.042737152,-0.015775932,"('unforgiving', 'forgiving')",0.0427372,-0.0157759,-0.0585131
42,-1.2936298,-1.1225765,"('unreliable', 'reliable')",-1.2936298,-1.1225765,0.1710533
43,0.7587465,0.48160765,"('irresponsible', 'responsible')",0.7587465,0.4816076,-0.2771389
44,-0.88017106,-0.9359061,"('prejudiced', 'unprejudiced')",-0.8801711,-0.9359061,-0.055735
45,-0.052368212,-0.022577403,"('incompetent', 'competent')",-0.0523682,-0.0225774,0.0297908
46,0.9835044,0.8520015,"('uncompetitive', 'competitive')",0.9835044,0.8520015,-0.1315029
47,2.2591085,2.3848267,"('stupid', 'smart')",2.2591085,2.3848267,0.1257182
