,arista_male,arista_female,tuple,networks_male,networks_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.8442585,-1.835064,"('unsociable', 'sociable')",0.5187895,0.41930085,-0.6896696,-0.8164874,-0.6717129,-0.7440835,-0.0723706
1,-0.93320996,-0.9608085,"('unfriendly', 'friendly')",0.26229367,0.053279698,1.6997159,1.5688462,0.3429332,0.2204391,-0.1224941
2,1.4266273,1.508801,"('unlikable', 'likable')",1.1937404,1.2817719,0.73773456,0.88141567,1.1193674,1.2239962,0.1046288
3,-0.6567587,-0.53272796,"('repellent', 'pleasant')",0.536804,0.66249096,-0.0881394,-0.071283095,-0.0693647,0.0194933,0.088858
4,-0.18040471,-0.20839731,"('disliked', 'liked')",-1.3872842,-1.5332998,-5.512928,-5.6264687,-2.3602057,-2.4560553,-0.0958496
5,0.3180919,0.27949792,"('distant', 'outgoing')",-0.46947625,-0.60658497,-0.081081666,-0.08722086,-0.0774887,-0.1381026,-0.0606139
6,0.40270722,0.41000113,"('distant', 'open')",-1.0481124,-1.216521,0.48772198,0.44182462,-0.0525611,-0.1215651,-0.069004
7,-1.103367,-0.9962482,"('insensitive', 'sensitive')",0.119804785,0.22846475,0.16344069,0.1528456,-0.2733738,-0.2049793,0.0683945
8,-0.11279525,-0.12997377,"('unaffectionate', 'affectionate')",-0.47702733,-0.5890516,0.5388421,0.41419327,-0.0169935,-0.1016107,-0.0846172
9,-0.22616847,-0.18378918,"('unaffectionate', 'caring')",0.13738894,0.069843784,0.57851946,0.51224506,0.1632467,0.1327666,-0.0304801
10,-1.946139,-1.8280226,"('unsympathetic', 'sympathetic')",0.1072447,0.18585381,-0.89072794,-0.925402,-0.909874,-0.8558569,0.0540171
11,-1.3115497,-1.2376069,"('unhelpful', 'helpful')",0.85168684,0.87440413,1.161733,1.2151344,0.2339567,0.2839772,0.0500205
12,-0.61576194,-0.39958143,"('unsupportive', 'supportive')",0.44256622,0.5408628,-1.8138065,-1.7738783,-0.6623341,-0.544199,0.1181351
13,-1.6101301,-1.527793,"('impolite', 'polite')",0.29652822,0.34677142,-0.60385346,-0.6045755,-0.6391518,-0.5951991,0.0439527
14,-0.6129025,-0.55024785,"('antisocial', 'social')",1.8411369,1.8943671,-0.71407074,-0.75905275,0.1713879,0.1950222,0.0236343
15,0.4648276,0.2975946,"('boring', 'funny')",-0.5425575,-0.62402976,0.6127933,0.5620443,0.1783545,0.0785364,-0.0998181
16,-0.34398553,-0.30261344,"('unpopular', 'popular')",-1.0282854,-1.0871319,0.47605556,0.47619623,-0.2987385,-0.3045163,-0.0057778
17,-0.08539896,-0.03729675,"('nasty', 'nice')",-1.0276453,-0.9911722,-0.3740896,-0.3069375,-0.4957113,-0.4451355,0.0505758
18,0.09058438,0.15687223,"('disagreeable', 'welcoming')",-0.12568752,-0.16731721,-0.29930717,-0.31953824,-0.1114701,-0.1099944,0.0014757
19,-0.67350507,-0.6137411,"('inhospitable', 'hospitable')",-1.3093206,-1.3327358,-0.13762248,-0.055667616,-0.706816,-0.6673815,0.0394345
20,0.058183722,0.1063882,"('rough', 'thoughtful')",0.31983986,0.42112535,1.1675377,1.1027701,0.5151871,0.5434279,0.0282408
21,-0.5320575,-0.4885101,"('immoral', 'moral')",0.57582504,0.62970173,-1.0038527,-0.988955,-0.3200284,-0.2825878,0.0374406
22,-0.26408136,-0.233008,"('untrustworthy', 'trustworthy')",0.7752715,0.78666437,-0.95008254,-1.0372244,-0.1462975,-0.1611894,-0.0148919
23,-1.238448,-1.1632993,"('insincere', 'sincere')",0.9378756,0.98116297,4.647272,4.5804315,1.4488999,1.4660983,0.0171984
24,0.00042690337,0.04559431,"('dishonest', 'honest')",-0.13755095,-0.13160807,0.41826764,0.3588276,0.0937145,0.0909379,-0.0027766
25,0.5977148,0.56896085,"('egoistic', 'altruistic')",0.4954195,0.36622763,1.6839516,1.5764511,0.9256953,0.8372132,-0.0884821
26,0.93557906,0.8921428,"('hardhearted', 'benevolent')",0.2769753,0.19313279,1.6893411,1.5889509,0.9672985,0.8914088,-0.0758897
27,0.16096976,0.23875111,"('hardhearted', 'softhearted')",0.079974696,0.071966186,1.2472653,1.1349711,0.4960699,0.4818962,-0.0141737
28,-0.54114133,-0.5886053,"('disloyal', 'loyal')",-0.04258091,-0.17930596,0.6292787,0.46965596,0.0151855,-0.0994184,-0.1146039
29,-0.99304616,-1.09289,"('unfair', 'fair')",-0.6856927,-0.76733905,-0.5818397,-0.70745724,-0.7535262,-0.8558954,-0.1023692
30,-0.7874771,-0.7449386,"('intolerant', 'tolerant')",1.7709993,1.7917941,1.0719488,1.0238845,0.685157,0.6902467,0.0050897
31,-0.31815326,-0.29156375,"('evil', 'good')",-1.2347686,-1.3821238,-0.34721768,-0.41764906,-0.6333799,-0.6971122,-0.0637323
32,-0.44373912,-0.4450744,"('unkind', 'kind')",0.3439632,0.36043927,0.3163346,0.20787466,0.0721862,0.0410798,-0.0311064
