,institute_male,institute_female,tuple,average_male,average_female,female-male
0,0.46651888,0.19612397,"('unsociable', 'sociable')",0.4665189,0.196124,-0.2703949
1,1.9205008,1.9641604,"('unfriendly', 'friendly')",1.9205008,1.9641604,0.0436596
2,0.7421418,0.73393637,"('unlikable', 'likable')",0.7421418,0.7339364,-0.0082054
3,0.6794653,0.8099645,"('repellent', 'pleasant')",0.6794653,0.8099645,0.1304992
4,-6.390557,-6.8400445,"('disliked', 'liked')",-6.3905568,-6.8400445,-0.4494877
5,-0.79788375,-0.6038586,"('distant', 'outgoing')",-0.7978837,-0.6038586,0.1940251
6,-0.42684639,-0.15486403,"('distant', 'open')",-0.4268464,-0.154864,0.2719824
7,1.392342,1.5003271,"('insensitive', 'sensitive')",1.392342,1.5003271,0.1079851
8,0.9534605,1.0552877,"('unaffectionate', 'affectionate')",0.9534605,1.0552877,0.1018272
9,1.3969343,1.5712419,"('unaffectionate', 'caring')",1.3969343,1.5712419,0.1743076
10,0.6455888,0.8022739,"('unsympathetic', 'sympathetic')",0.6455888,0.8022739,0.1566851
11,2.1626883,2.2329326,"('unhelpful', 'helpful')",2.1626883,2.2329326,0.0702443
12,-1.5288085,-1.4920084,"('unsupportive', 'supportive')",-1.5288085,-1.4920084,0.0368001
13,-0.6038067,-0.56568515,"('impolite', 'polite')",-0.6038067,-0.5656852,0.0381215
14,0.6949119,0.49497434,"('antisocial', 'social')",0.6949119,0.4949743,-0.1999376
15,0.58797824,0.30798066,"('boring', 'funny')",0.5879782,0.3079807,-0.2799975
16,-0.12482746,-0.120196536,"('unpopular', 'popular')",-0.1248275,-0.1201965,0.004631
17,-0.1599682,-0.09350143,"('nasty', 'nice')",-0.1599682,-0.0935014,0.0664668
18,-0.33423057,-0.17986771,"('disagreeable', 'welcoming')",-0.3342306,-0.1798677,0.1543629
19,-0.5694092,-0.4257639,"('inhospitable', 'hospitable')",-0.5694092,-0.4257639,0.1436453
