,intuitive_male,intuitive_female,tuple,surgical_male,surgical_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.31072307,-0.50587523,"('unsociable', 'sociable')",1.1852129,1.1920005,-0.4287083,-0.57137436,0.1485938,0.0382503,-0.1103435
1,-0.35253882,-0.21253939,"('unfriendly', 'friendly')",0.9323568,0.79033315,2.1979473,2.0876927,0.9259218,0.8884955,-0.0374263
2,-0.047075436,0.018768078,"('unlikable', 'likable')",0.46435052,0.5255299,0.40421492,0.53025436,0.27383,0.3581841,0.0843541
3,-0.21971498,-0.04802086,"('repellent', 'pleasant')",-1.043814,-0.8811333,0.25786328,0.3829285,-0.3352219,-0.1820752,0.1531467
4,-1.1683885,-1.0608324,"('disliked', 'liked')",-0.6630977,-0.6208451,-6.0589566,-6.2085466,-2.6301476,-2.6300747,7.29e-05
5,-0.5844297,-0.43032995,"('distant', 'outgoing')",-0.3369422,-0.37921622,-0.054192565,0.03262773,-0.3251881,-0.2589728,0.0662153
6,-0.71192825,-0.49781764,"('distant', 'open')",-0.06151525,-0.13617289,0.43171775,0.5449246,-0.1139086,-0.0296886,0.08422
7,0.7908755,0.8201005,"('insensitive', 'sensitive')",0.12542062,0.14703998,0.62125623,0.6694034,0.5125175,0.5455146,0.0329971
8,-0.23637763,-0.17407891,"('unaffectionate', 'affectionate')",0.33670932,0.20116705,0.93002397,0.90300775,0.3434519,0.310032,-0.0334199
9,0.89531124,0.97530645,"('unaffectionate', 'caring')",0.9362852,0.83293474,1.3921449,1.4391575,1.0745804,1.0824662,0.0078858
10,1.0344357,0.99045825,"('unsympathetic', 'sympathetic')",-0.06712873,-0.08195083,-0.68254066,-0.7023434,0.0949221,0.0687213,-0.0262008
11,0.9753134,0.9767396,"('unhelpful', 'helpful')",0.14205694,0.17021337,1.506404,1.6224198,0.8745915,0.9231243,0.0485328
12,1.6418803,1.8224294,"('unsupportive', 'supportive')",1.6576555,1.7082974,-1.4579195,-1.511756,0.6138721,0.6729903,0.0591182
