,deposition_male,deposition_female,tuple,average_male,average_female,female-male
0,-0.12151338,-0.1697074,"('unsociable', 'sociable')",-0.1215134,-0.1697074,-0.048194
1,1.3242861,1.1930752,"('unfriendly', 'friendly')",1.3242861,1.1930752,-0.1312109
2,0.14211574,0.24327092,"('unlikable', 'likable')",0.1421157,0.2432709,0.1011552
3,0.51365036,0.61034584,"('repellent', 'pleasant')",0.5136504,0.6103458,0.0966954
4,-7.4435296,-7.6092305,"('disliked', 'liked')",-7.4435296,-7.6092305,-0.1657009
5,-0.29804304,-0.37326202,"('distant', 'outgoing')",-0.298043,-0.373262,-0.075219
6,0.058337968,-0.06789648,"('distant', 'open')",0.058338,-0.0678965,-0.1262345
7,0.8548452,0.8582021,"('insensitive', 'sensitive')",0.8548452,0.8582021,0.0033569
8,1.2580608,1.0764328,"('unaffectionate', 'affectionate')",1.2580608,1.0764328,-0.181628
9,1.7755203,1.7636237,"('unaffectionate', 'caring')",1.7755203,1.7636237,-0.0118966
10,0.80809605,0.88007945,"('unsympathetic', 'sympathetic')",0.8080961,0.8800794,0.0719833
11,1.62241,1.7171468,"('unhelpful', 'helpful')",1.6224101,1.7171468,0.0947367
12,-1.5248326,-1.5844526,"('unsupportive', 'supportive')",-1.5248326,-1.5844526,-0.05962
13,-0.4451624,-0.3760505,"('impolite', 'polite')",-0.4451624,-0.3760505,0.0691119
14,-0.16552235,-0.23819366,"('antisocial', 'social')",-0.1655224,-0.2381937,-0.0726713
15,0.24580997,0.15396523,"('boring', 'funny')",0.24581,0.1539652,-0.0918448
16,-0.515498,-0.5175848,"('unpopular', 'popular')",-0.515498,-0.5175848,-0.0020868
17,-0.32487446,-0.3065077,"('nasty', 'nice')",-0.3248745,-0.3065077,0.0183668
18,-0.5173621,-0.5129769,"('disagreeable', 'welcoming')",-0.5173621,-0.5129769,0.0043852
19,-1.0001456,-0.9825706,"('inhospitable', 'hospitable')",-1.0001456,-0.9825706,0.017575
20,0.9669553,0.9087813,"('rough', 'thoughtful')",0.9669553,0.9087813,-0.058174
21,-0.59617627,-0.4052575,"('immoral', 'moral')",-0.5961763,-0.4052575,0.1909188
22,-0.5454517,-0.54604816,"('untrustworthy', 'trustworthy')",-0.5454517,-0.5460482,-0.0005965
23,6.280301,6.3900623,"('insincere', 'sincere')",6.2803011,6.3900623,0.1097612
24,1.480166,1.4297901,"('dishonest', 'honest')",1.480166,1.4297901,-0.0503759
25,0.421673,0.38818175,"('egoistic', 'altruistic')",0.421673,0.3881817,-0.0334913
26,0.94927424,0.6986485,"('hardhearted', 'benevolent')",0.9492742,0.6986485,-0.2506257
