,shop_male,shop_female,tuple,average_male,average_female,female-male
0,0.4744324,0.1660046,"('unsociable', 'sociable')",0.4744324,0.1660046,-0.3084278
1,1.5109742,1.5684552,"('unfriendly', 'friendly')",1.5109742,1.5684552,0.057481
2,0.40043357,0.5613062,"('unlikable', 'likable')",0.4004336,0.5613062,0.1608726
3,0.3604981,0.5367323,"('repellent', 'pleasant')",0.3604981,0.5367323,0.1762342
4,-6.939737,-6.9571037,"('disliked', 'liked')",-6.9397368,-6.9571037,-0.0173669
5,-0.30622706,-0.16201618,"('distant', 'outgoing')",-0.3062271,-0.1620162,0.1442109
6,0.10486128,0.27117223,"('distant', 'open')",0.1048613,0.2711722,0.1663109
7,0.8761156,1.070159,"('insensitive', 'sensitive')",0.8761156,1.070159,0.1940434
8,1.0221956,1.0040609,"('unaffectionate', 'affectionate')",1.0221956,1.0040609,-0.0181347
9,1.9131395,2.0701196,"('unaffectionate', 'caring')",1.9131395,2.0701196,0.1569801
10,0.9184559,0.97650605,"('unsympathetic', 'sympathetic')",0.9184559,0.9765061,0.0580502
11,2.252095,2.3796678,"('unhelpful', 'helpful')",2.252095,2.3796678,0.1275728
12,-1.605179,-1.627737,"('unsupportive', 'supportive')",-1.605179,-1.627737,-0.022558
13,0.36597422,0.22332777,"('impolite', 'polite')",0.3659742,0.2233278,-0.1426464
14,-0.34785318,-0.5270167,"('antisocial', 'social')",-0.3478532,-0.5270167,-0.1791635
15,0.5546166,0.4495171,"('boring', 'funny')",0.5546166,0.4495171,-0.1050995
16,0.24885435,0.4256866,"('unpopular', 'popular')",0.2488544,0.4256866,0.1768322
17,-0.040404495,-0.06961901,"('nasty', 'nice')",-0.0404045,-0.069619,-0.0292145
18,-0.9872749,-0.9437904,"('disagreeable', 'welcoming')",-0.9872749,-0.9437904,0.0434845
19,-0.2222643,-0.043067817,"('inhospitable', 'hospitable')",-0.2222643,-0.0430678,0.1791965
20,0.52609646,0.4584406,"('rough', 'thoughtful')",0.5260965,0.4584406,-0.0676559
21,-0.10638202,0.14216432,"('immoral', 'moral')",-0.106382,0.1421643,0.2485463
22,-0.8781506,-0.866809,"('untrustworthy', 'trustworthy')",-0.8781506,-0.866809,0.0113416
23,6.957943,7.1591606,"('insincere', 'sincere')",6.957943,7.1591606,0.2012176
24,1.5971458,1.6895223,"('dishonest', 'honest')",1.5971458,1.6895223,0.0923765
25,0.4296117,0.53288656,"('egoistic', 'altruistic')",0.4296117,0.5328866,0.1032749
26,0.4293782,0.3155658,"('hardhearted', 'benevolent')",0.4293782,0.3155658,-0.1138124
27,1.3840239,1.4107223,"('hardhearted', 'softhearted')",1.3840239,1.4107223,0.0266984
28,1.3084033,1.3099426,"('disloyal', 'loyal')",1.3084033,1.3099426,0.0015393
29,-0.5144794,-0.66184974,"('unfair', 'fair')",-0.5144794,-0.6618497,-0.1473703
30,1.0612822,1.160843,"('intolerant', 'tolerant')",1.0612822,1.160843,0.0995608
31,-1.5356317,-1.5180148,"('evil', 'good')",-1.5356317,-1.5180148,0.0176169
32,1.5479783,1.4829463,"('unkind', 'kind')",1.5479783,1.4829463,-0.065032
33,-0.19601342,-0.18409929,"('wrong', 'right')",-0.1960134,-0.1840993,0.0119141
34,5.1542034,5.4891114,"('mean', 'honorable')",5.1542034,5.4891114,0.334908
35,-1.4207339,-1.5373783,"('corrupt', 'incorrupt')",-1.4207339,-1.5373783,-0.1166444
36,-0.77359897,-0.8066861,"('hostile', 'amicable')",-0.773599,-0.8066861,-0.0330871
37,0.62364,0.7534692,"('fake', 'genuine')",0.62364,0.7534692,0.1298292
38,0.39257157,0.49250233,"('untruthful', 'truthful')",0.3925716,0.4925023,0.0999307
39,-0.33986688,-0.18348601,"('exploitative', 'cooperative')",-0.3398669,-0.183486,0.1563809
40,-2.3401124,-2.51,"('stingy', 'generous')",-2.3401124,-2.51,-0.1698876
41,0.2050319,0.1485907,"('unforgiving', 'forgiving')",0.2050319,0.1485907,-0.0564412
42,-2.6608272,-2.5969656,"('unreliable', 'reliable')",-2.6608272,-2.5969656,0.0638616
43,1.5862002,1.6475087,"('irresponsible', 'responsible')",1.5862002,1.6475087,0.0613085
44,-1.3433982,-1.308918,"('prejudiced', 'unprejudiced')",-1.3433982,-1.308918,0.0344802
45,0.5912525,0.59864855,"('incompetent', 'competent')",0.5912525,0.5986485,0.007396
46,-0.33761156,-0.3043717,"('uncompetitive', 'competitive')",-0.3376116,-0.3043717,0.0332399
47,5.7610073,6.032917,"('stupid', 'smart')",5.7610073,6.032917,0.2719097
48,0.5405641,0.54006875,"('unintelligent', 'intelligent')",0.5405641,0.5400687,-0.0004954
49,0.3834824,0.6216833,"('unable', 'able')",0.3834824,0.6216833,0.2382009
50,-0.2980085,-0.2088593,"('clumsy', 'skillful')",-0.2980085,-0.2088593,0.0891492
51,0.46292913,0.4861513,"('uneducated', 'educated')",0.4629291,0.4861513,0.0232222
52,-0.058370918,-0.06769818,"('irrational', 'rational')",-0.0583709,-0.0676982,-0.0093273
53,0.03865576,0.19782703,"('uncreative', 'creative')",0.0386558,0.197827,0.1591712
54,1.613837,1.9170979,"('incapable', 'capable')",1.613837,1.9170979,0.3032609
55,0.7240726,0.7447959,"('incompetent', 'clever')",0.7240726,0.7447959,0.0207233
56,0.98840266,0.9555787,"('impractical', 'practical')",0.9884027,0.9555787,-0.032824
57,-2.5286636,-2.5868936,"('unimaginative', 'imaginative')",-2.5286636,-2.5868936,-0.05823
58,0.5585413,0.44813156,"('undiscriminating', 'discriminating')",0.5585413,0.4481316,-0.1104097
59,0.045039535,0.12198076,"('foolish', 'wise')",0.0450395,0.1219808,0.0769413
60,1.1757413,1.2631452,"('inefficient', 'efficient')",1.1757413,1.2631452,0.0874039
61,0.429258,0.30543527,"('illogical', 'logical')",0.429258,0.3054353,-0.1238227
62,1.4270772,1.5378566,"('incompetent', 'brilliant')",1.4270772,1.5378566,0.1107794
63,0.5860694,0.6225787,"('unperceptive', 'insightful')",0.5860694,0.6225787,0.0365093
64,-6.4618793,-6.57428,"('shy', 'confident')",-6.4618793,-6.5742798,-0.1124005
65,0.077260554,0.036089674,"('insecure', 'secure')",0.0772606,0.0360897,-0.0411709
66,-0.21376377,-0.30497098,"('inactive', 'active')",-0.2137638,-0.304971,-0.0912072
67,0.005571842,-0.04641985,"('doubtful', 'determined')",0.0055718,-0.0464199,-0.0519917
68,-0.7575024,-0.6500978,"('dependent', 'independent')",-0.7575024,-0.6500978,0.1074046
69,-2.1271346,-2.039085,"('lazy', 'industrious')",-2.1271346,-2.0390849,0.0880497
70,0.94799155,1.0243809,"('lethargic', 'energetic')",0.9479915,1.0243809,0.0763894
71,0.2944901,0.3166516,"('diffident', 'self-confident')",0.2944901,0.3166516,0.0221615
72,0.8275889,0.6787488,"('unambitious', 'ambitious')",0.8275889,0.6787488,-0.1488401
73,-2.7599466,-2.7378018,"('helpless', 'self-reliant')",-2.7599466,-2.7378018,0.0221448
74,0.14977974,0.08441587,"('undedicated', 'dedicated')",0.1497797,0.0844159,-0.0653638
75,-0.9153488,-0.85522056,"('meek', 'impulsive')",-0.9153488,-0.8552206,0.0601282
76,0.34758386,0.2665525,"('anxious', 'daring')",0.3475839,0.2665525,-0.0810314
77,-1.1126117,-0.9147027,"('unmotivated', 'motivated')",-1.1126117,-0.9147027,0.197909
78,-0.8007459,-0.7155849,"('nonresilient', 'resilient')",-0.8007459,-0.7155849,0.085161
79,-0.49480835,-0.34251022,"('wavering', 'unwavering')",-0.4948083,-0.3425102,0.1522981
80,-0.5094695,-0.61321694,"('dominated', 'dominating')",-0.5094695,-0.6132169,-0.1037474
81,0.23323038,0.24888998,"('submissive', 'aggressive')",0.2332304,0.24889,0.0156596
82,7.1450315,7.444262,"('poor', 'rich')",7.1450315,7.444262,0.2992305
83,0.08102988,-0.025556676,"('powerless', 'powerful')",0.0810299,-0.0255567,-0.1065866
84,0.13434559,0.0613649,"('inferior', 'superior')",0.1343456,0.0613649,-0.0729807
85,-1.3698585,-1.3205658,"('insignificant', 'prestigious')",-1.3698585,-1.3205658,0.0492927
86,0.69019127,0.6900413,"('uninfluential', 'influential')",0.6901913,0.6900413,-0.00015
87,0.4693732,0.5253735,"('unsuccessful', 'successful')",0.4693732,0.5253735,0.0560003
88,0.08195224,0.15610255,"('low', 'eminent')",0.0819522,0.1561026,0.0741504
