,illumina_male,illumina_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,-1.0139374,-1.1654049,"('unsociable', 'sociable')",-0.19036174,-0.3230562,-0.6021495,-0.7442306,-0.1420811
1,-1.5559251,-1.5759674,"('unfriendly', 'friendly')",1.6717646,1.4070953,0.0579197,-0.0844361,-0.1423558
2,0.08684869,0.083467714,"('unlikable', 'likable')",0.4994967,0.52948546,0.2931727,0.3064766,0.0133039
3,-0.7038535,-0.5926192,"('repellent', 'pleasant')",0.108248934,0.26148346,-0.2978023,-0.1655679,0.1322344
4,0.09029133,0.053394746,"('disliked', 'liked')",-5.917971,-5.8074856,-2.9138398,-2.8770454,0.0367944
5,-0.9934789,-0.88747394,"('distant', 'outgoing')",-0.11288096,-0.21784995,-0.5531799,-0.552662,0.0005179
6,-1.3396522,-1.2328359,"('distant', 'open')",0.03427716,-0.12782916,-0.6526875,-0.6803325,-0.027645
7,-0.80142367,-0.69703674,"('insensitive', 'sensitive')",0.7251017,0.7898069,-0.038161,0.0463851,0.0845461
8,-1.2080684,-1.2027961,"('unaffectionate', 'affectionate')",0.4687059,0.29001454,-0.3696812,-0.4563908,-0.0867096
9,-1.3265591,-1.2269418,"('unaffectionate', 'caring')",0.9330067,0.882064,-0.1967762,-0.1724389,0.0243373
10,-1.3537612,-1.2498721,"('unsympathetic', 'sympathetic')",-0.3564181,-0.3562042,-0.8550897,-0.8030381,0.0520516
11,-0.64454913,-0.58960485,"('unhelpful', 'helpful')",2.1360016,2.2063012,0.7457262,0.8083482,0.062622
12,-0.654196,-0.51125824,"('unsupportive', 'supportive')",-1.5713819,-1.4644278,-1.1127889,-0.987843,0.1249459
13,-1.0942379,-1.270349,"('impolite', 'polite')",-0.16387317,-0.1525205,-0.6290556,-0.7114348,-0.0823792
14,-0.22931765,-0.2855695,"('antisocial', 'social')",-0.1969298,-0.15906857,-0.2131237,-0.222319,-0.0091953
15,-0.1830892,-0.27780735,"('boring', 'funny')",0.48746115,0.3921397,0.152186,0.0571662,-0.0950198
16,-0.25892174,-0.19297972,"('unpopular', 'popular')",0.58542085,0.5617099,0.1632496,0.1843651,0.0211155
17,-0.23487535,-0.20868121,"('nasty', 'nice')",0.06282856,0.08952429,-0.0860234,-0.0595785,0.0264449
18,-0.28121325,-0.23018762,"('disagreeable', 'welcoming')",-0.17174254,-0.25022525,-0.2264779,-0.2402064,-0.0137285
19,-1.791881,-1.7308972,"('inhospitable', 'hospitable')",-0.14114103,-0.23225221,-0.966511,-0.9815747,-0.0150637
20,0.61081356,0.6323067,"('rough', 'thoughtful')",1.2372108,1.1881158,0.9240122,0.9102113,-0.0138009
21,-0.20607077,-0.23525932,"('immoral', 'moral')",-0.2148796,-0.13754348,-0.2104752,-0.1864014,0.0240738
22,-0.29977894,-0.33538836,"('untrustworthy', 'trustworthy')",-0.91991323,-0.9066959,-0.6098461,-0.6210421,-0.011196
23,-0.84844154,-0.76505023,"('insincere', 'sincere')",5.77559,5.7034407,2.4635742,2.4691951,0.0056209
24,-1.6548039,-1.7484012,"('dishonest', 'honest')",0.8815622,0.81095725,-0.3866208,-0.468722,-0.0821012
25,0.025040274,0.031941693,"('egoistic', 'altruistic')",1.2913939,1.1507229,0.6582171,0.5913323,-0.0668848
26,0.19949564,0.13603516,"('hardhearted', 'benevolent')",1.6342759,1.4249135,0.9168858,0.7804744,-0.1364114
27,-0.4522668,-0.3477504,"('hardhearted', 'softhearted')",1.3529866,1.246914,0.4503599,0.4495818,-0.0007781
28,-0.4896241,-0.465679,"('disloyal', 'loyal')",1.1486471,1.1078256,0.3295115,0.3210733,-0.0084382
29,-0.4072157,-0.368069,"('unfair', 'fair')",-0.5709592,-0.7239997,-0.4890875,-0.5460343,-0.0569468
30,-0.21587858,-0.28431943,"('intolerant', 'tolerant')",1.840685,1.8388101,0.8124032,0.7772453,-0.0351579
31,-1.6681383,-1.6696243,"('evil', 'good')",-1.3273255,-1.5166975,-1.4977319,-1.5931609,-0.095429
32,-0.27939752,-0.2787298,"('unkind', 'kind')",1.0413126,0.9130449,0.3809575,0.3171576,-0.0637999
33,-0.1591572,-0.18683352,"('wrong', 'right')",-0.48866,-0.5212766,-0.3239086,-0.354055,-0.0301464
34,-0.47453785,-0.46601096,"('mean', 'honorable')",5.931039,5.881196,2.7282505,2.7075925,-0.020658
35,0.64412946,0.71237564,"('corrupt', 'incorrupt')",-0.32942206,-0.53010386,0.1573537,0.0911359,-0.0662178
36,-0.8383034,-0.7959804,"('hostile', 'amicable')",-0.34155357,-0.58169186,-0.5899285,-0.6888361,-0.0989076
37,-0.75056624,-0.68498635,"('fake', 'genuine')",0.14981258,0.11268361,-0.3003768,-0.2861514,0.0142254
38,-0.66755766,-0.5609262,"('untruthful', 'truthful')",0.32486513,0.4399485,-0.1713463,-0.0604888,0.1108575
39,-0.31772166,-0.36239138,"('exploitative', 'cooperative')",0.2411912,0.26686522,-0.0382652,-0.0477631,-0.0094979
40,0.027791085,0.06303626,"('stingy', 'generous')",-1.4885658,-1.5490593,-0.7303873,-0.7430115,-0.0126242
41,-0.66186213,-0.67190784,"('unforgiving', 'forgiving')",0.13726048,0.08495219,-0.2623008,-0.2934778,-0.031177
42,0.75699276,0.8867847,"('unreliable', 'reliable')",-3.022846,-2.8549268,-1.1329266,-0.9840711,0.1488555
43,-1.321046,-1.2798132,"('irresponsible', 'responsible')",0.5112188,0.44872484,-0.4049136,-0.4155442,-0.0106306
44,0.4195095,0.34580848,"('prejudiced', 'unprejudiced')",-1.5016718,-1.5376648,-0.5410811,-0.5959281,-0.054847
45,-1.2228168,-1.1414393,"('incompetent', 'competent')",-0.18136075,-0.14123343,-0.7020888,-0.6413364,0.0607524
46,-0.9411426,-0.9438093,"('uncompetitive', 'competitive')",-0.55068606,-0.4526997,-0.7459143,-0.6982545,0.0476598
47,-0.48058432,-0.4916797,"('stupid', 'smart')",5.1788635,5.1427307,2.3491397,2.3255255,-0.0236142
48,0.25414747,0.3022197,"('unintelligent', 'intelligent')",1.4140791,1.4409357,0.8341132,0.8715777,0.0374645
49,0.67280114,0.87501293,"('unable', 'able')",0.36067984,0.5466523,0.5167405,0.7108326,0.1940921
50,1.0777189,1.3120162,"('clumsy', 'skillful')",0.1381159,0.1422233,0.6079174,0.7271198,0.1192024
51,-0.074472874,-0.14870107,"('uneducated', 'educated')",0.72464496,0.6447085,0.3250861,0.2480037,-0.0770824
52,-1.3458962,-1.4394006,"('irrational', 'rational')",-0.45729104,-0.65904844,-0.9015936,-1.0492245,-0.1476309
53,-1.1072,-1.0314933,"('uncreative', 'creative')",0.6531572,0.57831293,-0.2270214,-0.2265902,0.0004312
54,-0.3331298,-0.2194691,"('incapable', 'capable')",1.1616299,1.1849692,0.4142501,0.4827501,0.0685
55,-0.27331793,-0.254275,"('incompetent', 'clever')",0.46268526,0.5368775,0.0946837,0.1413013,0.0466176
56,-0.10863085,-0.16337812,"('impractical', 'practical')",0.14840156,0.24920318,0.0198854,0.0429125,0.0230271
57,-0.8684366,-0.88931847,"('unimaginative', 'imaginative')",-2.549801,-2.5348208,-1.7091188,-1.7120696,-0.0029508
58,-0.434236,-0.38767886,"('undiscriminating', 'discriminating')",0.13840193,0.059596546,-0.147917,-0.1640412,-0.0161242
59,0.26306522,0.35479805,"('foolish', 'wise')",0.32186487,0.29771844,0.292465,0.3262582,0.0337932
60,0.2924106,0.33998764,"('inefficient', 'efficient')",0.744326,0.95043766,0.5183683,0.6452127,0.1268444
61,-1.3377733,-1.4477109,"('illogical', 'logical')",0.17893273,-0.010364853,-0.5794203,-0.7290379,-0.1496176
62,0.1300102,0.24994284,"('incompetent', 'brilliant')",0.8029286,1.1059109,0.4664694,0.6779269,0.2114575
