,dentsply_male,dentsply_female,tuple,sirona_male,sirona_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.2192076,-0.15228751,"('unsociable', 'sociable')",-0.16560946,-0.11625716,0.12847139,0.051293842,-0.0854486,-0.0724169,0.0130317
1,-2.1508112,-2.0516694,"('unfriendly', 'friendly')",-1.5097535,-1.3913205,1.5130199,1.3296907,-0.7158483,-0.704433,0.0114153
2,0.0033700727,0.063800335,"('unlikable', 'likable')",0.5522128,0.67583865,0.5310697,0.6109255,0.3622175,0.4501882,0.0879707
3,-0.8527969,-0.72583526,"('repellent', 'pleasant')",-0.77280027,-0.49417466,0.057245754,0.16375922,-0.5227838,-0.3520836,0.1707002
4,-1.0126356,-0.960202,"('disliked', 'liked')",-0.709753,-0.6404261,-6.24184,-6.322912,-2.6547429,-2.64118,0.0135629
5,-1.5175542,-1.4816067,"('distant', 'outgoing')",-1.6857232,-1.761203,-0.67550385,-0.7531041,-1.2929271,-1.3319713,-0.0390442
6,-2.097842,-2.0368867,"('distant', 'open')",-2.085694,-2.1023393,-0.40625197,-0.5222898,-1.5299293,-1.5538386,-0.0239093
7,-0.73386204,-0.62647605,"('insensitive', 'sensitive')",-0.36509016,-0.19370314,0.39010483,0.44119325,-0.2362824,-0.1263287,0.1099537
8,-1.329488,-1.3984072,"('unaffectionate', 'affectionate')",-0.7733546,-0.84397495,0.47190884,0.35602096,-0.5436446,-0.628787,-0.0851424
9,-1.8262031,-1.8102235,"('unaffectionate', 'caring')",-1.6443033,-1.6263391,0.7382135,0.6657076,-0.9107643,-0.9236183,-0.012854
10,-1.063854,-0.8876316,"('unsympathetic', 'sympathetic')",-0.6089808,-0.28681397,-0.11362722,-0.052112576,-0.5954873,-0.4088527,0.1866346
11,-0.23147412,-0.22269623,"('unhelpful', 'helpful')",0.016047468,0.13833334,1.9213513,2.010295,0.5686415,0.6419773,0.0733358
12,-0.81438506,-0.6502725,"('unsupportive', 'supportive')",-0.5393855,-0.25691226,-1.6770852,-1.6501833,-1.0102852,-0.852456,0.1578292
13,0.6716158,0.69067055,"('impolite', 'polite')",0.7627713,0.7369405,-0.12316714,-0.058061793,0.4370733,0.4565164,0.0194431
14,0.8706347,0.89251643,"('antisocial', 'social')",0.91387326,0.9565533,0.04153974,0.108830556,0.6086826,0.6526334,0.0439508
15,0.622277,0.5029818,"('boring', 'funny')",0.58663327,0.3749265,0.62992525,0.5634135,0.6129452,0.4804406,-0.1325046
16,-1.1827283,-1.1204592,"('unpopular', 'popular')",-0.8246512,-0.7082986,0.19534028,0.20581156,-0.6040131,-0.5409821,0.063031
17,-0.0048419675,0.06684174,"('nasty', 'nice')",0.0026178937,0.01195745,-0.25710022,-0.23292859,-0.0864414,-0.0513765,0.0350649
18,-0.86936796,-0.8444335,"('disagreeable', 'welcoming')",0.025019992,0.15852022,-0.32325023,-0.38866356,-0.3891994,-0.3581923,0.0310071
19,-1.2282236,-1.1867436,"('inhospitable', 'hospitable')",-1.8512957,-1.7907145,-0.46055195,-0.47066325,-1.1800237,-1.1493738,0.0306499
20,-0.39880896,-0.3951691,"('rough', 'thoughtful')",0.015689489,0.13015087,1.2446352,1.2169415,0.2871719,0.3173078,0.0301359
21,0.41474733,0.51735306,"('immoral', 'moral')",0.44561487,0.62282324,-0.21442322,-0.14481448,0.215313,0.3317873,0.1164743
22,0.3328405,0.3762303,"('untrustworthy', 'trustworthy')",0.8576199,1.0336226,-0.43454885,-0.47041076,0.2519705,0.3131474,0.0611769
23,-0.3678479,-0.286834,"('insincere', 'sincere')",-0.49850205,-0.2991532,5.3994403,5.380826,1.5110302,1.5982796,0.0872494
24,-0.50011927,-0.48879078,"('dishonest', 'honest')",-0.36512578,-0.3194981,0.7925922,0.73412377,-0.0242176,-0.0247217,-0.0005041
25,-0.78525734,-0.7929011,"('egoistic', 'altruistic')",-0.94995105,-1.0159868,1.2788163,1.207274,-0.1521307,-0.200538,-0.0484073
26,-0.4648371,-0.4357583,"('hardhearted', 'benevolent')",0.24304606,0.28646314,1.6991719,1.5948884,0.4924603,0.4818645,-0.0105958
27,-0.47598213,-0.54529923,"('hardhearted', 'softhearted')",0.07895382,0.041775733,1.3357856,1.2300799,0.3129191,0.2421855,-0.0707336
28,-0.97388715,-0.94763666,"('disloyal', 'loyal')",-0.6645239,-0.66674364,1.0792294,0.9542041,-0.1863939,-0.2200588,-0.0336649
29,-0.6834061,-0.722351,"('unfair', 'fair')",-0.8749388,-0.9485534,-0.30411634,-0.46601528,-0.6208204,-0.7123066,-0.0914862
30,0.8815436,0.9372174,"('intolerant', 'tolerant')",0.7599631,0.83207554,1.7884074,1.7723764,1.1433047,1.1805565,0.0372518
