,fan_male,fan_female,tuple,average_male,average_female,female-male
0,-0.3094369,-0.43321842,"('unsociable', 'sociable')",-0.3094369,-0.4332184,-0.1237815
1,1.7566748,1.6777954,"('unfriendly', 'friendly')",1.7566748,1.6777954,-0.0788794
2,0.5211309,0.71222126,"('unlikable', 'likable')",0.5211309,0.7122213,0.1910904
3,0.82252383,0.928655,"('repellent', 'pleasant')",0.8225238,0.928655,0.1061312
4,-7.2948565,-7.220688,"('disliked', 'liked')",-7.2948565,-7.2206879,0.0741686
5,0.1321239,0.30713797,"('distant', 'outgoing')",0.1321239,0.307138,0.1750141
6,0.58473945,0.73729664,"('distant', 'open')",0.5847394,0.7372966,0.1525572
7,0.4980529,0.57802457,"('insensitive', 'sensitive')",0.4980529,0.5780246,0.0799717
8,1.5273376,1.4921345,"('unaffectionate', 'affectionate')",1.5273376,1.4921345,-0.0352031
9,1.7649422,1.8977357,"('unaffectionate', 'caring')",1.7649422,1.8977357,0.1327935
10,0.74022305,0.87583053,"('unsympathetic', 'sympathetic')",0.7402231,0.8758305,0.1356074
11,1.6178284,1.7212553,"('unhelpful', 'helpful')",1.6178284,1.7212553,0.1034269
12,-1.6187137,-1.6078948,"('unsupportive', 'supportive')",-1.6187137,-1.6078948,0.0108189
13,-0.06230805,-0.12709278,"('impolite', 'polite')",-0.0623081,-0.1270928,-0.0647847
14,-0.76148427,-0.84510523,"('antisocial', 'social')",-0.7614843,-0.8451052,-0.0836209
15,0.56894356,0.4620124,"('boring', 'funny')",0.5689436,0.4620124,-0.1069312
16,-0.04272353,0.03852895,"('unpopular', 'popular')",-0.0427235,0.0385289,0.0812524
17,0.17421576,0.22221845,"('nasty', 'nice')",0.1742158,0.2222185,0.0480027
18,-0.4199311,-0.57887393,"('disagreeable', 'welcoming')",-0.4199311,-0.5788739,-0.1589428
19,-0.18559258,0.013643086,"('inhospitable', 'hospitable')",-0.1855926,0.0136431,0.1992357
20,0.73381776,0.5296336,"('rough', 'thoughtful')",0.7338178,0.5296336,-0.2041842
21,-0.5496629,-0.28636122,"('immoral', 'moral')",-0.5496629,-0.2863612,0.2633017
22,-0.7020734,-0.62880105,"('untrustworthy', 'trustworthy')",-0.7020734,-0.628801,0.0732724
23,6.2527385,6.256387,"('insincere', 'sincere')",6.2527385,6.2563872,0.0036487
24,1.5019987,1.5233219,"('dishonest', 'honest')",1.5019987,1.5233219,0.0213232
25,0.57966584,0.43403655,"('egoistic', 'altruistic')",0.5796658,0.4340366,-0.1456292
26,0.38047212,0.18090305,"('hardhearted', 'benevolent')",0.3804721,0.180903,-0.1995691
27,1.8981918,1.7269901,"('hardhearted', 'softhearted')",1.8981918,1.7269901,-0.1712017
28,1.2353565,1.3004432,"('disloyal', 'loyal')",1.2353565,1.3004432,0.0650867
29,-0.3334673,-0.4536668,"('unfair', 'fair')",-0.3334673,-0.4536668,-0.1201995
30,0.45465925,0.47869062,"('intolerant', 'tolerant')",0.4546593,0.4786906,0.0240313
31,-1.0190136,-1.0693576,"('evil', 'good')",-1.0190136,-1.0693576,-0.050344
32,1.2762331,1.2312485,"('unkind', 'kind')",1.2762331,1.2312485,-0.0449846
33,-0.3369633,-0.28902116,"('wrong', 'right')",-0.3369633,-0.2890212,0.0479421
