,grandfather_male,grandfather_female,tuple,average_male,average_female,female-male
0,0.53248024,0.49696806,"('unsociable', 'sociable')",0.5324802,0.4969681,-0.0355121
1,0.9281434,0.9080729,"('unfriendly', 'friendly')",0.9281434,0.9080729,-0.0200705
2,0.43010503,0.65283334,"('unlikable', 'likable')",0.430105,0.6528333,0.2227283
3,1.0669857,1.119702,"('repellent', 'pleasant')",1.0669857,1.119702,0.0527163
4,-7.0740247,-6.882941,"('disliked', 'liked')",-7.0740247,-6.8829408,0.1910839
5,-0.35270104,-0.16202308,"('distant', 'outgoing')",-0.352701,-0.1620231,0.1906779
6,-0.29462254,-0.14506595,"('distant', 'open')",-0.2946225,-0.1450659,0.1495566
7,0.8246263,0.849111,"('insensitive', 'sensitive')",0.8246263,0.849111,0.0244847
8,0.5661097,0.5632381,"('unaffectionate', 'affectionate')",0.5661097,0.5632381,-0.0028716
9,1.2757368,1.321481,"('unaffectionate', 'caring')",1.2757368,1.321481,0.0457442
10,1.395964,1.515681,"('unsympathetic', 'sympathetic')",1.395964,1.515681,0.119717
11,2.2414765,2.2751417,"('unhelpful', 'helpful')",2.2414765,2.2751417,0.0336652
12,-1.3152003,-1.1708689,"('unsupportive', 'supportive')",-1.3152003,-1.1708689,0.1443314
13,0.9165671,0.8849137,"('impolite', 'polite')",0.9165671,0.8849137,-0.0316534
14,0.30205283,0.20247622,"('antisocial', 'social')",0.3020528,0.2024762,-0.0995766
15,0.45211834,0.44402838,"('boring', 'funny')",0.4521183,0.4440284,-0.0080899
16,-0.27407935,-0.20684418,"('unpopular', 'popular')",-0.2740794,-0.2068442,0.0672352
17,-0.14085026,-0.053339202,"('nasty', 'nice')",-0.1408503,-0.0533392,0.0875111
18,-0.43149707,-0.4929924,"('disagreeable', 'welcoming')",-0.4314971,-0.4929924,-0.0614953
19,-0.80997026,-0.55796653,"('inhospitable', 'hospitable')",-0.8099703,-0.5579665,0.2520038
20,0.7921502,0.5666006,"('rough', 'thoughtful')",0.7921502,0.5666006,-0.2255496
21,0.2944494,0.4429473,"('immoral', 'moral')",0.2944494,0.4429473,0.1484979
22,0.0708401,0.13641098,"('untrustworthy', 'trustworthy')",0.0708401,0.136411,0.0655709
