,merrill_male,merrill_female,tuple,lynch_male,lynch_female,&_male,&_female,co_male,co_female,inc_male,inc_female,average_male,average_female,female-male
0,-1.1672167,-1.2773919,"('unsociable', 'sociable')",-1.2989718,-1.5240119,-0.11240649,-0.32037306,-1.3832403,-1.457147,-0.7694521,-0.9085569,-0.9462575,-1.0974961,-0.1512386
1,2.1874492,1.8941362,"('unfriendly', 'friendly')",0.69410694,0.4544419,0.36332235,0.23993714,-0.33251742,-0.54833114,2.5163424,2.3907857,1.0857407,0.8861939,-0.1995468
2,2.7966423,2.8814983,"('unlikable', 'likable')",2.1533864,2.1585703,1.8632431,1.9594623,1.7798978,1.8263776,0.85882807,0.903978,1.8903996,1.9459774,0.0555778
3,-1.2107555,-1.110705,"('repellent', 'pleasant')",-1.2213928,-1.0963038,-0.49126,-0.47951362,0.6198992,0.5367064,0.103990495,0.06439815,-0.4399037,-0.4170836,0.0228201
4,-0.20402293,-0.29173517,"('disliked', 'liked')",0.66474926,0.6747025,-0.091865435,-0.13582966,-0.0935799,-0.120975666,-6.545197,-6.6863103,-1.2539832,-1.3120296,-0.0580464
5,2.222761,2.242526,"('distant', 'outgoing')",1.3458736,1.2358637,0.49240464,0.59319204,0.79504997,0.8590609,0.3438539,0.36251602,1.0399886,1.0586317,0.0186431
6,1.8047942,1.8116034,"('distant', 'open')",1.2903792,1.220472,0.6959873,0.77144384,0.61930853,0.6330909,1.101982,1.0948067,1.1024902,1.1062834,0.0037932
7,-0.15629987,-0.19334564,"('insensitive', 'sensitive')",-0.88736486,-0.91400784,0.11799651,0.04957188,-1.2776741,-1.2877839,0.8927623,0.8586415,-0.262116,-0.2973848,-0.0352688
8,1.0121317,0.98634595,"('unaffectionate', 'affectionate')",1.414167,1.3797607,0.27287316,0.20762189,0.2473333,0.121637724,1.6557275,1.5599235,0.9204465,0.851058,-0.0693885
9,2.0924613,2.0194938,"('unaffectionate', 'caring')",1.2787106,1.2042353,0.3073443,0.15982075,-0.006990707,-0.1010877,2.0940678,2.0298908,1.1531187,1.0624706,-0.0906481
10,-1.8711859,-2.0167658,"('unsympathetic', 'sympathetic')",-1.7703124,-1.8494203,-0.33316994,-0.48087347,-2.0821183,-2.1153913,-0.6547353,-0.6607879,-1.3423044,-1.4246478,-0.0823434
11,-0.52635944,-0.46493697,"('unhelpful', 'helpful')",-1.3410993,-1.3935202,-0.76265395,-0.8093891,-1.3986135,-1.3751621,1.6594821,1.7623106,-0.4738488,-0.4561396,0.0177092
12,1.3671373,1.4337496,"('unsupportive', 'supportive')",1.4176743,1.4148127,1.0781372,1.095572,-0.5775503,-0.5021785,-1.3655021,-1.388501,0.3839793,0.410691,0.0267117
13,-0.89923877,-0.8971455,"('impolite', 'polite')",-1.3658051,-1.4938093,-0.46494213,-0.5599714,-1.1390336,-1.0548222,-0.76329213,-0.7401971,-0.9264624,-0.9491892,-0.0227268
