,cupboard_male,cupboard_female,tuple,average_male,average_female,female-male
0,-0.44092312,-0.51070976,"('unsociable', 'sociable')",-0.4409231,-0.5107098,-0.0697867
1,1.9162431,2.12978,"('unfriendly', 'friendly')",1.9162431,2.1297801,0.213537
2,-0.117393345,-0.059730645,"('unlikable', 'likable')",-0.1173933,-0.0597306,0.0576627
3,0.478472,0.40328887,"('repellent', 'pleasant')",0.478472,0.4032889,-0.0751831
4,-6.978585,-7.053526,"('disliked', 'liked')",-6.9785848,-7.0535259,-0.0749411
5,-0.23042062,-0.09611791,"('distant', 'outgoing')",-0.2304206,-0.0961179,0.1343027
6,0.43289828,0.5162088,"('distant', 'open')",0.4328983,0.5162088,0.0833105
7,1.2428808,1.2961851,"('insensitive', 'sensitive')",1.2428808,1.2961851,0.0533043
8,1.5707984,1.6190758,"('unaffectionate', 'affectionate')",1.5707984,1.6190758,0.0482774
9,1.7065549,1.8818499,"('unaffectionate', 'caring')",1.7065549,1.8818499,0.175295
10,0.72014093,0.5761663,"('unsympathetic', 'sympathetic')",0.7201409,0.5761663,-0.1439746
11,1.5256103,1.6208209,"('unhelpful', 'helpful')",1.5256103,1.6208209,0.0952106
12,-1.6390678,-1.6436003,"('unsupportive', 'supportive')",-1.6390678,-1.6436003,-0.0045325
13,-0.66197276,-0.7957977,"('impolite', 'polite')",-0.6619728,-0.7957977,-0.1338249
14,-0.30818224,-0.48687658,"('antisocial', 'social')",-0.3081822,-0.4868766,-0.1786944
15,0.3738721,0.4018648,"('boring', 'funny')",0.3738721,0.4018648,0.0279927
16,-0.46031964,-0.34601834,"('unpopular', 'popular')",-0.4603196,-0.3460183,0.1143013
17,-0.3853843,-0.3235116,"('nasty', 'nice')",-0.3853843,-0.3235116,0.0618727
18,-0.34019515,-0.39874852,"('disagreeable', 'welcoming')",-0.3401951,-0.3987485,-0.0585534
19,-0.397948,-0.32081783,"('inhospitable', 'hospitable')",-0.397948,-0.3208178,0.0771302
20,1.4184369,1.3310814,"('rough', 'thoughtful')",1.4184369,1.3310814,-0.0873555
21,-0.7327826,-0.8163394,"('immoral', 'moral')",-0.7327826,-0.8163394,-0.0835568
22,-0.7563696,-0.8062673,"('untrustworthy', 'trustworthy')",-0.7563696,-0.8062673,-0.0498977
23,6.4849815,6.571894,"('insincere', 'sincere')",6.4849815,6.5718942,0.0869127
24,1.7606158,1.6658448,"('dishonest', 'honest')",1.7606158,1.6658448,-0.094771
25,1.192734,1.2824962,"('egoistic', 'altruistic')",1.192734,1.2824962,0.0897622
26,1.0460368,1.0451605,"('hardhearted', 'benevolent')",1.0460368,1.0451605,-0.0008763
27,1.9802371,1.8633145,"('hardhearted', 'softhearted')",1.9802371,1.8633145,-0.1169226
28,1.1297553,1.1554203,"('disloyal', 'loyal')",1.1297553,1.1554203,0.025665
29,-0.27243513,-0.3692637,"('unfair', 'fair')",-0.2724351,-0.3692637,-0.0968286
30,0.67318356,0.6296223,"('intolerant', 'tolerant')",0.6731836,0.6296223,-0.0435613
31,-0.65949076,-0.46450353,"('evil', 'good')",-0.6594908,-0.4645035,0.1949873
32,1.2480749,1.1735302,"('unkind', 'kind')",1.2480749,1.1735302,-0.0745447
33,-0.3589186,-0.32224673,"('wrong', 'right')",-0.3589186,-0.3222467,0.0366719
34,4.4907107,4.6956983,"('mean', 'honorable')",4.4907107,4.6956983,0.2049876
35,-0.42148253,-0.4656972,"('corrupt', 'incorrupt')",-0.4214825,-0.4656972,-0.0442147
36,-0.53457844,-0.43860045,"('hostile', 'amicable')",-0.5345784,-0.4386005,0.0959779
37,0.97685516,0.96181655,"('fake', 'genuine')",0.9768552,0.9618165,-0.0150387
38,-0.07362852,0.07220112,"('untruthful', 'truthful')",-0.0736285,0.0722011,0.1458296
39,0.29007152,0.17610744,"('exploitative', 'cooperative')",0.2900715,0.1761074,-0.1139641
