,willis_male,willis_female,tuple,towers_male,towers_female,watson_male,watson_female,pub_male,pub_female,ltd_male,ltd_female,co_male,co_female,average_male,average_female,female-male
0,0.32968813,0.03952094,"('unsociable', 'sociable')",0.6807848,0.5883261,0.6545412,0.4526743,1.7641703,1.6568309,-0.5662312,-0.63761896,-0.5933847,-0.63820773,0.3782614,0.2435876,-0.1346738
1,-0.56989187,-0.6279026,"('unfriendly', 'friendly')",-0.6824764,-0.74060696,0.5998141,0.40976578,1.3649355,1.2068442,1.1985828,0.9894109,2.5897133,2.496383,0.7501129,0.6223157,-0.1277972
2,0.42931366,0.6003753,"('unlikable', 'likable')",0.39294264,0.59349704,0.5484842,0.6673049,0.6368816,0.7881452,0.6590379,0.78709227,0.08735884,0.29170543,0.4590032,0.6213533,0.1623501
3,-0.00208853,0.06679852,"('repellent', 'pleasant')",-0.6752188,-0.5632237,0.024139697,0.102154605,-0.82328135,-0.699437,-0.07851486,-0.03563352,0.585836,0.69125307,-0.1615213,-0.0730147,0.0885066
4,0.41571355,0.2504275,"('disliked', 'liked')",0.6450093,0.48062205,0.05348691,-0.016914904,1.4607704,1.3369964,1.9564648,1.8986429,-6.8098845,-6.940042,-0.3797399,-0.498378,-0.1186381
5,-0.71707827,-0.6441911,"('distant', 'outgoing')",-0.46021938,-0.5063588,-0.07432588,-0.03494501,0.53837895,0.43091387,0.9228147,0.83748484,0.17679341,0.26752758,0.0643939,0.0584052,-0.0059887
6,-1.6050274,-1.4385642,"('distant', 'open')",-0.6180153,-0.6085829,0.27266914,0.38338923,0.9644043,0.8732758,0.8065461,0.70147675,0.7484598,0.87074125,0.0948394,0.1302893,0.0354499
7,1.1328515,1.1395912,"('insensitive', 'sensitive')",-0.60199434,-0.38816708,0.7357658,0.7477054,0.11528945,0.30751607,-0.9113583,-0.8020468,0.0352444,0.14748318,0.0842998,0.1920137,0.1077139
8,-0.6003045,-0.524313,"('unaffectionate', 'affectionate')",-0.7185335,-0.65619916,0.037803672,0.11867339,0.36540127,0.3167819,0.103096835,0.020609628,1.382089,1.3946333,0.0949255,0.1116977,0.0167722
9,0.10421768,0.18725297,"('unaffectionate', 'caring')",-0.4435074,-0.36419412,0.86626077,0.9444245,0.73672044,0.7556376,0.13839431,0.094456494,1.5060506,1.6177899,0.4846894,0.5392279,0.0545385
10,0.572207,0.5148725,"('unsympathetic', 'sympathetic')",-0.25351226,-0.16413867,0.17168498,0.1598201,-0.9304037,-0.7614739,-1.4041164,-1.2579873,-1.1353906,-1.0100715,-0.4965885,-0.4198298,0.0767587
