,stripe_male,stripe_female,tuple,average_male,average_female,female-male
0,0.19600207,0.1467235,"('unsociable', 'sociable')",0.1960021,0.1467235,-0.0492786
1,1.144066,1.0341318,"('unfriendly', 'friendly')",1.144066,1.0341318,-0.1099342
2,0.17002797,0.34388924,"('unlikable', 'likable')",0.170028,0.3438892,0.1738612
3,0.9385442,1.0343449,"('repellent', 'pleasant')",0.9385442,1.0343449,0.0958007
4,-6.9088283,-7.1294436,"('disliked', 'liked')",-6.9088283,-7.1294436,-0.2206153
5,-0.54760826,-0.53136086,"('distant', 'outgoing')",-0.5476083,-0.5313609,0.0162474
6,-0.00047676265,-0.083657436,"('distant', 'open')",-0.0004768,-0.0836574,-0.0831806
7,1.2808225,1.2661899,"('insensitive', 'sensitive')",1.2808225,1.2661899,-0.0146326
8,0.9477434,0.78605217,"('unaffectionate', 'affectionate')",0.9477434,0.7860522,-0.1616912
9,1.3307153,1.3196828,"('unaffectionate', 'caring')",1.3307153,1.3196828,-0.0110325
10,1.2738844,1.3175632,"('unsympathetic', 'sympathetic')",1.2738844,1.3175632,0.0436788
11,1.533268,1.5880948,"('unhelpful', 'helpful')",1.533268,1.5880948,0.0548268
12,-1.5973237,-1.6037158,"('unsupportive', 'supportive')",-1.5973237,-1.6037158,-0.0063921
13,-0.0567147,0.054432422,"('impolite', 'polite')",-0.0567147,0.0544324,0.1111471
14,0.20591477,0.18371749,"('antisocial', 'social')",0.2059148,0.1837175,-0.0221973
15,0.19404544,0.117451996,"('boring', 'funny')",0.1940454,0.117452,-0.0765934
16,-0.19436637,-0.2030679,"('unpopular', 'popular')",-0.1943664,-0.2030679,-0.0087015
17,-0.0064283926,0.022509314,"('nasty', 'nice')",-0.0064284,0.0225093,0.0289377
18,-0.44719973,-0.4291545,"('disagreeable', 'welcoming')",-0.4471997,-0.4291545,0.0180452
19,-0.8547412,-0.85519916,"('inhospitable', 'hospitable')",-0.8547412,-0.8551992,-0.000458
20,0.93662006,0.8756644,"('rough', 'thoughtful')",0.9366201,0.8756644,-0.0609557
21,-0.06551711,0.13541885,"('immoral', 'moral')",-0.0655171,0.1354188,0.2009359
22,-0.09428939,-0.072441414,"('untrustworthy', 'trustworthy')",-0.0942894,-0.0724414,0.021848
23,5.738207,5.8804984,"('insincere', 'sincere')",5.7382069,5.8804984,0.1422915
24,1.4972298,1.47055,"('dishonest', 'honest')",1.4972298,1.4705499,-0.0266799
25,0.5265204,0.47093976,"('egoistic', 'altruistic')",0.5265204,0.4709398,-0.0555806
26,0.96834934,0.707277,"('hardhearted', 'benevolent')",0.9683493,0.707277,-0.2610723
27,1.7657866,1.5455748,"('hardhearted', 'softhearted')",1.7657866,1.5455748,-0.2202118
28,1.0120684,0.9527232,"('disloyal', 'loyal')",1.0120684,0.9527232,-0.0593452
29,-0.43573886,-0.5557607,"('unfair', 'fair')",-0.4357389,-0.5557607,-0.1200218
30,0.7113924,0.81702524,"('intolerant', 'tolerant')",0.7113924,0.8170252,0.1056328
31,-1.0974816,-1.2221292,"('evil', 'good')",-1.0974816,-1.2221292,-0.1246476
32,1.3013896,1.186326,"('unkind', 'kind')",1.3013896,1.186326,-0.1150636
