,shaker_male,shaker_female,tuple,average_male,average_female,female-male
0,0.19488803,-0.04012182,"('unsociable', 'sociable')",0.194888,-0.0401218,-0.2350098
1,-0.66870946,-0.64129674,"('unfriendly', 'friendly')",-0.6687095,-0.6412967,0.0274128
2,0.39648592,0.3974229,"('unlikable', 'likable')",0.3964859,0.3974229,0.000937
3,-0.11619121,-0.07599056,"('repellent', 'pleasant')",-0.1161912,-0.0759906,0.0402006
4,-2.4547095,-2.5106573,"('disliked', 'liked')",-2.4547095,-2.5106573,-0.0559478
5,-1.0673842,-1.004528,"('distant', 'outgoing')",-1.0673842,-1.004528,0.0628562
6,-1.443203,-1.3676578,"('distant', 'open')",-1.443203,-1.3676578,0.0755452
7,1.0057529,0.98274696,"('insensitive', 'sensitive')",1.0057529,0.982747,-0.0230059
8,-0.6082964,-0.5576815,"('unaffectionate', 'affectionate')",-0.6082964,-0.5576815,0.0506149
9,0.1150326,0.09011201,"('unaffectionate', 'caring')",0.1150326,0.090112,-0.0249206
10,0.52950627,0.4513482,"('unsympathetic', 'sympathetic')",0.5295063,0.4513482,-0.0781581
11,1.4887364,1.4052043,"('unhelpful', 'helpful')",1.4887364,1.4052043,-0.0835321
12,-0.03140165,-0.062755756,"('unsupportive', 'supportive')",-0.0314016,-0.0627558,-0.0313542
13,0.9139355,0.7158536,"('impolite', 'polite')",0.9139355,0.7158536,-0.1980819
14,0.90369016,0.73602825,"('antisocial', 'social')",0.9036902,0.7360283,-0.1676619
15,0.31435952,0.24000885,"('boring', 'funny')",0.3143595,0.2400088,-0.0743507
16,-1.3022867,-1.2788872,"('unpopular', 'popular')",-1.3022867,-1.2788872,0.0233995
17,-0.2601999,-0.2627888,"('nasty', 'nice')",-0.2601999,-0.2627888,-0.0025889
18,-0.4840777,-0.5995463,"('disagreeable', 'welcoming')",-0.4840777,-0.5995463,-0.1154686
19,-1.0847863,-1.0118916,"('inhospitable', 'hospitable')",-1.0847863,-1.0118916,0.0728947
20,0.07067702,-0.0119585395,"('rough', 'thoughtful')",0.070677,-0.0119585,-0.0826355
21,1.0810895,1.0442706,"('immoral', 'moral')",1.0810895,1.0442706,-0.0368189
22,0.63627535,0.4599484,"('untrustworthy', 'trustworthy')",0.6362754,0.4599484,-0.176327
23,2.9858809,2.8669143,"('insincere', 'sincere')",2.9858809,2.8669143,-0.1189666
24,0.47094923,0.38418502,"('dishonest', 'honest')",0.4709492,0.384185,-0.0867642
25,-0.02444224,-0.04754007,"('egoistic', 'altruistic')",-0.0244422,-0.0475401,-0.0230979
26,0.25191858,0.18407467,"('hardhearted', 'benevolent')",0.2519186,0.1840747,-0.0678439
27,0.7248597,0.61479783,"('hardhearted', 'softhearted')",0.7248597,0.6147978,-0.1100619
28,-0.22483024,-0.254487,"('disloyal', 'loyal')",-0.2248302,-0.254487,-0.0296568
29,-0.4858316,-0.56067604,"('unfair', 'fair')",-0.4858316,-0.560676,-0.0748444
30,0.9249917,0.8081348,"('intolerant', 'tolerant')",0.9249917,0.8081348,-0.1168569
31,-1.958519,-1.8457822,"('evil', 'good')",-1.958519,-1.8457822,0.1127368
32,1.1448109,0.97376657,"('unkind', 'kind')",1.1448109,0.9737666,-0.1710443
33,0.10271604,0.026108183,"('wrong', 'right')",0.102716,0.0261082,-0.0766078
34,1.1975687,1.4044597,"('mean', 'honorable')",1.1975687,1.4044597,0.206891
35,-0.7725382,-0.7474821,"('corrupt', 'incorrupt')",-0.7725382,-0.7474821,0.0250561
36,-1.6325278,-1.580843,"('hostile', 'amicable')",-1.6325278,-1.580843,0.0516848
37,0.14916286,0.21064441,"('fake', 'genuine')",0.1491629,0.2106444,0.0614815
38,0.5011461,0.45934358,"('untruthful', 'truthful')",0.5011461,0.4593436,-0.0418025
39,0.9292522,0.8710556,"('exploitative', 'cooperative')",0.9292522,0.8710556,-0.0581966
40,-1.6672891,-1.6721317,"('stingy', 'generous')",-1.6672891,-1.6721317,-0.0048426
41,0.47821122,0.42842183,"('unforgiving', 'forgiving')",0.4782112,0.4284218,-0.0497894
42,-0.71519756,-0.82057863,"('unreliable', 'reliable')",-0.7151976,-0.8205786,-0.105381
43,0.7499673,0.643289,"('irresponsible', 'responsible')",0.7499673,0.643289,-0.1066783
44,-0.22227377,-0.262699,"('prejudiced', 'unprejudiced')",-0.2222738,-0.262699,-0.0404252
45,0.05691926,0.02807223,"('incompetent', 'competent')",0.0569193,0.0280722,-0.0288471
46,0.12399774,0.014719192,"('uncompetitive', 'competitive')",0.1239977,0.0147192,-0.1092785
47,1.937603,1.9704617,"('stupid', 'smart')",1.937603,1.9704617,0.0328587
48,-0.047132783,-0.015095677,"('unintelligent', 'intelligent')",-0.0471328,-0.0150957,0.0320371
49,-0.03605414,-0.026748225,"('unable', 'able')",-0.0360541,-0.0267482,0.0093059
50,-0.2840221,-0.33437914,"('clumsy', 'skillful')",-0.2840221,-0.3343791,-0.050357
51,0.79043895,0.6743242,"('uneducated', 'educated')",0.790439,0.6743242,-0.1161148
52,-1.0109373,-0.9964312,"('irrational', 'rational')",-1.0109373,-0.9964312,0.0145061
53,-1.0840576,-1.1066389,"('uncreative', 'creative')",-1.0840576,-1.1066389,-0.0225813
54,0.32817045,0.31718373,"('incapable', 'capable')",0.3281704,0.3171837,-0.0109867
55,0.80841714,0.71207154,"('incompetent', 'clever')",0.8084171,0.7120715,-0.0963456
56,1.2744648,1.1242398,"('impractical', 'practical')",1.2744648,1.1242398,-0.150225
57,-1.4631243,-1.5333039,"('unimaginative', 'imaginative')",-1.4631243,-1.5333039,-0.0701796
58,0.20758212,0.16108961,"('undiscriminating', 'discriminating')",0.2075821,0.1610896,-0.0464925
59,0.08856509,0.12938023,"('foolish', 'wise')",0.0885651,0.1293802,0.0408151
60,1.1258622,1.0116758,"('inefficient', 'efficient')",1.1258622,1.0116758,-0.1141864
61,0.2920887,0.08615207,"('illogical', 'logical')",0.2920887,0.0861521,-0.2059366
62,1.0531269,0.99271595,"('incompetent', 'brilliant')",1.0531269,0.992716,-0.0604109
63,1.1289461,1.090607,"('unperceptive', 'insightful')",1.1289461,1.090607,-0.0383391
64,-1.8118482,-1.9587246,"('shy', 'confident')",-1.8118482,-1.9587246,-0.1468764
65,0.3198021,0.18379794,"('insecure', 'secure')",0.3198021,0.1837979,-0.1360042
66,-1.6976869,-1.6310412,"('inactive', 'active')",-1.6976869,-1.6310412,0.0666457
67,0.5352476,0.5255574,"('doubtful', 'determined')",0.5352476,0.5255574,-0.0096902
68,-0.14074585,-0.25821644,"('dependent', 'independent')",-0.1407458,-0.2582164,-0.1174706
69,-1.4129645,-1.3241296,"('lazy', 'industrious')",-1.4129645,-1.3241296,0.0888349
70,0.4082051,0.2720504,"('lethargic', 'energetic')",0.4082051,0.2720504,-0.1361547
71,1.0223576,1.0340732,"('diffident', 'self-confident')",1.0223576,1.0340732,0.0117156
