,guilty_male,guilty_female,tuple,average_male,average_female,female-male
0,-0.23803227,-0.25058112,"('unsociable', 'sociable')",-0.2380323,-0.2505811,-0.0125488
1,0.89079815,0.76678586,"('unfriendly', 'friendly')",0.8907982,0.7667859,-0.1240123
2,-0.29280606,-0.241444,"('unlikable', 'likable')",-0.2928061,-0.241444,0.0513621
3,0.47509798,0.5684245,"('repellent', 'pleasant')",0.475098,0.5684245,0.0933265
4,-7.3229375,-7.450512,"('disliked', 'liked')",-7.3229375,-7.4505119,-0.1275744
5,-1.0703571,-1.1708288,"('distant', 'outgoing')",-1.0703571,-1.1708288,-0.1004717
6,-0.058221653,-0.24389523,"('distant', 'open')",-0.0582217,-0.2438952,-0.1856735
7,0.9396308,1.00121,"('insensitive', 'sensitive')",0.9396308,1.00121,0.0615792
8,1.0054946,0.8791603,"('unaffectionate', 'affectionate')",1.0054946,0.8791603,-0.1263343
9,1.4805877,1.4419378,"('unaffectionate', 'caring')",1.4805877,1.4419378,-0.0386499
10,0.9817291,0.99669164,"('unsympathetic', 'sympathetic')",0.9817291,0.9966916,0.0149625
11,1.0489719,1.1527433,"('unhelpful', 'helpful')",1.0489719,1.1527433,0.1037714
12,-2.4008725,-2.402993,"('unsupportive', 'supportive')",-2.4008725,-2.402993,-0.0021205
13,-0.69827133,-0.6428416,"('impolite', 'polite')",-0.6982713,-0.6428416,0.0554297
14,-0.14226647,-0.11551079,"('antisocial', 'social')",-0.1422665,-0.1155108,0.0267557
15,0.2865383,0.19334793,"('boring', 'funny')",0.2865383,0.1933479,-0.0931904
16,-1.0373541,-1.0601333,"('unpopular', 'popular')",-1.0373541,-1.0601333,-0.0227792
17,-0.7252053,-0.7381934,"('nasty', 'nice')",-0.7252053,-0.7381934,-0.0129881
18,-0.6399519,-0.68625325,"('disagreeable', 'welcoming')",-0.6399519,-0.6862532,-0.0463013
19,-0.8429896,-0.9580476,"('inhospitable', 'hospitable')",-0.8429896,-0.9580476,-0.115058
20,0.92566687,0.9190538,"('rough', 'thoughtful')",0.9256669,0.9190538,-0.0066131
21,-0.69386697,-0.53760135,"('immoral', 'moral')",-0.693867,-0.5376014,0.1562656
22,-0.8216828,-0.7968089,"('untrustworthy', 'trustworthy')",-0.8216828,-0.7968089,0.0248739
23,6.0656705,6.127927,"('insincere', 'sincere')",6.0656705,6.1279268,0.0622563
24,1.3492379,1.2040149,"('dishonest', 'honest')",1.3492379,1.2040149,-0.145223
25,0.8950641,0.7839081,"('egoistic', 'altruistic')",0.8950641,0.7839081,-0.111156
26,1.2426152,1.0937741,"('hardhearted', 'benevolent')",1.2426152,1.0937741,-0.1488411
27,1.5345742,1.3020381,"('hardhearted', 'softhearted')",1.5345742,1.3020381,-0.2325361
28,1.3694663,1.2471557,"('disloyal', 'loyal')",1.3694663,1.2471557,-0.1223106
