,statistics_male,statistics_female,tuple,average_male,average_female,female-male
0,-0.03935474,-0.05103597,"('unsociable', 'sociable')",-0.0393547,-0.051036,-0.0116813
1,1.372419,1.2071431,"('unfriendly', 'friendly')",1.372419,1.2071431,-0.1652759
2,0.44887185,0.45737836,"('unlikable', 'likable')",0.4488719,0.4573784,0.0085065
3,-0.08007181,0.07450041,"('repellent', 'pleasant')",-0.0800718,0.0745004,0.1545722
4,-5.84979,-6.097863,"('disliked', 'liked')",-5.8497901,-6.0978632,-0.2480731
5,-0.57300407,-0.71660185,"('distant', 'outgoing')",-0.5730041,-0.7166018,-0.1435977
6,-0.4854392,-0.55653024,"('distant', 'open')",-0.4854392,-0.5565302,-0.071091
7,0.98858565,1.064974,"('insensitive', 'sensitive')",0.9885857,1.064974,0.0763883
8,0.83444995,0.69081956,"('unaffectionate', 'affectionate')",0.8344499,0.6908196,-0.1436303
9,1.549329,1.4719968,"('unaffectionate', 'caring')",1.549329,1.4719968,-0.0773322
10,0.508498,0.61533296,"('unsympathetic', 'sympathetic')",0.508498,0.615333,0.106835
11,1.5534317,1.6529909,"('unhelpful', 'helpful')",1.5534317,1.6529909,0.0995592
12,-0.7008729,-0.7569262,"('unsupportive', 'supportive')",-0.7008729,-0.7569262,-0.0560533
13,-0.44320452,-0.41575694,"('impolite', 'polite')",-0.4432045,-0.4157569,0.0274476
14,0.7480253,0.8305279,"('antisocial', 'social')",0.7480253,0.8305279,0.0825026
15,0.006363578,-0.10677087,"('boring', 'funny')",0.0063636,-0.1067709,-0.1131345
16,-0.73477143,-0.7663815,"('unpopular', 'popular')",-0.7347714,-0.7663815,-0.0316101
17,0.20648737,0.20518368,"('nasty', 'nice')",0.2064874,0.2051837,-0.0013037
18,-0.57048863,-0.6473586,"('disagreeable', 'welcoming')",-0.5704886,-0.6473586,-0.07687
19,-0.56186664,-0.6555397,"('inhospitable', 'hospitable')",-0.5618666,-0.6555397,-0.0936731
20,0.78268445,0.79886055,"('rough', 'thoughtful')",0.7826844,0.7988605,0.0161761
21,0.16444832,0.26560712,"('immoral', 'moral')",0.1644483,0.2656071,0.1011588
22,0.38326976,0.34813702,"('untrustworthy', 'trustworthy')",0.3832698,0.348137,-0.0351328
23,5.5896955,5.736003,"('insincere', 'sincere')",5.5896955,5.7360029,0.1463074
24,1.6907419,1.6719227,"('dishonest', 'honest')",1.6907419,1.6719227,-0.0188192
25,1.1029526,0.93748796,"('egoistic', 'altruistic')",1.1029526,0.937488,-0.1654646
26,2.032019,1.9397832,"('hardhearted', 'benevolent')",2.0320189,1.9397832,-0.0922357
27,0.64271253,0.6083781,"('hardhearted', 'softhearted')",0.6427125,0.6083781,-0.0343344
