,aftershave_male,aftershave_female,tuple,average_male,average_female,female-male
0,-2.1072717,-2.2131965,"('unsociable', 'sociable')",-2.1072717,-2.2131965,-0.1059248
1,-0.32512924,-0.43657374,"('unfriendly', 'friendly')",-0.3251292,-0.4365737,-0.1114445
2,0.75698894,0.70402676,"('unlikable', 'likable')",0.7569889,0.7040268,-0.0529621
3,-0.91076225,-0.78529334,"('repellent', 'pleasant')",-0.9107623,-0.7852933,0.125469
4,-0.74924546,-0.7365486,"('disliked', 'liked')",-0.7492455,-0.7365486,0.0126969
5,1.1397839,1.1825123,"('distant', 'outgoing')",1.1397839,1.1825123,0.0427284
6,0.9751277,1.0167986,"('distant', 'open')",0.9751277,1.0167986,0.0416709
7,-1.4357593,-1.3518128,"('insensitive', 'sensitive')",-1.4357593,-1.3518128,0.0839465
8,0.13010901,0.06664692,"('unaffectionate', 'affectionate')",0.130109,0.0666469,-0.0634621
9,0.21621571,0.19546878,"('unaffectionate', 'caring')",0.2162157,0.1954688,-0.0207469
10,-2.8047135,-2.7772195,"('unsympathetic', 'sympathetic')",-2.8047135,-2.7772195,0.027494
11,-0.5693832,-0.5656167,"('unhelpful', 'helpful')",-0.5693832,-0.5656167,0.0037665
12,-1.007432,-0.902635,"('unsupportive', 'supportive')",-1.007432,-0.902635,0.104797
13,-1.8119667,-1.9218534,"('impolite', 'polite')",-1.8119667,-1.9218534,-0.1098867
14,-2.3034668,-2.357084,"('antisocial', 'social')",-2.3034668,-2.357084,-0.0536172
15,0.7855881,0.64343494,"('boring', 'funny')",0.7855881,0.6434349,-0.1421532
16,0.091206595,0.15268406,"('unpopular', 'popular')",0.0912066,0.1526841,0.0614775
17,-0.13494924,-0.07655817,"('nasty', 'nice')",-0.1349492,-0.0765582,0.058391
18,-0.21962684,-0.23812455,"('disagreeable', 'welcoming')",-0.2196268,-0.2381245,-0.0184977
19,0.3762355,0.4568707,"('inhospitable', 'hospitable')",0.3762355,0.4568707,0.0806352
20,-0.03667722,-0.06356676,"('rough', 'thoughtful')",-0.0366772,-0.0635668,-0.0268896
21,-0.9884858,-0.95831054,"('immoral', 'moral')",-0.9884858,-0.9583105,0.0301753
22,-1.0724686,-1.0801469,"('untrustworthy', 'trustworthy')",-1.0724686,-1.0801469,-0.0076783
23,0.20530017,0.09413052,"('insincere', 'sincere')",0.2053002,0.0941305,-0.1111697
24,-0.8375052,-0.8904501,"('dishonest', 'honest')",-0.8375052,-0.8904501,-0.0529449
25,1.2266413,1.2162945,"('egoistic', 'altruistic')",1.2266413,1.2162945,-0.0103468
26,0.26455605,0.029220233,"('hardhearted', 'benevolent')",0.2645561,0.0292202,-0.2353359
27,0.31919524,0.2951478,"('hardhearted', 'softhearted')",0.3191952,0.2951478,-0.0240474
28,-1.2346333,-1.3260049,"('disloyal', 'loyal')",-1.2346333,-1.3260049,-0.0913716
29,-0.2259395,-0.25283447,"('unfair', 'fair')",-0.2259395,-0.2528345,-0.026895
30,-1.0610286,-1.158469,"('intolerant', 'tolerant')",-1.0610286,-1.158469,-0.0974404
31,0.25484493,0.3080165,"('evil', 'good')",0.2548449,0.3080165,0.0531716
32,-0.0831691,-0.20247021,"('unkind', 'kind')",-0.0831691,-0.2024702,-0.1193011
33,1.0634942,1.0075598,"('wrong', 'right')",1.0634942,1.0075598,-0.0559344
34,1.4290435,1.5400356,"('mean', 'honorable')",1.4290435,1.5400356,0.1109921
35,1.9206924,1.8696488,"('corrupt', 'incorrupt')",1.9206924,1.8696488,-0.0510436
36,1.1311994,1.0885395,"('hostile', 'amicable')",1.1311994,1.0885395,-0.0426599
37,0.104684904,0.11105749,"('fake', 'genuine')",0.1046849,0.1110575,0.0063726
38,-0.10169899,-0.09943782,"('untruthful', 'truthful')",-0.101699,-0.0994378,0.0022612
39,-0.17800066,-0.24187228,"('exploitative', 'cooperative')",-0.1780007,-0.2418723,-0.0638716
40,-0.91626996,-0.9023412,"('stingy', 'generous')",-0.91627,-0.9023412,0.0139288
41,-0.8422403,-1.0199237,"('unforgiving', 'forgiving')",-0.8422403,-1.0199237,-0.1776834
42,-0.65406024,-0.60519385,"('unreliable', 'reliable')",-0.6540602,-0.6051939,0.0488663
43,-1.5313144,-1.5524449,"('irresponsible', 'responsible')",-1.5313144,-1.5524449,-0.0211305
44,0.8017882,0.7835366,"('prejudiced', 'unprejudiced')",0.8017882,0.7835366,-0.0182516
