,shopping_male,shopping_female,tuple,average_male,average_female,female-male
0,0.47055238,0.3763897,"('unsociable', 'sociable')",0.4705524,0.3763897,-0.0941627
1,1.5520897,1.5935472,"('unfriendly', 'friendly')",1.5520897,1.5935472,0.0414575
2,-0.23096941,-0.15111148,"('unlikable', 'likable')",-0.2309694,-0.1511115,0.0798579
3,0.4043325,0.39298925,"('repellent', 'pleasant')",0.4043325,0.3929892,-0.0113433
4,-7.614009,-7.616297,"('disliked', 'liked')",-7.6140089,-7.6162968,-0.0022879
5,-0.12930912,-0.08265598,"('distant', 'outgoing')",-0.1293091,-0.082656,0.0466531
6,0.32650214,0.34575343,"('distant', 'open')",0.3265021,0.3457534,0.0192513
7,1.2034733,1.2019047,"('insensitive', 'sensitive')",1.2034733,1.2019047,-0.0015686
8,1.2140139,1.173828,"('unaffectionate', 'affectionate')",1.2140139,1.173828,-0.0401859
9,2.1813905,2.1856227,"('unaffectionate', 'caring')",2.1813905,2.1856227,0.0042322
10,0.7842573,0.7717471,"('unsympathetic', 'sympathetic')",0.7842573,0.7717471,-0.0125102
11,2.2701802,2.3340008,"('unhelpful', 'helpful')",2.2701802,2.3340008,0.0638206
12,-1.4417664,-1.4411137,"('unsupportive', 'supportive')",-1.4417664,-1.4411137,0.0006527
13,0.09181544,0.047809698,"('impolite', 'polite')",0.0918154,0.0478097,-0.0440057
14,0.41635934,0.33009088,"('antisocial', 'social')",0.4163593,0.3300909,-0.0862684
15,0.106447555,0.07405999,"('boring', 'funny')",0.1064476,0.07406,-0.0323876
16,-0.2407366,-0.173166,"('unpopular', 'popular')",-0.2407366,-0.173166,0.0675706
17,0.022110172,0.04166947,"('nasty', 'nice')",0.0221102,0.0416695,0.0195593
18,-0.56034815,-0.5861251,"('disagreeable', 'welcoming')",-0.5603482,-0.5861251,-0.0257769
19,-0.33063224,-0.28534532,"('inhospitable', 'hospitable')",-0.3306322,-0.2853453,0.0452869
20,0.72449976,0.66222364,"('rough', 'thoughtful')",0.7244998,0.6622236,-0.0622762
21,-0.35443157,-0.30360672,"('immoral', 'moral')",-0.3544316,-0.3036067,0.0508249
