,carefusion_male,carefusion_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,0.40545765,0.4218276,"('unsociable', 'sociable')",0.060047895,-0.09023977,0.2327528,0.1657939,-0.0669589
1,-0.016616296,0.08445137,"('unfriendly', 'friendly')",1.1947503,1.1222569,0.589067,0.6033541,0.0142871
2,0.6771723,0.692846,"('unlikable', 'likable')",0.65503985,0.6562827,0.6661061,0.6745644,0.0084583
3,-0.3750906,-0.22160365,"('repellent', 'pleasant')",0.90899646,0.8788252,0.2669529,0.3286108,0.0616579
4,-0.21454573,-0.12328402,"('disliked', 'liked')",-7.0997167,-7.0686283,-3.6571312,-3.5959561,0.0611751
5,0.48322386,0.5387834,"('distant', 'outgoing')",-0.39196685,-0.31038934,0.0456285,0.114197,0.0685685
6,0.025220126,0.12257955,"('distant', 'open')",-0.5703075,-0.5007858,-0.2725437,-0.1891031,0.0834406
7,0.32848507,0.41777295,"('insensitive', 'sensitive')",0.2120438,0.23784241,0.2702644,0.3278077,0.0575433
8,-0.31647727,-0.30270404,"('unaffectionate', 'affectionate')",0.49147603,0.5148122,0.0874994,0.1060541,0.0185547
9,1.64161,1.7259448,"('unaffectionate', 'caring')",1.2607421,1.3318442,1.451176,1.5288944,0.0777184
10,0.1326507,0.25864813,"('unsympathetic', 'sympathetic')",-0.32996193,-0.31023076,-0.0986556,-0.0257913,0.0728643
11,1.2905917,1.3062785,"('unhelpful', 'helpful')",2.1442022,2.257682,1.717397,1.7819803,0.0645833
12,2.354889,2.564408,"('unsupportive', 'supportive')",-1.8682297,-1.796814,0.2433296,0.383797,0.1404674
13,0.83642983,0.7878712,"('impolite', 'polite')",-0.6264536,-0.642291,0.1049881,0.0727901,-0.032198
14,0.19717064,0.25333366,"('antisocial', 'social')",-0.16384076,-0.3005725,0.0166649,-0.0236194,-0.0402843
15,0.20230465,0.097357385,"('boring', 'funny')",-0.32598743,-0.32676154,-0.0618414,-0.1147021,-0.0528607
16,-0.955178,-0.87276655,"('unpopular', 'popular')",0.2890529,0.24919774,-0.3330626,-0.3117844,0.0212782
17,0.37925726,0.4677907,"('nasty', 'nice')",-0.43279392,-0.3891562,-0.0267683,0.0393173,0.0660856
18,0.28569147,0.32895586,"('disagreeable', 'welcoming')",-0.38007098,-0.46273994,-0.0471898,-0.066892,-0.0197022
19,-0.63754135,-0.61637264,"('inhospitable', 'hospitable')",-0.57290924,-0.464869,-0.6052253,-0.5406208,0.0646045
20,-0.6293772,-0.63834673,"('rough', 'thoughtful')",0.8115516,0.78512335,0.0910872,0.0733883,-0.0176989
21,0.98855036,0.99787664,"('immoral', 'moral')",-0.06940538,-0.11879158,0.4595725,0.4395425,-0.02003
22,0.033301663,0.07794088,"('untrustworthy', 'trustworthy')",-0.81798184,-0.838902,-0.3923401,-0.3804806,0.0118595
23,1.4178762,1.4511267,"('insincere', 'sincere')",6.178235,6.13966,3.7980556,3.7953932,-0.0026624
24,0.5936508,0.5916958,"('dishonest', 'honest')",0.7174875,0.7467269,0.6555692,0.6692113,0.0136421
25,-0.09086921,-0.081884265,"('egoistic', 'altruistic')",1.2878423,1.1970055,0.5984865,0.5575606,-0.0409259
