,enthusiasm_male,enthusiasm_female,tuple,average_male,average_female,female-male
0,0.331035,0.14712836,"('unsociable', 'sociable')",0.331035,0.1471284,-0.1839066
1,0.89411753,0.8634086,"('unfriendly', 'friendly')",0.8941175,0.8634086,-0.0307089
2,0.28735492,0.50910217,"('unlikable', 'likable')",0.2873549,0.5091022,0.2217473
3,0.9668178,1.1126814,"('repellent', 'pleasant')",0.9668178,1.1126814,0.1458636
4,-7.294,-7.234441,"('disliked', 'liked')",-7.2940001,-7.2344408,0.0595593
5,-0.5566542,-0.29435024,"('distant', 'outgoing')",-0.5566542,-0.2943502,0.262304
6,-0.32991347,-0.0963127,"('distant', 'open')",-0.3299135,-0.0963127,0.2336008
7,0.68230426,0.66202766,"('insensitive', 'sensitive')",0.6823043,0.6620277,-0.0202766
8,0.64597774,0.6614385,"('unaffectionate', 'affectionate')",0.6459777,0.6614385,0.0154608
9,1.2569742,1.3780277,"('unaffectionate', 'caring')",1.2569742,1.3780277,0.1210535
10,1.547476,1.6333493,"('unsympathetic', 'sympathetic')",1.5474761,1.6333493,0.0858732
11,2.210166,2.2250886,"('unhelpful', 'helpful')",2.210166,2.2250886,0.0149226
12,-1.4962729,-1.503157,"('unsupportive', 'supportive')",-1.4962729,-1.503157,-0.0068841
13,0.6572256,0.597034,"('impolite', 'polite')",0.6572256,0.597034,-0.0601916
14,0.1283689,-0.106179915,"('antisocial', 'social')",0.1283689,-0.1061799,-0.2345488
15,0.19189766,0.058921173,"('boring', 'funny')",0.1918977,0.0589212,-0.1329765
16,-0.60721916,-0.49184373,"('unpopular', 'popular')",-0.6072192,-0.4918437,0.1153755
17,-0.05926971,0.008235406,"('nasty', 'nice')",-0.0592697,0.0082354,0.0675051
18,-0.817261,-0.8940431,"('disagreeable', 'welcoming')",-0.817261,-0.8940431,-0.0767821
19,-0.7853506,-0.57366836,"('inhospitable', 'hospitable')",-0.7853506,-0.5736684,0.2116822
20,0.84947836,0.63958514,"('rough', 'thoughtful')",0.8494784,0.6395851,-0.2098933
21,0.27983338,0.4454338,"('immoral', 'moral')",0.2798334,0.4454338,0.1656004
22,-0.21114208,-0.3008545,"('untrustworthy', 'trustworthy')",-0.2111421,-0.3008545,-0.0897124
23,6.1480584,6.08437,"('insincere', 'sincere')",6.1480584,6.0843701,-0.0636883
24,1.686328,1.6663879,"('dishonest', 'honest')",1.6863281,1.6663879,-0.0199402
25,-0.016144142,-0.022682093,"('egoistic', 'altruistic')",-0.0161441,-0.0226821,-0.006538
26,0.23616605,-0.025911555,"('hardhearted', 'benevolent')",0.236166,-0.0259116,-0.2620776
27,1.5676519,1.4347261,"('hardhearted', 'softhearted')",1.5676519,1.4347261,-0.1329258
28,1.1638451,1.1916648,"('disloyal', 'loyal')",1.1638451,1.1916648,0.0278197
29,-0.5777866,-0.7716435,"('unfair', 'fair')",-0.5777866,-0.7716435,-0.1938569
30,0.9001915,0.88660115,"('intolerant', 'tolerant')",0.9001915,0.8866012,-0.0135903
31,-1.9508995,-1.9685124,"('evil', 'good')",-1.9508995,-1.9685124,-0.0176129
32,1.3858142,1.3149763,"('unkind', 'kind')",1.3858142,1.3149763,-0.0708379
33,-0.49880198,-0.40712798,"('wrong', 'right')",-0.498802,-0.407128,0.091674
34,4.2809877,4.5039577,"('mean', 'honorable')",4.2809877,4.5039577,0.22297
35,-1.4547454,-1.5315922,"('corrupt', 'incorrupt')",-1.4547454,-1.5315922,-0.0768468
36,-1.4180076,-1.3913363,"('hostile', 'amicable')",-1.4180076,-1.3913363,0.0266713
37,0.9947856,0.9378001,"('fake', 'genuine')",0.9947856,0.9378001,-0.0569855
38,-0.17247078,-0.012079224,"('untruthful', 'truthful')",-0.1724708,-0.0120792,0.1603916
39,0.0667198,-0.019342408,"('exploitative', 'cooperative')",0.0667198,-0.0193424,-0.0860622
40,-1.656061,-1.9067122,"('stingy', 'generous')",-1.6560611,-1.9067122,-0.2506511
41,0.13174038,0.14828576,"('unforgiving', 'forgiving')",0.1317404,0.1482858,0.0165454
