,village_male,village_female,tuple,average_male,average_female,female-male
0,1.0316118,0.8164877,"('unsociable', 'sociable')",1.0316118,0.8164877,-0.2151241
1,1.5157692,1.3044492,"('unfriendly', 'friendly')",1.5157692,1.3044492,-0.21132
2,0.23352127,0.31420553,"('unlikable', 'likable')",0.2335213,0.3142055,0.0806842
3,0.17425252,0.28597966,"('repellent', 'pleasant')",0.1742525,0.2859797,0.1117272
4,-6.0323944,-6.279396,"('disliked', 'liked')",-6.0323944,-6.2793961,-0.2470017
5,-0.5994757,-0.53217536,"('distant', 'outgoing')",-0.5994757,-0.5321754,0.0673003
6,-0.24029908,-0.1801222,"('distant', 'open')",-0.2402991,-0.1801222,0.0601769
7,1.1098626,1.0348561,"('insensitive', 'sensitive')",1.1098626,1.0348561,-0.0750065
8,1.096133,0.96833026,"('unaffectionate', 'affectionate')",1.096133,0.9683303,-0.1278027
9,1.813062,1.758996,"('unaffectionate', 'caring')",1.813062,1.758996,-0.054066
10,0.80900556,0.91185254,"('unsympathetic', 'sympathetic')",0.8090056,0.9118525,0.1028469
11,2.2903037,2.3176014,"('unhelpful', 'helpful')",2.2903037,2.3176014,0.0272977
12,-1.1727453,-1.2684469,"('unsupportive', 'supportive')",-1.1727453,-1.2684469,-0.0957016
13,0.2607191,0.2188022,"('impolite', 'polite')",0.2607191,0.2188022,-0.0419169
14,-0.0406983,-0.00830004,"('antisocial', 'social')",-0.0406983,-0.0083,0.0323983
15,1.270197,1.1407204,"('boring', 'funny')",1.270197,1.1407204,-0.1294766
16,0.8052416,0.6326335,"('unpopular', 'popular')",0.8052416,0.6326335,-0.1726081
17,-0.05627526,-0.07820935,"('nasty', 'nice')",-0.0562753,-0.0782093,-0.021934
18,-0.8638348,-0.98423636,"('disagreeable', 'welcoming')",-0.8638348,-0.9842364,-0.1204016
19,-0.09967081,-0.1373545,"('inhospitable', 'hospitable')",-0.0996708,-0.1373545,-0.0376837
20,0.5862026,0.50982237,"('rough', 'thoughtful')",0.5862026,0.5098224,-0.0763802
21,-0.16704613,-0.11918273,"('immoral', 'moral')",-0.1670461,-0.1191827,0.0478634
22,-0.08610175,-0.13915405,"('untrustworthy', 'trustworthy')",-0.0861017,-0.139154,-0.0530523
23,6.1421027,6.181848,"('insincere', 'sincere')",6.1421027,6.181848,0.0397453
24,1.1211048,1.1684512,"('dishonest', 'honest')",1.1211048,1.1684512,0.0473464
25,1.0636407,0.858997,"('egoistic', 'altruistic')",1.0636407,0.858997,-0.2046437
26,0.62638485,0.5434856,"('hardhearted', 'benevolent')",0.6263849,0.5434856,-0.0828993
27,1.0759171,0.9151332,"('hardhearted', 'softhearted')",1.0759171,0.9151332,-0.1607839
28,0.5750393,0.5674251,"('disloyal', 'loyal')",0.5750393,0.5674251,-0.0076142
29,-0.73225456,-0.7938262,"('unfair', 'fair')",-0.7322546,-0.7938262,-0.0615716
30,1.2919301,1.2417198,"('intolerant', 'tolerant')",1.2919301,1.2417198,-0.0502103
31,-1.1735473,-1.3272449,"('evil', 'good')",-1.1735473,-1.3272449,-0.1536976
32,0.9052583,0.87585425,"('unkind', 'kind')",0.9052583,0.8758543,-0.029404
33,-0.04745944,-0.17573088,"('wrong', 'right')",-0.0474594,-0.1757309,-0.1282715
34,5.031,5.1370783,"('mean', 'honorable')",5.0310001,5.1370783,0.1060782
35,-0.7450518,-0.95528007,"('corrupt', 'incorrupt')",-0.7450518,-0.9552801,-0.2102283
36,-0.13827077,-0.41873413,"('hostile', 'amicable')",-0.1382708,-0.4187341,-0.2804633
37,0.23077437,0.24128042,"('fake', 'genuine')",0.2307744,0.2412804,0.010506
38,0.97831035,0.8817579,"('untruthful', 'truthful')",0.9783103,0.8817579,-0.0965524
39,0.22971785,0.19084412,"('exploitative', 'cooperative')",0.2297179,0.1908441,-0.0388738
40,-2.3142257,-2.4911523,"('stingy', 'generous')",-2.3142257,-2.4911523,-0.1769266
41,0.28559983,0.15982251,"('unforgiving', 'forgiving')",0.2855998,0.1598225,-0.1257773
42,-2.478915,-2.4231043,"('unreliable', 'reliable')",-2.478915,-2.4231043,0.0558107
43,1.3107984,1.3192858,"('irresponsible', 'responsible')",1.3107984,1.3192858,0.0084874
44,-1.6268817,-1.5121305,"('prejudiced', 'unprejudiced')",-1.6268817,-1.5121305,0.1147512
45,0.787692,0.7577614,"('incompetent', 'competent')",0.787692,0.7577614,-0.0299306
46,-0.1080474,-0.18969604,"('uncompetitive', 'competitive')",-0.1080474,-0.189696,-0.0816486
47,5.042411,5.308742,"('stupid', 'smart')",5.0424109,5.308742,0.2663311
48,0.6699402,0.6040314,"('unintelligent', 'intelligent')",0.6699402,0.6040314,-0.0659088
49,-0.22733946,-0.15913405,"('unable', 'able')",-0.2273395,-0.159134,0.0682055
50,-0.6893259,-0.66020566,"('clumsy', 'skillful')",-0.6893259,-0.6602057,0.0291202
51,0.24717608,0.2545339,"('uneducated', 'educated')",0.2471761,0.2545339,0.0073578
52,-0.069241166,-0.22454497,"('irrational', 'rational')",-0.0692412,-0.224545,-0.1553038
53,0.25698152,0.12854436,"('uncreative', 'creative')",0.2569815,0.1285444,-0.1284371
54,1.0922912,1.1428285,"('incapable', 'capable')",1.0922912,1.1428285,0.0505373
55,0.922657,0.92680216,"('incompetent', 'clever')",0.922657,0.9268022,0.0041452
56,1.2517903,1.3251097,"('impractical', 'practical')",1.2517903,1.3251097,0.0733194
57,-2.2868311,-2.3371143,"('unimaginative', 'imaginative')",-2.2868311,-2.3371143,-0.0502832
58,0.041085936,0.053632118,"('undiscriminating', 'discriminating')",0.0410859,0.0536321,0.0125462
59,0.16428913,0.18192399,"('foolish', 'wise')",0.1642891,0.181924,0.0176349
60,0.6397398,0.74905676,"('inefficient', 'efficient')",0.6397398,0.7490568,0.109317
61,0.14401403,0.037616227,"('illogical', 'logical')",0.144014,0.0376162,-0.1063978
62,1.0797226,1.1817625,"('incompetent', 'brilliant')",1.0797226,1.1817625,0.1020399
63,0.8549112,0.8329223,"('unperceptive', 'insightful')",0.8549112,0.8329223,-0.0219889
64,-6.203435,-6.153554,"('shy', 'confident')",-6.2034349,-6.153554,0.0498809
65,-0.06798193,0.03602347,"('insecure', 'secure')",-0.0679819,0.0360235,0.1040054
66,-0.21141547,-0.23395559,"('inactive', 'active')",-0.2114155,-0.2339556,-0.0225401
67,-0.085719444,-0.025160978,"('doubtful', 'determined')",-0.0857194,-0.025161,0.0605584
68,-0.66238576,-0.6358418,"('dependent', 'independent')",-0.6623858,-0.6358418,0.026544
69,-1.02095,-1.1090893,"('lazy', 'industrious')",-1.02095,-1.1090893,-0.0881393
70,1.2551872,1.3369993,"('lethargic', 'energetic')",1.2551872,1.3369993,0.0818121
71,1.1870342,1.0885502,"('diffident', 'self-confident')",1.1870342,1.0885502,-0.098484
72,0.25028944,0.4093312,"('unambitious', 'ambitious')",0.2502894,0.4093312,0.1590418
73,-3.253263,-3.253771,"('helpless', 'self-reliant')",-3.253263,-3.2537711,-0.0005081
74,0.1458075,0.05332661,"('undedicated', 'dedicated')",0.1458075,0.0533266,-0.0924809
75,-0.56686676,-0.50949717,"('meek', 'impulsive')",-0.5668668,-0.5094972,0.0573696
76,-0.2447863,-0.09107866,"('anxious', 'daring')",-0.2447863,-0.0910787,0.1537076
77,-0.6673641,-0.67043877,"('unmotivated', 'motivated')",-0.6673641,-0.6704388,-0.0030747
78,-0.32106727,-0.49249426,"('nonresilient', 'resilient')",-0.3210673,-0.4924943,-0.171427
79,-0.33407146,-0.3461646,"('wavering', 'unwavering')",-0.3340715,-0.3461646,-0.0120931
80,-0.4035065,-0.33746582,"('dominated', 'dominating')",-0.4035065,-0.3374658,0.0660407
81,-0.57302034,-0.33522183,"('submissive', 'aggressive')",-0.5730203,-0.3352218,0.2377985
82,6.761453,6.9544106,"('poor', 'rich')",6.7614532,6.9544106,0.1929574
83,-0.7236941,-0.7267034,"('powerless', 'powerful')",-0.7236941,-0.7267034,-0.0030093
84,-0.4258201,-0.38291425,"('inferior', 'superior')",-0.4258201,-0.3829142,0.0429059
85,-0.43581718,-0.64641976,"('insignificant', 'prestigious')",-0.4358172,-0.6464198,-0.2106026
86,0.6790256,0.63600415,"('uninfluential', 'influential')",0.6790256,0.6360041,-0.0430215
87,0.37246066,0.43949732,"('unsuccessful', 'successful')",0.3724607,0.4394973,0.0670366
88,0.6699004,0.5661214,"('low', 'eminent')",0.6699004,0.5661214,-0.103779
