,petsmart_male,petsmart_female,tuple,inc_male,inc_female,average_male,average_female,female-male
0,1.0084654,0.9452218,"('unsociable', 'sociable')",-0.03289701,-0.19400784,0.4877842,0.375607,-0.1121772
1,0.7714592,0.73025495,"('unfriendly', 'friendly')",2.0096123,1.8571813,1.3905358,1.2937181,-0.0968177
2,-0.38569394,-0.46252987,"('unlikable', 'likable')",0.6120913,0.6495681,0.1131987,0.0935191,-0.0196796
3,-1.7999971,-1.6759108,"('repellent', 'pleasant')",-0.14905581,-0.037711263,-0.9745265,-0.856811,0.1177155
4,0.1613951,0.17817311,"('disliked', 'liked')",-6.390886,-6.4208837,-3.1147454,-3.1213553,-0.0066099
5,0.78095734,0.78017735,"('distant', 'outgoing')",0.012650248,0.005743906,0.3968038,0.3929606,-0.0038432
6,0.39569473,0.36205763,"('distant', 'open')",0.3624937,0.31559452,0.3790942,0.3388261,-0.0402681
7,-0.10580063,0.019268513,"('insensitive', 'sensitive')",0.71267563,0.75701475,0.3034375,0.3881416,0.0847041
8,0.3500489,0.31889445,"('unaffectionate', 'affectionate')",0.6774847,0.61056113,0.5137668,0.4647278,-0.049039
9,1.2393062,1.254647,"('unaffectionate', 'caring')",1.2719901,1.2692685,1.2556481,1.2619578,0.0063097
10,-0.310264,-0.24928159,"('unsympathetic', 'sympathetic')",-0.028970767,-0.05182024,-0.1696174,-0.1505509,0.0190665
11,0.96878266,1.072904,"('unhelpful', 'helpful')",2.1638777,2.2499983,1.5663302,1.6614511,0.0951209
12,1.022864,1.0981025,"('unsupportive', 'supportive')",-1.3814381,-1.3794299,-0.1792871,-0.1406637,0.0386234
13,0.8552042,0.809067,"('impolite', 'polite')",0.13372345,0.11909346,0.4944638,0.4640802,-0.0303836
14,-0.5148886,-0.4545404,"('antisocial', 'social')",-0.47032243,-0.44849458,-0.4926055,-0.4515175,0.041088
15,1.1623204,1.1205156,"('boring', 'funny')",0.5993019,0.5752987,0.8808111,0.8479072,-0.0329039
16,-0.30210865,-0.24161258,"('unpopular', 'popular')",0.60415566,0.6431383,0.1510235,0.2007629,0.0497394
17,-0.011509357,0.12552279,"('nasty', 'nice')",-0.4692651,-0.3747356,-0.2403872,-0.1246064,0.1157808
18,-1.2375793,-1.2144043,"('disagreeable', 'welcoming')",-0.37153703,-0.39423504,-0.8045582,-0.8043197,0.0002385
19,0.266658,0.2285792,"('inhospitable', 'hospitable')",0.21651673,0.21388543,0.2415874,0.2212323,-0.0203551
20,-0.59036064,-0.53337246,"('rough', 'thoughtful')",0.92771786,0.9004114,0.1686786,0.1835195,0.0148409
21,0.20959342,0.21561068,"('immoral', 'moral')",-0.3293455,-0.29839972,-0.059876,-0.0413945,0.0184815
22,-0.86083114,-0.8875352,"('untrustworthy', 'trustworthy')",-1.1059196,-1.1312889,-0.9833754,-1.0094121,-0.0260367
23,0.19693138,0.22686732,"('insincere', 'sincere')",6.0396137,6.0522695,3.1182725,3.1395683,0.0212958
24,0.024811223,-0.0071633756,"('dishonest', 'honest')",0.9703555,0.95501715,0.4975834,0.4739269,-0.0236565
25,-0.207482,-0.26205048,"('egoistic', 'altruistic')",1.218328,1.1668913,0.505423,0.4524204,-0.0530026
