,awe_male,awe_female,tuple,average_male,average_female,female-male
0,-0.38121483,-0.4192043,"('unsociable', 'sociable')",-0.3812148,-0.4192043,-0.0379895
1,1.5430778,1.5001621,"('unfriendly', 'friendly')",1.5430778,1.5001621,-0.0429157
2,-0.028397232,0.06635019,"('unlikable', 'likable')",-0.0283972,0.0663502,0.0947474
3,0.73397726,0.80962723,"('repellent', 'pleasant')",0.7339773,0.8096272,0.0756499
4,-7.2281547,-7.365713,"('disliked', 'liked')",-7.2281547,-7.3657131,-0.1375584
5,-0.15757586,-0.15412337,"('distant', 'outgoing')",-0.1575759,-0.1541234,0.0034525
6,0.39357615,0.32349384,"('distant', 'open')",0.3935761,0.3234938,-0.0700823
7,0.83489007,0.93711144,"('insensitive', 'sensitive')",0.8348901,0.9371114,0.1022213
8,1.2019792,1.1236522,"('unaffectionate', 'affectionate')",1.2019792,1.1236522,-0.078327
9,1.5076785,1.5426852,"('unaffectionate', 'caring')",1.5076785,1.5426852,0.0350067
10,0.80413944,0.80336416,"('unsympathetic', 'sympathetic')",0.8041394,0.8033642,-0.0007752
11,1.4802903,1.5332642,"('unhelpful', 'helpful')",1.4802903,1.5332642,0.0529739
12,-1.6177073,-1.6026642,"('unsupportive', 'supportive')",-1.6177073,-1.6026642,0.0150431
13,-0.36917627,-0.36862218,"('impolite', 'polite')",-0.3691763,-0.3686222,0.0005541
14,-0.23956695,-0.26241574,"('antisocial', 'social')",-0.239567,-0.2624157,-0.0228487
15,0.26388714,0.16352494,"('boring', 'funny')",0.2638871,0.1635249,-0.1003622
16,-0.22029056,-0.13268533,"('unpopular', 'popular')",-0.2202906,-0.1326853,0.0876053
17,-0.36631534,-0.3141437,"('nasty', 'nice')",-0.3663153,-0.3141437,0.0521716
18,-0.0064920485,-0.085456,"('disagreeable', 'welcoming')",-0.006492,-0.085456,-0.078964
19,-0.48391488,-0.49778086,"('inhospitable', 'hospitable')",-0.4839149,-0.4977809,-0.013866
20,0.9929806,0.9757665,"('rough', 'thoughtful')",0.9929806,0.9757665,-0.0172141
21,-0.4573441,-0.3603412,"('immoral', 'moral')",-0.4573441,-0.3603412,0.0970029
22,-0.5953561,-0.63688576,"('untrustworthy', 'trustworthy')",-0.5953561,-0.6368858,-0.0415297
23,6.4659758,6.5570354,"('insincere', 'sincere')",6.4659758,6.5570354,0.0910596
24,1.574942,1.5176618,"('dishonest', 'honest')",1.574942,1.5176618,-0.0572802
25,0.8414175,0.7690182,"('egoistic', 'altruistic')",0.8414175,0.7690182,-0.0723993
26,0.7784304,0.7362287,"('hardhearted', 'benevolent')",0.7784304,0.7362287,-0.0422017
27,1.8587765,1.7511224,"('hardhearted', 'softhearted')",1.8587765,1.7511224,-0.1076541
28,1.1282468,1.112857,"('disloyal', 'loyal')",1.1282468,1.112857,-0.0153898
29,-0.7326907,-0.82025445,"('unfair', 'fair')",-0.7326907,-0.8202544,-0.0875637
30,0.7088864,0.71634513,"('intolerant', 'tolerant')",0.7088864,0.7163451,0.0074587
31,-1.1176031,-1.1130872,"('evil', 'good')",-1.1176031,-1.1130872,0.0045159
32,1.0080017,1.0050538,"('unkind', 'kind')",1.0080017,1.0050538,-0.0029479
33,-0.54999167,-0.5828591,"('wrong', 'right')",-0.5499917,-0.5828591,-0.0328674
34,4.6656327,4.839154,"('mean', 'honorable')",4.6656327,4.8391538,0.1735211
35,-0.43216768,-0.68995607,"('corrupt', 'incorrupt')",-0.4321677,-0.6899561,-0.2577884
36,-0.5635352,-0.68993914,"('hostile', 'amicable')",-0.5635352,-0.6899391,-0.1264039
37,0.88932186,0.8781925,"('fake', 'genuine')",0.8893219,0.8781925,-0.0111294
38,-0.31689337,-0.29991227,"('untruthful', 'truthful')",-0.3168934,-0.2999123,0.0169811
39,0.3480874,0.33080953,"('exploitative', 'cooperative')",0.3480874,0.3308095,-0.0172779
40,-1.071017,-1.2457631,"('stingy', 'generous')",-1.071017,-1.2457631,-0.1747461
41,-0.037869986,-0.060766857,"('unforgiving', 'forgiving')",-0.03787,-0.0607669,-0.0228969
42,-2.2994747,-2.4076626,"('unreliable', 'reliable')",-2.2994747,-2.4076626,-0.1081879
43,0.8077486,0.86100554,"('irresponsible', 'responsible')",0.8077486,0.8610055,0.0532569
44,-1.1048571,-1.1413724,"('prejudiced', 'unprejudiced')",-1.1048571,-1.1413724,-0.0365153
45,-0.27278268,-0.22553468,"('incompetent', 'competent')",-0.2727827,-0.2255347,0.047248
46,-0.72608536,-0.78023165,"('uncompetitive', 'competitive')",-0.7260854,-0.7802317,-0.0541463
47,5.0190234,5.2583685,"('stupid', 'smart')",5.0190234,5.2583685,0.2393451
48,0.49310496,0.4614363,"('unintelligent', 'intelligent')",0.493105,0.4614363,-0.0316687
49,0.2637775,0.3373957,"('unable', 'able')",0.2637775,0.3373957,0.0736182
50,-0.18175213,-0.21011692,"('clumsy', 'skillful')",-0.1817521,-0.2101169,-0.0283648
51,0.6081942,0.52771086,"('uneducated', 'educated')",0.6081942,0.5277109,-0.0804833
52,-0.4060663,-0.45843026,"('irrational', 'rational')",-0.4060663,-0.4584303,-0.052364
53,0.20630857,0.15808967,"('uncreative', 'creative')",0.2063086,0.1580897,-0.0482189
54,1.0888394,1.1535363,"('incapable', 'capable')",1.0888394,1.1535363,0.0646969
55,0.5732004,0.6239932,"('incompetent', 'clever')",0.5732004,0.6239932,0.0507928
56,0.24919155,0.2631625,"('impractical', 'practical')",0.2491916,0.2631625,0.0139709
57,-2.8101118,-2.7922218,"('unimaginative', 'imaginative')",-2.8101118,-2.7922218,0.01789
58,0.20557006,0.19022693,"('undiscriminating', 'discriminating')",0.2055701,0.1902269,-0.0153432
59,0.16181853,0.18381196,"('foolish', 'wise')",0.1618185,0.183812,0.0219935
60,0.14675857,0.27436048,"('inefficient', 'efficient')",0.1467586,0.2743605,0.1276019
61,0.19393167,0.08245171,"('illogical', 'logical')",0.1939317,0.0824517,-0.11148
62,0.3283237,0.4629673,"('incompetent', 'brilliant')",0.3283237,0.4629673,0.1346436
63,0.12765044,0.18748692,"('unperceptive', 'insightful')",0.1276504,0.1874869,0.0598365
64,-6.451594,-6.4902096,"('shy', 'confident')",-6.4515939,-6.4902096,-0.0386157
65,-0.0708945,-0.031385623,"('insecure', 'secure')",-0.0708945,-0.0313856,0.0395089
66,-0.15892121,-0.23594567,"('inactive', 'active')",-0.1589212,-0.2359457,-0.0770245
67,-0.63736075,-0.56306505,"('doubtful', 'determined')",-0.6373608,-0.5630651,0.0742957
68,-0.45319492,-0.50367093,"('dependent', 'independent')",-0.4531949,-0.5036709,-0.050476
69,-1.863147,-1.8650384,"('lazy', 'industrious')",-1.863147,-1.8650384,-0.0018914
70,1.1180375,1.0842044,"('lethargic', 'energetic')",1.1180375,1.0842044,-0.0338331
71,0.58744174,0.6347823,"('diffident', 'self-confident')",0.5874417,0.6347823,0.0473406
72,0.70665693,0.84355915,"('unambitious', 'ambitious')",0.7066569,0.8435591,0.1369022
