,hearsay_male,hearsay_female,tuple,average_male,average_female,female-male
0,0.31656477,0.1219373,"('unsociable', 'sociable')",0.3165648,0.1219373,-0.1946275
1,-0.06727002,-0.19862667,"('unfriendly', 'friendly')",-0.06727,-0.1986267,-0.1313567
2,-0.21739705,-0.15771787,"('unlikable', 'likable')",-0.217397,-0.1577179,0.0596791
3,-0.3485482,-0.3175549,"('repellent', 'pleasant')",-0.3485482,-0.3175549,0.0309933
4,-3.4764361,-3.4471242,"('disliked', 'liked')",-3.4764361,-3.4471242,0.0293119
5,-0.81738603,-0.77054715,"('distant', 'outgoing')",-0.817386,-0.7705472,0.0468388
6,-0.7838731,-0.6938686,"('distant', 'open')",-0.7838731,-0.6938686,0.0900045
7,-0.075050645,-0.049895484,"('insensitive', 'sensitive')",-0.0750506,-0.0498955,0.0251551
8,-0.39124548,-0.39943737,"('unaffectionate', 'affectionate')",-0.3912455,-0.3994374,-0.0081919
9,0.37926835,0.3765473,"('unaffectionate', 'caring')",0.3792683,0.3765473,-0.002721
10,-0.16117543,-0.20963086,"('unsympathetic', 'sympathetic')",-0.1611754,-0.2096309,-0.0484555
11,1.1940538,1.1735978,"('unhelpful', 'helpful')",1.1940538,1.1735978,-0.020456
12,-1.0720165,-1.0786384,"('unsupportive', 'supportive')",-1.0720165,-1.0786384,-0.0066219
13,0.36103418,0.2102849,"('impolite', 'polite')",0.3610342,0.2102849,-0.1507493
14,-0.2792319,-0.39194784,"('antisocial', 'social')",-0.2792319,-0.3919478,-0.1127159
15,1.0193374,0.94557935,"('boring', 'funny')",1.0193374,0.9455793,-0.0737581
16,-0.35566536,-0.30904198,"('unpopular', 'popular')",-0.3556654,-0.309042,0.0466234
17,-0.5176579,-0.5104703,"('nasty', 'nice')",-0.5176579,-0.5104703,0.0071876
18,-1.6076201,-1.6339136,"('disagreeable', 'welcoming')",-1.6076201,-1.6339136,-0.0262935
19,-0.95201665,-0.86049885,"('inhospitable', 'hospitable')",-0.9520167,-0.8604988,0.0915179
20,0.06757938,0.04426633,"('rough', 'thoughtful')",0.0675794,0.0442663,-0.0233131
21,0.2486743,0.20944291,"('immoral', 'moral')",0.2486743,0.2094429,-0.0392314
22,0.4566332,0.40256727,"('untrustworthy', 'trustworthy')",0.4566332,0.4025673,-0.0540659
23,2.9561052,2.8185358,"('insincere', 'sincere')",2.9561052,2.8185358,-0.1375694
