,buck_male,buck_female,tuple,average_male,average_female,female-male
0,-0.06637576,-0.033600256,"('unsociable', 'sociable')",-0.0663758,-0.0336003,0.0327755
1,0.80350536,0.7898518,"('unfriendly', 'friendly')",0.8035054,0.7898518,-0.0136536
2,0.021595018,0.08103385,"('unlikable', 'likable')",0.021595,0.0810338,0.0594388
3,0.6776282,0.75246245,"('repellent', 'pleasant')",0.6776282,0.7524624,0.0748342
4,-7.0323453,-7.168553,"('disliked', 'liked')",-7.0323453,-7.1685529,-0.1362076
5,-0.6659008,-0.6626377,"('distant', 'outgoing')",-0.6659008,-0.6626377,0.0032631
6,-0.13196048,-0.19469985,"('distant', 'open')",-0.1319605,-0.1946999,-0.0627394
7,0.8451519,0.89881194,"('insensitive', 'sensitive')",0.8451519,0.8988119,0.05366
8,0.6011817,0.536639,"('unaffectionate', 'affectionate')",0.6011817,0.536639,-0.0645427
9,0.8997012,0.9100648,"('unaffectionate', 'caring')",0.8997012,0.9100648,0.0103636
10,1.1648861,1.214096,"('unsympathetic', 'sympathetic')",1.1648861,1.214096,0.0492099
11,1.0241951,1.0644672,"('unhelpful', 'helpful')",1.0241951,1.0644672,0.0402721
12,-1.9924434,-1.9959372,"('unsupportive', 'supportive')",-1.9924434,-1.9959372,-0.0034938
13,-0.2034634,-0.1374157,"('impolite', 'polite')",-0.2034634,-0.1374157,0.0660477
14,0.4251479,0.41260582,"('antisocial', 'social')",0.4251479,0.4126058,-0.0125421
15,-0.00030560791,-0.10595405,"('boring', 'funny')",-0.0003056,-0.1059541,-0.1056485
16,-0.5387782,-0.51655895,"('unpopular', 'popular')",-0.5387782,-0.5165589,0.0222193
17,-0.13233739,-0.10620092,"('nasty', 'nice')",-0.1323374,-0.1062009,0.0261365
18,-0.15341425,-0.19045457,"('disagreeable', 'welcoming')",-0.1534142,-0.1904546,-0.0370404
19,-0.7129386,-0.75255436,"('inhospitable', 'hospitable')",-0.7129386,-0.7525544,-0.0396158
20,0.8413276,0.804618,"('rough', 'thoughtful')",0.8413276,0.804618,-0.0367096
21,-0.33457312,-0.17990294,"('immoral', 'moral')",-0.3345731,-0.1799029,0.1546702
22,-0.021717098,-0.06078068,"('untrustworthy', 'trustworthy')",-0.0217171,-0.0607807,-0.0390636
23,5.776414,5.8577986,"('insincere', 'sincere')",5.7764139,5.8577986,0.0813847
24,1.4048234,1.3308378,"('dishonest', 'honest')",1.4048234,1.3308378,-0.0739856
25,0.7563911,0.69976693,"('egoistic', 'altruistic')",0.7563911,0.6997669,-0.0566242
26,0.6444915,0.56314856,"('hardhearted', 'benevolent')",0.6444915,0.5631486,-0.0813429
27,1.4653666,1.305837,"('hardhearted', 'softhearted')",1.4653666,1.305837,-0.1595296
28,0.7763257,0.74381196,"('disloyal', 'loyal')",0.7763257,0.743812,-0.0325137
29,-0.6044137,-0.7194865,"('unfair', 'fair')",-0.6044137,-0.7194865,-0.1150728
30,0.99675167,1.0549347,"('intolerant', 'tolerant')",0.9967517,1.0549347,0.058183
31,-1.3004696,-1.3427577,"('evil', 'good')",-1.3004696,-1.3427577,-0.0422881
32,0.7962636,0.7498195,"('unkind', 'kind')",0.7962636,0.7498195,-0.0464441
33,-0.5912497,-0.6292009,"('wrong', 'right')",-0.5912497,-0.6292009,-0.0379512
34,4.043925,4.2245097,"('mean', 'honorable')",4.0439248,4.2245097,0.1805849
35,-0.66782534,-0.9161468,"('corrupt', 'incorrupt')",-0.6678253,-0.9161468,-0.2483215
36,-0.86266273,-0.92738867,"('hostile', 'amicable')",-0.8626627,-0.9273887,-0.064726
37,0.7137964,0.71606547,"('fake', 'genuine')",0.7137964,0.7160655,0.0022691
38,-0.5778252,-0.5239706,"('untruthful', 'truthful')",-0.5778252,-0.5239706,0.0538546
39,0.63740224,0.6323478,"('exploitative', 'cooperative')",0.6374022,0.6323478,-0.0050544
40,-1.077567,-1.2083505,"('stingy', 'generous')",-1.077567,-1.2083505,-0.1307835
