,electronic_male,electronic_female,tuple,arts_male,arts_female,inc_male,inc_female,average_male,average_female,female-male
0,-0.693867,-0.78461206,"('unsociable', 'sociable')",-0.33542913,-0.45580748,-0.4317793,-0.5571721,-0.4870251,-0.5991972,-0.1121721
1,1.0326895,0.8476489,"('unfriendly', 'friendly')",-1.1531103,-1.2873042,1.9156826,1.810589,0.5984206,0.4569779,-0.1414427
2,-0.094990134,-0.052310288,"('unlikable', 'likable')",0.1785754,0.1728039,0.13232182,0.19987069,0.071969,0.1067881,0.0348191
3,-1.1911312,-1.1532596,"('repellent', 'pleasant')",0.2452243,0.34067795,0.30212882,0.36158946,-0.2145927,-0.1503307,0.064262
4,-0.9203162,-1.0644288,"('disliked', 'liked')",0.012128429,-0.0635736,-6.425988,-6.5883493,-2.4447254,-2.5721172,-0.1273918
5,0.3533255,0.317846,"('distant', 'outgoing')",-1.2020448,-1.2054614,-0.20938802,-0.277252,-0.3527025,-0.3882891,-0.0355866
6,0.23884642,0.18519284,"('distant', 'open')",-0.9257877,-0.90696925,0.52052975,0.41475713,-0.0554705,-0.1023398,-0.0468693
7,0.24926855,0.28834006,"('insensitive', 'sensitive')",-0.028611824,0.12005419,0.47931448,0.52405095,0.2333237,0.3108151,0.0774914
8,0.5540552,0.49946487,"('unaffectionate', 'affectionate')",-1.037863,-1.0457292,0.88971776,0.7487964,0.1353033,0.0675107,-0.0677926
9,0.62706196,0.55556214,"('unaffectionate', 'caring')",-1.2052468,-1.2312385,0.970268,0.91708213,0.1306944,0.0804686,-0.0502258
10,-1.7126068,-1.7263799,"('unsympathetic', 'sympathetic')",-1.0172662,-0.9495079,-0.91262525,-0.8937843,-1.2141661,-1.1898907,0.0242754
11,0.72072583,0.79615414,"('unhelpful', 'helpful')",-0.38693994,-0.29439813,1.2049732,1.3283899,0.5129197,0.6100486,0.0971289
12,0.03072082,0.09442796,"('unsupportive', 'supportive')",-0.7626854,-0.6346175,-2.1177702,-2.1250818,-0.9499116,-0.8884238,0.0614878
13,-0.91282934,-0.87609047,"('impolite', 'polite')",-0.79416364,-0.7984508,-0.7035966,-0.7275708,-0.8035299,-0.800704,0.0028259
14,-0.18556452,-0.17854589,"('antisocial', 'social')",1.3525276,1.2746168,-0.5914839,-0.5935233,0.1918264,0.1675159,-0.0243105
