,correspondence_male,correspondence_female,tuple,average_male,average_female,female-male
0,0.3795027,0.24023536,"('unsociable', 'sociable')",0.3795027,0.2402354,-0.1392673
1,0.91180444,0.9267686,"('unfriendly', 'friendly')",0.9118044,0.9267686,0.0149642
2,0.13004076,0.28233442,"('unlikable', 'likable')",0.1300408,0.2823344,0.1522936
3,0.47298238,0.5479455,"('repellent', 'pleasant')",0.4729824,0.5479455,0.0749631
4,-7.823681,-7.7689857,"('disliked', 'liked')",-7.8236809,-7.7689857,0.0546952
5,-1.2582601,-1.2207733,"('distant', 'outgoing')",-1.2582601,-1.2207733,0.0374868
6,-0.5775369,-0.5862404,"('distant', 'open')",-0.5775369,-0.5862404,-0.0087035
7,1.3098409,1.3762492,"('insensitive', 'sensitive')",1.3098409,1.3762492,0.0664083
8,0.9423722,0.9472716,"('unaffectionate', 'affectionate')",0.9423722,0.9472716,0.0048994
9,1.4174025,1.4862063,"('unaffectionate', 'caring')",1.4174025,1.4862063,0.0688038
10,1.5991356,1.4852154,"('unsympathetic', 'sympathetic')",1.5991356,1.4852154,-0.1139202
11,1.9010133,1.947945,"('unhelpful', 'helpful')",1.9010133,1.947945,0.0469317
12,-1.4322927,-1.3627071,"('unsupportive', 'supportive')",-1.4322927,-1.3627071,0.0695856
13,0.18149897,0.19300589,"('impolite', 'polite')",0.181499,0.1930059,0.0115069
14,0.15188688,0.15783902,"('antisocial', 'social')",0.1518869,0.157839,0.0059521
15,0.17570549,0.19921547,"('boring', 'funny')",0.1757055,0.1992155,0.02351
16,-1.1696658,-1.0682074,"('unpopular', 'popular')",-1.1696658,-1.0682074,0.1014584
17,-0.062185623,-0.13446084,"('nasty', 'nice')",-0.0621856,-0.1344608,-0.0722752
18,-1.1228095,-1.0312397,"('disagreeable', 'welcoming')",-1.1228095,-1.0312397,0.0915698
19,-0.66783965,-0.6346605,"('inhospitable', 'hospitable')",-0.6678396,-0.6346605,0.0331791
20,0.9874723,0.92147166,"('rough', 'thoughtful')",0.9874723,0.9214717,-0.0660006
21,0.13648918,0.21459664,"('immoral', 'moral')",0.1364892,0.2145966,0.0781074
22,0.015244322,0.044438597,"('untrustworthy', 'trustworthy')",0.0152443,0.0444386,0.0291943
23,6.471203,6.520592,"('insincere', 'sincere')",6.4712029,6.5205922,0.0493893
24,1.666017,1.6763264,"('dishonest', 'honest')",1.6660171,1.6763264,0.0103093
25,0.19404456,0.24275371,"('egoistic', 'altruistic')",0.1940446,0.2427537,0.0487091
26,1.0357909,0.91914725,"('hardhearted', 'benevolent')",1.0357909,0.9191473,-0.1166436
27,1.3429073,1.1814635,"('hardhearted', 'softhearted')",1.3429073,1.1814635,-0.1614438
28,1.1878375,1.0895537,"('disloyal', 'loyal')",1.1878375,1.0895537,-0.0982838
29,-0.5350094,-0.6709938,"('unfair', 'fair')",-0.5350094,-0.6709938,-0.1359844
30,1.2493379,1.1673764,"('intolerant', 'tolerant')",1.2493379,1.1673764,-0.0819615
31,-1.5229579,-1.5192976,"('evil', 'good')",-1.5229579,-1.5192976,0.0036603
32,1.3456066,1.3026707,"('unkind', 'kind')",1.3456066,1.3026707,-0.0429359
33,-0.7737091,-0.7274975,"('wrong', 'right')",-0.7737091,-0.7274975,0.0462116
34,4.1220703,4.243444,"('mean', 'honorable')",4.1220703,4.243444,0.1213737
35,-1.342231,-1.5077773,"('corrupt', 'incorrupt')",-1.342231,-1.5077773,-0.1655463
36,-0.8040396,-0.9728423,"('hostile', 'amicable')",-0.8040396,-0.9728423,-0.1688027
37,0.91227716,0.8797044,"('fake', 'genuine')",0.9122772,0.8797044,-0.0325728
38,-0.03990078,0.010259651,"('untruthful', 'truthful')",-0.0399008,0.0102597,0.0501605
39,0.4134903,0.4840735,"('exploitative', 'cooperative')",0.4134903,0.4840735,0.0705832
40,-1.5110385,-1.603632,"('stingy', 'generous')",-1.5110385,-1.603632,-0.0925935
41,0.23975492,0.07621501,"('unforgiving', 'forgiving')",0.2397549,0.076215,-0.1635399
42,-2.164927,-2.110105,"('unreliable', 'reliable')",-2.164927,-2.110105,0.054822
43,1.3563397,1.4241885,"('irresponsible', 'responsible')",1.3563397,1.4241885,0.0678488
44,-1.3253721,-1.323144,"('prejudiced', 'unprejudiced')",-1.3253721,-1.323144,0.0022281
45,0.43966305,0.290828,"('incompetent', 'competent')",0.4396631,0.290828,-0.1488351
46,-0.40266353,-0.45283177,"('uncompetitive', 'competitive')",-0.4026635,-0.4528318,-0.0501683
47,5.6764975,5.7361236,"('stupid', 'smart')",5.6764975,5.7361236,0.0596261
48,0.61616063,0.5313173,"('unintelligent', 'intelligent')",0.6161606,0.5313173,-0.0848433
49,-0.7481091,-0.5712557,"('unable', 'able')",-0.7481091,-0.5712557,0.1768534
50,-0.5177403,-0.48182216,"('clumsy', 'skillful')",-0.5177403,-0.4818222,0.0359181
51,-0.016130807,-0.019825898,"('uneducated', 'educated')",-0.0161308,-0.0198259,-0.0036951
52,-0.7270559,-0.8156855,"('irrational', 'rational')",-0.7270559,-0.8156855,-0.0886296
53,0.12884946,0.18396875,"('uncreative', 'creative')",0.1288495,0.1839688,0.0551193
54,0.6000253,0.70629513,"('incapable', 'capable')",0.6000253,0.7062951,0.1062698
55,0.70124495,0.76762825,"('incompetent', 'clever')",0.701245,0.7676283,0.0663833
56,0.93891585,1.0237762,"('impractical', 'practical')",0.9389158,1.0237762,0.0848604
57,-2.5888472,-2.606595,"('unimaginative', 'imaginative')",-2.5888472,-2.606595,-0.0177478
58,0.26410425,0.16121697,"('undiscriminating', 'discriminating')",0.2641042,0.161217,-0.1028872
59,-0.53277475,-0.46138266,"('foolish', 'wise')",-0.5327747,-0.4613827,0.071392
60,0.7384866,0.92447716,"('inefficient', 'efficient')",0.7384866,0.9244772,0.1859906
61,0.49133456,0.28726876,"('illogical', 'logical')",0.4913346,0.2872688,-0.2040658
62,0.5792014,0.75372213,"('incompetent', 'brilliant')",0.5792014,0.7537221,0.1745207
63,0.54083455,0.5761546,"('unperceptive', 'insightful')",0.5408345,0.5761546,0.0353201
64,-6.212558,-6.0946097,"('shy', 'confident')",-6.2125578,-6.0946097,0.1179481
65,1.0059483,0.9769034,"('insecure', 'secure')",1.0059483,0.9769034,-0.0290449
66,-0.14478,-0.23926392,"('inactive', 'active')",-0.14478,-0.2392639,-0.0944839
67,-0.24058929,-0.19142418,"('doubtful', 'determined')",-0.2405893,-0.1914242,0.0491651
68,-1.1972078,-1.209538,"('dependent', 'independent')",-1.1972078,-1.209538,-0.0123302
69,-2.150773,-2.0673175,"('lazy', 'industrious')",-2.150773,-2.0673175,0.0834555
70,1.4678215,1.4298427,"('lethargic', 'energetic')",1.4678215,1.4298427,-0.0379788
71,0.17837262,0.33940923,"('diffident', 'self-confident')",0.1783726,0.3394092,0.1610366
72,0.65867394,0.8223152,"('unambitious', 'ambitious')",0.6586739,0.8223152,0.1636413
73,-3.363832,-3.20345,"('helpless', 'self-reliant')",-3.363832,-3.20345,0.160382
74,0.008129697,0.012670256,"('undedicated', 'dedicated')",0.0081297,0.0126703,0.0045406
75,-1.1458521,-1.0710703,"('meek', 'impulsive')",-1.1458521,-1.0710703,0.0747818
76,0.56583005,0.5680184,"('anxious', 'daring')",0.5658301,0.5680184,0.0021883
77,-0.88060224,-0.79251057,"('unmotivated', 'motivated')",-0.8806022,-0.7925106,0.0880916
78,-0.54717064,-0.5521406,"('nonresilient', 'resilient')",-0.5471706,-0.5521406,-0.00497
79,-0.23524347,-0.3473867,"('wavering', 'unwavering')",-0.2352435,-0.3473867,-0.1121432
80,-0.012406282,-0.06438979,"('dominated', 'dominating')",-0.0124063,-0.0643898,-0.0519835
81,0.43346158,0.4419858,"('submissive', 'aggressive')",0.4334616,0.4419858,0.0085242
82,6.26982,6.289448,"('poor', 'rich')",6.2698202,6.2894478,0.0196276
83,-0.46005404,-0.46266982,"('powerless', 'powerful')",-0.460054,-0.4626698,-0.0026158
84,0.31459293,0.19594286,"('inferior', 'superior')",0.3145929,0.1959429,-0.11865
85,-1.5111078,-1.5549974,"('insignificant', 'prestigious')",-1.5111078,-1.5549974,-0.0438896
86,0.22689845,0.16464974,"('uninfluential', 'influential')",0.2268984,0.1646497,-0.0622487
87,-0.74260485,-0.5991277,"('unsuccessful', 'successful')",-0.7426049,-0.5991277,0.1434772
88,-0.043378618,-0.027676107,"('low', 'eminent')",-0.0433786,-0.0276761,0.0157025
