,aquifer_male,aquifer_female,tuple,average_male,average_female,female-male
0,-1.1433892,-1.2589641,"('unsociable', 'sociable')",-1.1433892,-1.2589641,-0.1155749
1,-0.62193745,-0.83768475,"('unfriendly', 'friendly')",-0.6219375,-0.8376848,-0.2157473
2,0.38696277,0.36811516,"('unlikable', 'likable')",0.3869628,0.3681152,-0.0188476
3,-0.6945964,-0.527983,"('repellent', 'pleasant')",-0.6945964,-0.527983,0.1666134
4,-0.8421775,-0.80782336,"('disliked', 'liked')",-0.8421775,-0.8078234,0.0343541
5,-0.22976944,-0.27088812,"('distant', 'outgoing')",-0.2297694,-0.2708881,-0.0411187
6,-0.1314678,-0.19917665,"('distant', 'open')",-0.1314678,-0.1991767,-0.0677089
7,-0.3917126,-0.28702834,"('insensitive', 'sensitive')",-0.3917126,-0.2870283,0.1046843
8,-0.8097444,-1.1024902,"('unaffectionate', 'affectionate')",-0.8097444,-1.1024902,-0.2927458
9,-0.23705451,-0.43584827,"('unaffectionate', 'caring')",-0.2370545,-0.4358483,-0.1987938
10,-1.2396909,-1.3116355,"('unsympathetic', 'sympathetic')",-1.2396909,-1.3116355,-0.0719446
11,-0.15790206,-0.11904981,"('unhelpful', 'helpful')",-0.1579021,-0.1190498,0.0388523
12,-0.3393028,-0.33248284,"('unsupportive', 'supportive')",-0.3393028,-0.3324828,0.00682
13,-0.74288046,-0.75249046,"('impolite', 'polite')",-0.7428805,-0.7524905,-0.00961
14,-0.20622663,-0.10963501,"('antisocial', 'social')",-0.2062266,-0.109635,0.0965916
15,0.529459,0.3808255,"('boring', 'funny')",0.529459,0.3808255,-0.1486335
16,0.25558078,0.22841118,"('unpopular', 'popular')",0.2555808,0.2284112,-0.0271696
17,-0.27155322,-0.14254211,"('nasty', 'nice')",-0.2715532,-0.1425421,0.1290111
18,-0.5717931,-0.4872994,"('disagreeable', 'welcoming')",-0.5717931,-0.4872994,0.0844937
19,-1.7043177,-1.6835948,"('inhospitable', 'hospitable')",-1.7043177,-1.6835948,0.0207229
20,-0.3838049,-0.30781612,"('rough', 'thoughtful')",-0.3838049,-0.3078161,0.0759888
21,-0.53556806,-0.4205895,"('immoral', 'moral')",-0.5355681,-0.4205895,0.1149786
22,-0.28283367,-0.2586312,"('untrustworthy', 'trustworthy')",-0.2828337,-0.2586312,0.0242025
23,0.44649363,0.38069943,"('insincere', 'sincere')",0.4464936,0.3806994,-0.0657942
24,0.5703488,0.45435637,"('dishonest', 'honest')",0.5703488,0.4543564,-0.1159924
25,0.48066795,0.47440818,"('egoistic', 'altruistic')",0.4806679,0.4744082,-0.0062597
26,0.80902034,0.48620352,"('hardhearted', 'benevolent')",0.8090203,0.4862035,-0.3228168
27,0.059252128,0.067244396,"('hardhearted', 'softhearted')",0.0592521,0.0672444,0.0079923
28,-0.47417116,-0.5904564,"('disloyal', 'loyal')",-0.4741712,-0.5904564,-0.1162852
29,-0.33193532,-0.30810016,"('unfair', 'fair')",-0.3319353,-0.3081002,0.0238351
30,0.049807973,0.08397176,"('intolerant', 'tolerant')",0.049808,0.0839718,0.0341638
31,-0.01676844,0.018267475,"('evil', 'good')",-0.0167684,0.0182675,0.0350359
32,-0.037057865,-0.23222886,"('unkind', 'kind')",-0.0370579,-0.2322289,-0.195171
33,0.7393319,0.6882266,"('wrong', 'right')",0.7393319,0.6882266,-0.0511053
34,0.8879805,0.9605552,"('mean', 'honorable')",0.8879805,0.9605552,0.0725747
35,0.65617466,0.6009137,"('corrupt', 'incorrupt')",0.6561747,0.6009137,-0.055261
36,-0.15055665,-0.32523435,"('hostile', 'amicable')",-0.1505567,-0.3252344,-0.1746777
37,0.0694723,0.031016128,"('fake', 'genuine')",0.0694723,0.0310161,-0.0384562
38,0.22279398,0.1516167,"('untruthful', 'truthful')",0.222794,0.1516167,-0.0711773
39,0.44557413,0.50986147,"('exploitative', 'cooperative')",0.4455741,0.5098615,0.0642874
40,0.36604837,0.3992156,"('stingy', 'generous')",0.3660484,0.3992156,0.0331672
41,-0.16897821,-0.16186675,"('unforgiving', 'forgiving')",-0.1689782,-0.1618668,0.0071114
42,-0.88551134,-0.85018015,"('unreliable', 'reliable')",-0.8855113,-0.8501801,0.0353312
43,-0.84030056,-0.95071,"('irresponsible', 'responsible')",-0.8403006,-0.95071,-0.1104094
44,0.3582629,0.36059955,"('prejudiced', 'unprejudiced')",0.3582629,0.3605995,0.0023366
45,-0.23995802,-0.18368104,"('incompetent', 'competent')",-0.239958,-0.183681,0.056277
46,-1.4145811,-1.3876425,"('uncompetitive', 'competitive')",-1.4145811,-1.3876425,0.0269386
47,1.4781923,1.4503295,"('stupid', 'smart')",1.4781923,1.4503295,-0.0278628
