,sportsman_male,sportsman_female,tuple,average_male,average_female,female-male
0,-0.01307877,-0.005133774,"('unsociable', 'sociable')",-0.0130788,-0.0051338,0.007945
1,0.5527353,0.48736224,"('unfriendly', 'friendly')",0.5527353,0.4873622,-0.0653731
2,-0.1385214,-0.046817526,"('unlikable', 'likable')",-0.1385214,-0.0468175,0.0917039
3,0.9225132,0.98253405,"('repellent', 'pleasant')",0.9225132,0.9825341,0.0600209
4,-7.1240864,-7.306276,"('disliked', 'liked')",-7.1240864,-7.3062758,-0.1821894
5,-0.9501169,-0.93883795,"('distant', 'outgoing')",-0.9501169,-0.9388379,0.011279
6,-0.4250936,-0.5001907,"('distant', 'open')",-0.4250936,-0.5001907,-0.0750971
7,0.70438075,0.80416876,"('insensitive', 'sensitive')",0.7043808,0.8041688,0.099788
8,0.6511594,0.4668881,"('unaffectionate', 'affectionate')",0.6511594,0.4668881,-0.1842713
9,0.8585568,0.80891603,"('unaffectionate', 'caring')",0.8585568,0.808916,-0.0496408
10,1.0907944,1.1885254,"('unsympathetic', 'sympathetic')",1.0907944,1.1885254,0.097731
11,1.1700151,1.2833467,"('unhelpful', 'helpful')",1.1700151,1.2833467,0.1133316
12,-2.005604,-1.9773128,"('unsupportive', 'supportive')",-2.005604,-1.9773128,0.0282912
13,-0.28667328,-0.11294996,"('impolite', 'polite')",-0.2866733,-0.11295,0.1737233
14,0.59654856,0.6101589,"('antisocial', 'social')",0.5965486,0.6101589,0.0136103
15,0.11923552,-0.038096067,"('boring', 'funny')",0.1192355,-0.0380961,-0.1573316
16,-0.7334315,-0.7446941,"('unpopular', 'popular')",-0.7334315,-0.7446941,-0.0112626
17,-0.24474205,-0.1984057,"('nasty', 'nice')",-0.2447421,-0.1984057,0.0463364
18,-0.41296053,-0.3862151,"('disagreeable', 'welcoming')",-0.4129605,-0.3862151,0.0267454
19,-0.9888307,-1.0735466,"('inhospitable', 'hospitable')",-0.9888307,-1.0735466,-0.0847159
20,0.82791835,0.792123,"('rough', 'thoughtful')",0.8279184,0.792123,-0.0357954
