,deck_male,deck_female,tuple,average_male,average_female,female-male
0,0.011114234,0.018366624,"('unsociable', 'sociable')",0.0111142,0.0183666,0.0072524
1,1.6369971,1.5819925,"('unfriendly', 'friendly')",1.6369971,1.5819925,-0.0550046
2,0.70392436,0.72689474,"('unlikable', 'likable')",0.7039244,0.7268947,0.0229703
3,0.9377946,0.8992871,"('repellent', 'pleasant')",0.9377946,0.8992871,-0.0385075
4,-7.132722,-7.2394094,"('disliked', 'liked')",-7.1327219,-7.2394094,-0.1066875
5,0.08595428,-0.053449403,"('distant', 'outgoing')",0.0859543,-0.0534494,-0.1394037
6,0.56455576,0.50765187,"('distant', 'open')",0.5645558,0.5076519,-0.0569039
7,0.84526896,0.96741813,"('insensitive', 'sensitive')",0.845269,0.9674181,0.1221491
8,1.3459824,1.4370389,"('unaffectionate', 'affectionate')",1.3459824,1.4370389,0.0910565
9,1.820258,1.9919707,"('unaffectionate', 'caring')",1.820258,1.9919707,0.1717127
10,1.1003015,1.1213518,"('unsympathetic', 'sympathetic')",1.1003015,1.1213518,0.0210503
11,1.8327972,1.9430157,"('unhelpful', 'helpful')",1.8327972,1.9430157,0.1102185
12,-1.2943609,-1.2698098,"('unsupportive', 'supportive')",-1.2943609,-1.2698098,0.0245511
13,0.21029927,0.038190097,"('impolite', 'polite')",0.2102993,0.0381901,-0.1721092
14,-0.47895247,-0.30199042,"('antisocial', 'social')",-0.4789525,-0.3019904,0.1769621
15,0.38650286,0.41859454,"('boring', 'funny')",0.3865029,0.4185945,0.0320916
16,-0.27212152,-0.31005886,"('unpopular', 'popular')",-0.2721215,-0.3100589,-0.0379374
17,-0.015780967,0.03417568,"('nasty', 'nice')",-0.015781,0.0341757,0.0499567
18,-0.5343956,-0.57934815,"('disagreeable', 'welcoming')",-0.5343956,-0.5793481,-0.0449525
19,-0.19709896,-0.20386054,"('inhospitable', 'hospitable')",-0.197099,-0.2038605,-0.0067615
20,0.56788546,0.3709253,"('rough', 'thoughtful')",0.5678855,0.3709253,-0.1969602
21,-0.04564532,0.07015178,"('immoral', 'moral')",-0.0456453,0.0701518,0.1157971
22,-0.4221518,-0.3858289,"('untrustworthy', 'trustworthy')",-0.4221518,-0.3858289,0.0363229
23,6.532978,6.748672,"('insincere', 'sincere')",6.5329781,6.748672,0.2156939
24,1.801416,1.8807577,"('dishonest', 'honest')",1.801416,1.8807577,0.0793417
25,0.39105818,0.3711723,"('egoistic', 'altruistic')",0.3910582,0.3711723,-0.0198859
26,0.16960666,0.18314222,"('hardhearted', 'benevolent')",0.1696067,0.1831422,0.0135355
27,1.7963165,1.5261762,"('hardhearted', 'softhearted')",1.7963165,1.5261762,-0.2701403
28,1.0979903,1.3086601,"('disloyal', 'loyal')",1.0979903,1.3086601,0.2106698
29,-0.11253318,-0.058437906,"('unfair', 'fair')",-0.1125332,-0.0584379,0.0540953
30,0.58460444,0.6676578,"('intolerant', 'tolerant')",0.5846044,0.6676578,0.0830534
31,-1.2762828,-1.3287053,"('evil', 'good')",-1.2762828,-1.3287053,-0.0524225
32,1.4910201,1.4441618,"('unkind', 'kind')",1.4910201,1.4441618,-0.0468583
33,-0.23856905,-0.2199518,"('wrong', 'right')",-0.2385691,-0.2199518,0.0186173
34,4.7549114,5.0026956,"('mean', 'honorable')",4.7549114,5.0026956,0.2477842
35,-0.9657423,-1.0209247,"('corrupt', 'incorrupt')",-0.9657423,-1.0209247,-0.0551824
36,-0.75024134,-0.6828746,"('hostile', 'amicable')",-0.7502413,-0.6828746,0.0673667
37,1.1086315,1.1143483,"('fake', 'genuine')",1.1086315,1.1143483,0.0057168
38,-0.01353243,0.11507289,"('untruthful', 'truthful')",-0.0135324,0.1150729,0.1286053
39,-0.18805665,-0.08094312,"('exploitative', 'cooperative')",-0.1880566,-0.0809431,0.1071135
40,-1.3929716,-1.5257944,"('stingy', 'generous')",-1.3929716,-1.5257944,-0.1328228
41,-0.11251101,0.049706645,"('unforgiving', 'forgiving')",-0.112511,0.0497066,0.1622176
42,-2.0235908,-2.1140645,"('unreliable', 'reliable')",-2.0235908,-2.1140645,-0.0904737
43,1.2096666,1.2715795,"('irresponsible', 'responsible')",1.2096666,1.2715795,0.0619129
44,-1.440945,-1.7067773,"('prejudiced', 'unprejudiced')",-1.440945,-1.7067773,-0.2658323
45,0.42963034,0.4470699,"('incompetent', 'competent')",0.4296303,0.4470699,0.0174396
46,-0.61413556,-0.6247887,"('uncompetitive', 'competitive')",-0.6141356,-0.6247887,-0.0106531
47,5.5329313,5.721838,"('stupid', 'smart')",5.5329313,5.721838,0.1889067
48,0.47046387,0.61426234,"('unintelligent', 'intelligent')",0.4704639,0.6142623,0.1437984
