,poll_male,poll_female,tuple,average_male,average_female,female-male
0,-0.06605238,-0.14192389,"('unsociable', 'sociable')",-0.0660524,-0.1419239,-0.0758715
1,2.0993655,1.9409384,"('unfriendly', 'friendly')",2.0993655,1.9409384,-0.1584271
2,0.16320354,0.20438741,"('unlikable', 'likable')",0.1632035,0.2043874,0.0411839
3,-0.34467015,-0.21982183,"('repellent', 'pleasant')",-0.3446701,-0.2198218,0.1248483
4,-7.0491705,-7.080325,"('disliked', 'liked')",-7.0491705,-7.0803251,-0.0311546
5,0.178946,0.051506966,"('distant', 'outgoing')",0.178946,0.051507,-0.127439
6,0.3485244,0.20932683,"('distant', 'open')",0.3485244,0.2093268,-0.1391976
7,1.377403,1.4400398,"('insensitive', 'sensitive')",1.377403,1.4400398,0.0626368
8,1.1471353,1.0360268,"('unaffectionate', 'affectionate')",1.1471353,1.0360268,-0.1111085
9,1.7659334,1.7205721,"('unaffectionate', 'caring')",1.7659334,1.7205721,-0.0453613
10,0.72914875,0.74250185,"('unsympathetic', 'sympathetic')",0.7291487,0.7425019,0.0133532
11,1.4619411,1.4690194,"('unhelpful', 'helpful')",1.4619411,1.4690194,0.0070783
12,-1.903787,-1.9601445,"('unsupportive', 'supportive')",-1.903787,-1.9601445,-0.0563575
13,0.03645046,-0.09688307,"('impolite', 'polite')",0.0364505,-0.0968831,-0.1333336
14,0.49419963,0.5264724,"('antisocial', 'social')",0.4941996,0.5264724,0.0322728
15,0.22114146,0.23460796,"('boring', 'funny')",0.2211415,0.234608,0.0134665
16,-0.9917135,-1.044294,"('unpopular', 'popular')",-0.9917135,-1.044294,-0.0525805
17,0.040903926,-0.0360307,"('nasty', 'nice')",0.0409039,-0.0360307,-0.0769346
18,-0.17704636,-0.26734185,"('disagreeable', 'welcoming')",-0.1770464,-0.2673419,-0.0902955
19,-0.03743249,-0.14129838,"('inhospitable', 'hospitable')",-0.0374325,-0.1412984,-0.1038659
20,0.75973225,0.8766847,"('rough', 'thoughtful')",0.7597322,0.8766847,0.1169525
21,-0.13237602,0.02883779,"('immoral', 'moral')",-0.132376,0.0288378,0.1612138
22,-0.8889043,-0.9144911,"('untrustworthy', 'trustworthy')",-0.8889043,-0.9144911,-0.0255868
23,6.2637596,6.2312827,"('insincere', 'sincere')",6.2637596,6.2312827,-0.0324769
24,1.7440231,1.6054189,"('dishonest', 'honest')",1.7440231,1.6054189,-0.1386042
25,0.7416849,0.6959279,"('egoistic', 'altruistic')",0.7416849,0.6959279,-0.045757
26,2.089235,1.9889834,"('hardhearted', 'benevolent')",2.0892351,1.9889834,-0.1002517
27,1.678382,1.5184028,"('hardhearted', 'softhearted')",1.678382,1.5184028,-0.1599792
28,1.1928966,1.0856137,"('disloyal', 'loyal')",1.1928966,1.0856137,-0.1072829
29,-0.3677997,-0.48602954,"('unfair', 'fair')",-0.3677997,-0.4860295,-0.1182298
30,1.0833905,1.1084616,"('intolerant', 'tolerant')",1.0833905,1.1084616,0.0250711
31,-1.4034127,-1.4249727,"('evil', 'good')",-1.4034127,-1.4249727,-0.02156
32,1.2413896,1.1153649,"('unkind', 'kind')",1.2413896,1.1153649,-0.1260247
33,0.12284416,-0.0023500472,"('wrong', 'right')",0.1228442,-0.00235,-0.1251942
