,gun_male,gun_female,tuple,average_male,average_female,female-male
0,0.12318063,0.044869214,"('unsociable', 'sociable')",0.1231806,0.0448692,-0.0783114
1,1.6867238,1.6561062,"('unfriendly', 'friendly')",1.6867238,1.6561062,-0.0306176
2,0.66226393,0.8360866,"('unlikable', 'likable')",0.6622639,0.8360866,0.1738227
3,0.9938608,1.2490995,"('repellent', 'pleasant')",0.9938608,1.2490995,0.2552387
4,-7.3001094,-7.1476817,"('disliked', 'liked')",-7.3001094,-7.1476817,0.1524277
5,-0.32698667,-0.2712506,"('distant', 'outgoing')",-0.3269867,-0.2712506,0.0557361
6,-0.021409102,0.04805375,"('distant', 'open')",-0.0214091,0.0480537,0.0694628
7,1.6194073,1.711243,"('insensitive', 'sensitive')",1.6194073,1.711243,0.0918357
8,1.3015869,1.2684774,"('unaffectionate', 'affectionate')",1.3015869,1.2684774,-0.0331095
9,1.759188,1.8245828,"('unaffectionate', 'caring')",1.7591881,1.8245828,0.0653947
10,1.4228616,1.5504156,"('unsympathetic', 'sympathetic')",1.4228616,1.5504156,0.127554
11,2.3482404,2.3900878,"('unhelpful', 'helpful')",2.3482404,2.3900878,0.0418474
12,-0.9462964,-0.8422171,"('unsupportive', 'supportive')",-0.9462964,-0.8422171,0.1040793
13,0.06001383,0.014931567,"('impolite', 'polite')",0.0600138,0.0149316,-0.0450822
14,0.17241931,0.13336593,"('antisocial', 'social')",0.1724193,0.1333659,-0.0390534
15,0.4526182,0.4230885,"('boring', 'funny')",0.4526182,0.4230885,-0.0295297
16,-0.6149373,-0.5223565,"('unpopular', 'popular')",-0.6149373,-0.5223565,0.0925808
17,-0.35961264,-0.33870894,"('nasty', 'nice')",-0.3596126,-0.3387089,0.0209037
18,-0.48591816,-0.48425677,"('disagreeable', 'welcoming')",-0.4859182,-0.4842568,0.0016614
19,0.022120442,0.09106359,"('inhospitable', 'hospitable')",0.0221204,0.0910636,0.0689432
20,0.8672894,0.7902202,"('rough', 'thoughtful')",0.8672894,0.7902202,-0.0770692
21,0.37269637,0.5085527,"('immoral', 'moral')",0.3726964,0.5085527,0.1358563
22,-0.0100902915,0.019737199,"('untrustworthy', 'trustworthy')",-0.0100903,0.0197372,0.0298275
23,7.1562057,7.170563,"('insincere', 'sincere')",7.1562057,7.1705632,0.0143575
24,2.4414022,2.4494846,"('dishonest', 'honest')",2.4414022,2.4494846,0.0080824
25,0.46226284,0.36291522,"('egoistic', 'altruistic')",0.4622628,0.3629152,-0.0993476
26,0.12691987,0.090040945,"('hardhearted', 'benevolent')",0.1269199,0.0900409,-0.036879
27,1.369667,1.3046851,"('hardhearted', 'softhearted')",1.3696671,1.3046851,-0.064982
28,1.5637461,1.5959905,"('disloyal', 'loyal')",1.5637461,1.5959905,0.0322444
29,0.1453025,0.058544293,"('unfair', 'fair')",0.1453025,0.0585443,-0.0867582
30,1.23066,1.166343,"('intolerant', 'tolerant')",1.23066,1.166343,-0.064317
31,-1.5345677,-1.4688233,"('evil', 'good')",-1.5345677,-1.4688233,0.0657444
