,deposition_male,deposition_female,tuple,average_male,average_female,female-male
0,0.16012366,0.13851501,"('unsociable', 'sociable')",0.1601237,0.138515,-0.0216087
1,1.1644046,1.2380291,"('unfriendly', 'friendly')",1.1644046,1.2380291,0.0736245
2,0.36927676,0.5822711,"('unlikable', 'likable')",0.3692768,0.5822711,0.2129943
3,0.85441476,0.9559106,"('repellent', 'pleasant')",0.8544148,0.9559106,0.1014958
4,-7.723126,-7.63253,"('disliked', 'liked')",-7.7231259,-7.6325302,0.0905957
5,-0.5094647,-0.3653055,"('distant', 'outgoing')",-0.5094647,-0.3653055,0.1441592
6,-0.23464715,-0.184504,"('distant', 'open')",-0.2346472,-0.184504,0.0501432
7,1.4750831,1.5005274,"('insensitive', 'sensitive')",1.4750831,1.5005274,0.0254443
8,1.1297737,1.0492388,"('unaffectionate', 'affectionate')",1.1297737,1.0492388,-0.0805349
9,1.4736637,1.5515438,"('unaffectionate', 'caring')",1.4736637,1.5515438,0.0778801
10,1.5204774,1.4336082,"('unsympathetic', 'sympathetic')",1.5204774,1.4336082,-0.0868692
11,1.985971,2.0626144,"('unhelpful', 'helpful')",1.985971,2.0626144,0.0766434
12,-1.297654,-1.1200749,"('unsupportive', 'supportive')",-1.297654,-1.1200749,0.1775791
13,0.06421923,0.09508378,"('impolite', 'polite')",0.0642192,0.0950838,0.0308646
14,0.35059544,0.32458618,"('antisocial', 'social')",0.3505954,0.3245862,-0.0260092
15,0.2082963,0.32308626,"('boring', 'funny')",0.2082963,0.3230863,0.11479
16,-0.99115163,-0.7821003,"('unpopular', 'popular')",-0.9911516,-0.7821003,0.2090513
17,-0.18392217,-0.2374273,"('nasty', 'nice')",-0.1839222,-0.2374273,-0.0535051
18,-0.42046362,-0.2967041,"('disagreeable', 'welcoming')",-0.4204636,-0.2967041,0.1237595
19,-1.046883,-0.95984304,"('inhospitable', 'hospitable')",-1.046883,-0.959843,0.08704
20,1.0117843,0.90171885,"('rough', 'thoughtful')",1.0117843,0.9017189,-0.1100654
21,0.0647067,0.21827826,"('immoral', 'moral')",0.0647067,0.2182783,0.1535716
22,0.24731363,0.27857324,"('untrustworthy', 'trustworthy')",0.2473136,0.2785732,0.0312596
23,6.640012,6.7413044,"('insincere', 'sincere')",6.6400118,6.7413044,0.1012926
24,1.8862845,1.9133288,"('dishonest', 'honest')",1.8862845,1.9133288,0.0270443
25,0.2764498,0.2983229,"('egoistic', 'altruistic')",0.2764498,0.2983229,0.0218731
26,0.6188382,0.3656997,"('hardhearted', 'benevolent')",0.6188382,0.3656997,-0.2531385
27,1.7473933,1.6088567,"('hardhearted', 'softhearted')",1.7473933,1.6088567,-0.1385366
28,1.0125632,0.8599392,"('disloyal', 'loyal')",1.0125632,0.8599392,-0.152624
29,-0.2248433,-0.34661156,"('unfair', 'fair')",-0.2248433,-0.3466116,-0.1217683
30,1.3295739,1.2676998,"('intolerant', 'tolerant')",1.3295739,1.2676998,-0.0618741
31,-1.3750205,-1.3125999,"('evil', 'good')",-1.3750205,-1.3125999,0.0624206
32,1.3705974,1.2920386,"('unkind', 'kind')",1.3705974,1.2920386,-0.0785588
33,-0.8645054,-0.7129932,"('wrong', 'right')",-0.8645054,-0.7129932,0.1515122
34,4.320566,4.5191507,"('mean', 'honorable')",4.3205662,4.5191507,0.1985845
35,-1.2282225,-1.4097962,"('corrupt', 'incorrupt')",-1.2282225,-1.4097962,-0.1815737
36,-0.9044492,-1.0746349,"('hostile', 'amicable')",-0.9044492,-1.0746349,-0.1701857
37,0.54724604,0.54968345,"('fake', 'genuine')",0.547246,0.5496835,0.0024375
38,-0.28409708,-0.17270863,"('untruthful', 'truthful')",-0.2840971,-0.1727086,0.1113885
39,-0.05084662,-0.006511474,"('exploitative', 'cooperative')",-0.0508466,-0.0065115,0.0443351
40,-1.1969768,-1.2413713,"('stingy', 'generous')",-1.1969768,-1.2413713,-0.0443945
41,0.34513837,0.18280956,"('unforgiving', 'forgiving')",0.3451384,0.1828096,-0.1623288
42,-1.9252346,-1.86529,"('unreliable', 'reliable')",-1.9252346,-1.86529,0.0599446
43,1.5287377,1.6126728,"('irresponsible', 'responsible')",1.5287377,1.6126728,0.0839351
44,-1.4243544,-1.5316461,"('prejudiced', 'unprejudiced')",-1.4243544,-1.5316461,-0.1072917
45,0.3879319,0.32842374,"('incompetent', 'competent')",0.3879319,0.3284237,-0.0595082
46,-0.3391316,-0.3083706,"('uncompetitive', 'competitive')",-0.3391316,-0.3083706,0.030761
47,5.5246515,5.686402,"('stupid', 'smart')",5.5246515,5.6864018,0.1617503
48,0.95663863,0.9449022,"('unintelligent', 'intelligent')",0.9566386,0.9449022,-0.0117364
