,dr_male,dr_female,tuple,horton_male,horton_female,inc_male,inc_female,average_male,average_female,female-male
0,2.0296562,1.770472,"('unsociable', 'sociable')",1.8257217,1.4866279,0.15497597,-0.07359782,1.3367847,1.0611674,-0.2756173
1,-0.51450354,-0.46566212,"('unfriendly', 'friendly')",-0.33075574,-0.3647369,1.0540764,0.8901328,0.0696057,0.0199112,-0.0496945
2,0.43901253,0.5004606,"('unlikable', 'likable')",0.72813284,0.69252694,0.45596874,0.5298369,0.541038,0.5742748,0.0332368
3,-0.28393245,-0.45327732,"('repellent', 'pleasant')",-0.69239885,-0.68077314,0.33300632,0.35404333,-0.2144417,-0.2600024,-0.0455607
4,-0.48048535,-0.55434406,"('disliked', 'liked')",-0.6959551,-0.70469606,-6.1615486,-6.243733,-2.4459963,-2.5009244,-0.0549281
5,-2.3061614,-2.0720506,"('distant', 'outgoing')",-1.563796,-1.3734853,-0.90095055,-0.7771919,-1.5903026,-1.4075759,0.1827267
6,-2.6966062,-2.3697407,"('distant', 'open')",-1.8305027,-1.5722522,-0.62229294,-0.5123772,-1.7164674,-1.48479,0.2316774
7,0.080887705,0.04229946,"('insensitive', 'sensitive')",1.1323873,1.062545,0.63331276,0.60900056,0.6155292,0.5712817,-0.0442475
8,-0.81999326,-0.7686082,"('unaffectionate', 'affectionate')",-1.1824733,-1.1679723,0.34168124,0.31188902,-0.5535951,-0.5415638,0.0120313
9,0.5532144,0.62753594,"('unaffectionate', 'caring')",-0.19249439,-0.14040461,1.0083845,0.9958529,0.4563681,0.4943281,0.03796
10,1.7690971,1.6391557,"('unsympathetic', 'sympathetic')",0.8553133,0.60013,0.57390714,0.42620203,1.0661058,0.8884959,-0.1776099
11,1.9177415,1.7540959,"('unhelpful', 'helpful')",0.85484207,0.74755746,2.5266945,2.4606361,1.7664261,1.6540966,-0.1123295
12,2.1716983,2.3203342,"('unsupportive', 'supportive')",0.6835995,0.6870534,-1.4951682,-1.3763466,0.4533765,0.5436803,0.0903038
13,2.2381115,2.1438816,"('impolite', 'polite')",2.6828575,2.542981,0.18985145,0.13886482,1.7036068,1.6085758,-0.095031
14,1.474895,1.2202299,"('antisocial', 'social')",1.2242099,0.91409296,0.0513758,-0.1104836,0.9168269,0.6746131,-0.2422138
15,-0.5728641,-0.45656484,"('boring', 'funny')",0.07018345,0.026450463,0.21265256,0.16640325,-0.096676,-0.0879037,0.0087723
16,-1.2836925,-1.247996,"('unpopular', 'popular')",-1.6199656,-1.5969819,0.213348,0.2210409,-0.89677,-0.8746456,0.0221244
17,-0.6279347,-0.5618249,"('nasty', 'nice')",-0.7582735,-0.7062415,-0.65961003,-0.5463444,-0.6819394,-0.6048036,0.0771358
18,-0.5307428,-0.4267478,"('disagreeable', 'welcoming')",-0.6522703,-0.6624718,-0.6206838,-0.5787112,-0.6012323,-0.5559769,0.0452554
19,-0.7384308,-0.62895286,"('inhospitable', 'hospitable')",-1.1696714,-0.96834457,-0.6247952,-0.49678344,-0.8442992,-0.698027,0.1462722
20,0.5015732,0.34416792,"('rough', 'thoughtful')",0.55024266,0.5398935,1.382014,1.2795703,0.8112766,0.7212106,-0.090066
21,1.6885405,1.7334896,"('immoral', 'moral')",1.0375896,0.83146095,-0.23852612,-0.27399927,0.8292013,0.7636504,-0.0655509
22,1.1715361,1.1122371,"('untrustworthy', 'trustworthy')",1.6015128,1.3955914,-0.36751583,-0.47949743,0.8018444,0.6761103,-0.1257341
23,1.6935849,1.4920002,"('insincere', 'sincere')",0.93566364,0.7304808,5.8708205,5.763438,2.8333562,2.661973,-0.1713832
24,0.5817591,0.5613401,"('dishonest', 'honest')",1.0804987,1.0472705,0.8567504,0.8061323,0.8396694,0.8049143,-0.0347551
25,-1.8123404,-1.637654,"('egoistic', 'altruistic')",-0.21444872,-0.1318848,0.76233417,0.76464933,-0.421485,-0.3349632,0.0865218
26,-0.41655082,-0.50827634,"('hardhearted', 'benevolent')",1.5361772,1.319038,1.494511,1.3194684,0.8713791,0.7100766,-0.1613025
27,-0.7943996,-0.67689705,"('hardhearted', 'softhearted')",-0.429276,-0.32034877,0.92458135,0.92730176,-0.0996981,-0.0233147,0.0763834
28,-0.41691747,-0.5457318,"('disloyal', 'loyal')",0.21156435,0.06929157,1.1490324,0.9332607,0.3145597,0.1522735,-0.1622862
29,-0.6994864,-0.641549,"('unfair', 'fair')",-0.2779757,-0.17934099,-0.5722614,-0.70233005,-0.5165745,-0.50774,0.0088345
30,2.0054102,1.9481449,"('intolerant', 'tolerant')",1.6655595,1.5183296,1.6898813,1.6255188,1.7869504,1.6973311,-0.0896193
31,-2.5365765,-2.3728693,"('evil', 'good')",-1.9522408,-1.8118232,-1.531187,-1.5001137,-2.0066681,-1.8949353,0.1117328
32,2.4206028,2.366578,"('unkind', 'kind')",0.31175143,0.1439778,1.3833951,1.21118,1.3719165,1.2405787,-0.1313378
33,-0.95721817,-0.82833767,"('wrong', 'right')",0.8838172,0.9910355,-1.1190078,-1.1026189,-0.3974696,-0.313307,0.0841626
34,0.44118038,0.49473217,"('mean', 'honorable')",-1.3320124,-1.2644584,5.9908032,6.1105795,1.6999904,1.7802844,0.080294
35,-2.4568837,-2.327977,"('corrupt', 'incorrupt')",-1.3628842,-1.1953624,-0.76691484,-0.81032,-1.5288943,-1.4445531,0.0843412
36,-2.7017462,-2.5662248,"('hostile', 'amicable')",-1.6424356,-1.6252408,-0.52606916,-0.6755606,-1.6234171,-1.622342,0.0010751
37,1.0419478,0.9491359,"('fake', 'genuine')",1.1733983,1.191938,0.70949996,0.6904114,0.9749487,0.9438284,-0.0311203
38,0.36136308,0.4173341,"('untruthful', 'truthful')",0.13878645,0.104138464,0.080087125,0.109821126,0.1934122,0.2104312,0.017019
39,0.28689542,0.3436382,"('exploitative', 'cooperative')",2.1353087,2.1518066,0.20187314,0.19887987,0.8746924,0.8981082,0.0234158
