,pool_male,pool_female,tuple,corp_male,corp_female,average_male,average_female,female-male
0,2.2233074,2.1598163,"('unsociable', 'sociable')",-0.027374271,-0.18199056,1.0979666,0.9889128,-0.1090538
1,0.42248508,0.45703274,"('unfriendly', 'friendly')",1.4307201,1.3675462,0.9266026,0.9122895,-0.0143131
2,1.171616,1.1983533,"('unlikable', 'likable')",0.66456425,0.6635789,0.9180901,0.9309661,0.012876
3,0.7447888,0.8603191,"('repellent', 'pleasant')",0.5856145,0.6361568,0.6652017,0.748238,0.0830363
4,-1.4620882,-1.5030878,"('disliked', 'liked')",-7.0193906,-7.1523094,-4.2407393,-4.3276987,-0.0869594
5,-0.774818,-0.6936395,"('distant', 'outgoing')",-0.45340246,-0.5033214,-0.6141102,-0.5984805,0.0156297
6,-0.5531572,-0.490349,"('distant', 'open')",-0.4115621,-0.42402303,-0.4823596,-0.457186,0.0251736
7,2.0880044,2.1378443,"('insensitive', 'sensitive')",0.47809932,0.5591687,1.2830518,1.3485065,0.0654547
8,0.017816778,-0.010631409,"('unaffectionate', 'affectionate')",0.7091006,0.69906116,0.3634587,0.3442149,-0.0192438
9,1.4013401,1.4102623,"('unaffectionate', 'caring')",1.3074929,1.3652421,1.3544165,1.3877523,0.0333358
10,1.2168983,1.1851866,"('unsympathetic', 'sympathetic')",-0.3111775,-0.23408055,0.4528604,0.475553,0.0226926
11,1.0500844,1.0508881,"('unhelpful', 'helpful')",2.1798623,2.2787683,1.6149733,1.6648282,0.0498549
12,1.599109,1.6520683,"('unsupportive', 'supportive')",-1.9837481,-1.9435986,-0.1923195,-0.1457652,0.0465543
13,1.3849145,1.3860228,"('impolite', 'polite')",-0.96585613,-0.9677528,0.2095292,0.209135,-0.0003942
14,3.1652026,3.0980046,"('antisocial', 'social')",0.106084965,0.009075001,1.6356438,1.5535398,-0.082104
15,0.11222287,0.022690583,"('boring', 'funny')",-0.104946785,-0.18247783,0.003638,-0.0798936,-0.0835316
16,-1.4886591,-1.4499658,"('unpopular', 'popular')",-0.036719993,-0.07906597,-0.7626896,-0.7645159,-0.0018263
17,0.13256192,0.19019598,"('nasty', 'nice')",-0.34484833,-0.3210284,-0.1061432,-0.0654162,0.040727
18,0.14385207,0.21878946,"('disagreeable', 'welcoming')",-0.65303415,-0.7104817,-0.254591,-0.2458461,0.0087449
19,-1.7188503,-1.6696014,"('inhospitable', 'hospitable')",-0.44368476,-0.41237104,-1.0812675,-1.0409863,0.0402812
20,0.3055849,0.35409263,"('rough', 'thoughtful')",0.86442304,0.8583881,0.585004,0.6062404,0.0212364
21,1.4747245,1.4259619,"('immoral', 'moral')",-0.2647678,-0.2542886,0.6049784,0.5858366,-0.0191418
22,0.07727154,0.07565647,"('untrustworthy', 'trustworthy')",-0.6810385,-0.682966,-0.3018835,-0.3036548,-0.0017713
23,1.8877498,1.9055885,"('insincere', 'sincere')",6.4242797,6.4358764,4.1560149,4.1707325,0.0147176
24,0.42414632,0.48993838,"('dishonest', 'honest')",0.746791,0.7887009,0.5854686,0.6393197,0.0538511
25,0.0152690485,0.068570785,"('egoistic', 'altruistic')",1.2652614,1.2357314,0.6402652,0.652151,0.0118858
26,1.5384299,1.509393,"('hardhearted', 'benevolent')",1.9791912,1.9103992,1.7588105,1.7098961,-0.0489144
27,0.6925334,0.7038018,"('hardhearted', 'softhearted')",1.2387387,1.2089472,0.965636,0.9563745,-0.0092615
28,0.5836146,0.46955177,"('disloyal', 'loyal')",1.5323864,1.4639556,1.0580006,0.9667537,-0.0912469
29,-0.30662885,-0.30644652,"('unfair', 'fair')",-0.5708695,-0.6976016,-0.4387492,-0.5020241,-0.0632749
30,2.0352473,2.032385,"('intolerant', 'tolerant')",0.9557528,0.9141545,1.4955001,1.4732698,-0.0222303
31,-2.5821178,-2.3978293,"('evil', 'good')",-1.145142,-1.1547003,-1.8636298,-1.7762648,0.087365
32,1.0820637,1.0973927,"('unkind', 'kind')",1.2433333,1.1450531,1.1626985,1.121223,-0.0414755
33,0.27825955,0.25840425,"('wrong', 'right')",-0.46592414,-0.5102353,-0.0938323,-0.1259155,-0.0320832
34,0.010319684,0.13271794,"('mean', 'honorable')",5.487775,5.630992,2.7490473,2.881855,0.1328077
35,-3.0066035,-3.0819817,"('corrupt', 'incorrupt')",-0.30239254,-0.42684796,-1.654498,-1.7544148,-0.0999168
36,-1.9758099,-1.9394214,"('hostile', 'amicable')",-0.42925686,-0.5343591,-1.2025334,-1.2368903,-0.0343569
37,-0.25868472,-0.27790365,"('fake', 'genuine')",0.18522312,0.2513452,-0.0367308,-0.0132792,0.0234516
38,0.71146506,0.7275519,"('untruthful', 'truthful')",0.051409516,0.123127505,0.3814373,0.4253397,0.0439024
39,1.5926093,1.587666,"('exploitative', 'cooperative')",0.19823399,0.23814419,0.8954216,0.9129051,0.0174835
40,0.6106107,0.6899172,"('stingy', 'generous')",-2.0839226,-2.190343,-0.736656,-0.7502128,-0.0135568
41,1.6655,1.6114459,"('unforgiving', 'forgiving')",0.00899056,-0.09762195,0.8372453,0.756912,-0.0803333
42,0.792859,0.7889116,"('unreliable', 'reliable')",-3.3180416,-3.316119,-1.2625912,-1.2636037,-0.0010125
43,1.4265321,1.4781717,"('irresponsible', 'responsible')",0.71879023,0.7495745,1.0726612,1.1138731,0.0412119
44,-1.3036231,-1.3469719,"('prejudiced', 'unprejudiced')",-1.4584315,-1.4713736,-1.3810272,-1.4091728,-0.0281456
45,0.72330326,0.7432461,"('incompetent', 'competent')",-0.05460508,-0.06882349,0.3343491,0.3372113,0.0028622
46,1.9830518,1.9498141,"('uncompetitive', 'competitive')",-0.9448414,-1.0082278,0.5191052,0.4707931,-0.0483121
47,0.27571458,0.3746239,"('stupid', 'smart')",5.4873657,5.65295,2.8815401,3.0137868,0.1322467
48,0.94410783,0.9156659,"('unintelligent', 'intelligent')",0.7020098,0.7069783,0.8230588,0.8113221,-0.0117367
49,-0.28346846,-0.29207772,"('unable', 'able')",-0.102354854,-0.08985436,-0.1929117,-0.190966,0.0019457
50,-1.2718915,-1.2793272,"('clumsy', 'skillful')",0.10293069,0.03344602,-0.5844804,-0.6229405,-0.0384601
51,0.09075446,0.077551514,"('uneducated', 'educated')",0.6733233,0.64275646,0.3820389,0.360154,-0.0218849
52,-0.98952,-1.0821834,"('irrational', 'rational')",-0.15660727,-0.29270065,-0.5730636,-0.687442,-0.1143784
