,varex_male,varex_female,tuple,imaging_male,imaging_female,corp_male,corp_female,average_male,average_female,female-male
0,-0.8964027,-1.0055877,"('unsociable', 'sociable')",0.39780632,0.3119388,-0.097342,-0.34356964,-0.1986461,-0.3457395,-0.1470934
1,-1.6613336,-1.8427533,"('unfriendly', 'friendly')",0.17000513,0.07988665,1.0384101,0.9458646,-0.1509728,-0.272334,-0.1213612
2,0.18957955,0.24778594,"('unlikable', 'likable')",1.1744722,1.3019441,1.1322234,1.1925586,0.8320917,0.9140962,0.0820045
3,-0.8845843,-0.7517297,"('repellent', 'pleasant')",-0.7230994,-0.5983245,0.7224744,0.69004714,-0.2950698,-0.2200024,0.0750674
4,-0.4676242,-0.5078831,"('disliked', 'liked')",-0.7665904,-0.73427767,-5.8972144,-6.1803417,-2.3771429,-2.4741675,-0.0970246
5,-1.0661542,-1.0415387,"('distant', 'outgoing')",-0.94894195,-0.78447527,-0.74392974,-0.5755998,-0.9196754,-0.8005379,0.1191375
6,-1.0061066,-1.0346771,"('distant', 'open')",-1.0323573,-0.96221495,-0.9875215,-0.8116,-1.0086619,-0.9361641,0.0724978
7,-0.65704393,-0.6632126,"('insensitive', 'sensitive')",0.48029414,0.46993697,-0.058150116,-0.08923736,-0.0783,-0.094171,-0.015871
8,-0.81864774,-0.99628675,"('unaffectionate', 'affectionate')",-0.04187049,-0.09157252,0.28767467,0.35349387,-0.1909479,-0.2447885,-0.0538406
9,-1.1718351,-1.3287859,"('unaffectionate', 'caring')",0.46610257,0.50111413,0.87268823,0.92951757,0.0556519,0.0339486,-0.0217033
10,-1.5274985,-1.5108775,"('unsympathetic', 'sympathetic')",-0.2537781,-0.18907164,-0.7345847,-0.78976667,-0.8386204,-0.8299053,0.0087151
11,-0.4756083,-0.44639462,"('unhelpful', 'helpful')",0.120960206,0.21422058,2.0422254,2.1115472,0.5625257,0.6264577,0.063932
12,-0.9547357,-0.9051409,"('unsupportive', 'supportive')",0.4841472,0.7217197,-2.2287996,-2.207,-0.899796,-0.7968071,0.1029889
13,-0.328752,-0.3220572,"('impolite', 'polite')",0.61447346,0.57362807,-0.54792315,-0.6010151,-0.0874006,-0.1164814,-0.0290808
14,-0.14970425,-0.09727362,"('antisocial', 'social')",0.73890096,0.7187301,0.07449841,-0.11109692,0.2212317,0.1701199,-0.0511118
15,0.22240824,0.057236668,"('boring', 'funny')",1.0450021,0.88680583,0.14705583,0.07218097,0.4714887,0.3387411,-0.1327476
