,oleo_male,oleo_female,tuple,average_male,average_female,female-male
0,-0.47903782,-0.6337667,"('unsociable', 'sociable')",-0.4790378,-0.6337667,-0.1547289
1,0.26818195,0.23789823,"('unfriendly', 'friendly')",0.2681819,0.2378982,-0.0302837
2,0.9101656,0.9904073,"('unlikable', 'likable')",0.9101656,0.9904073,0.0802417
3,0.4715879,0.49379933,"('repellent', 'pleasant')",0.4715879,0.4937993,0.0222114
4,-2.0395293,-2.0403316,"('disliked', 'liked')",-2.0395293,-2.0403316,-0.0008023
5,-0.637699,-0.4953419,"('distant', 'outgoing')",-0.637699,-0.4953419,0.1423571
6,-0.8039545,-0.58299965,"('distant', 'open')",-0.8039545,-0.5829996,0.2209549
7,0.29026192,0.22506125,"('insensitive', 'sensitive')",0.2902619,0.2250613,-0.0652006
8,0.42841536,0.4175635,"('unaffectionate', 'affectionate')",0.4284154,0.4175635,-0.0108519
9,0.2801107,0.2604094,"('unaffectionate', 'caring')",0.2801107,0.2604094,-0.0197013
10,0.08503509,0.024387216,"('unsympathetic', 'sympathetic')",0.0850351,0.0243872,-0.0606479
11,1.2237469,1.1085738,"('unhelpful', 'helpful')",1.2237469,1.1085738,-0.1151731
12,-0.82220083,-0.7945651,"('unsupportive', 'supportive')",-0.8222008,-0.7945651,0.0276357
13,0.24136105,0.105557516,"('impolite', 'polite')",0.2413611,0.1055575,-0.1358036
14,-0.2678758,-0.45800024,"('antisocial', 'social')",-0.2678758,-0.4580002,-0.1901244
15,0.5096471,0.4872977,"('boring', 'funny')",0.5096471,0.4872977,-0.0223494
16,-0.08437691,-0.13477267,"('unpopular', 'popular')",-0.0843769,-0.1347727,-0.0503958
17,-0.26604962,-0.16757734,"('nasty', 'nice')",-0.2660496,-0.1675773,0.0984723
18,-0.74892753,-0.6970363,"('disagreeable', 'welcoming')",-0.7489275,-0.6970363,0.0518912
19,-0.47489497,-0.2681268,"('inhospitable', 'hospitable')",-0.474895,-0.2681268,0.2067682
20,-0.2970784,-0.34401837,"('rough', 'thoughtful')",-0.2970784,-0.3440184,-0.04694
21,0.34813154,0.27237844,"('immoral', 'moral')",0.3481315,0.2723784,-0.0757531
