,grain_male,grain_female,tuple,average_male,average_female,female-male
0,0.22313009,0.38753888,"('unsociable', 'sociable')",0.2231301,0.3875389,0.1644088
1,1.9337943,1.6269869,"('unfriendly', 'friendly')",1.9337943,1.6269869,-0.3068074
2,0.20858972,0.33079728,"('unlikable', 'likable')",0.2085897,0.3307973,0.1222076
3,0.5452764,1.1416001,"('repellent', 'pleasant')",0.5452764,1.1416001,0.5963237
4,-7.0784097,-7.1234884,"('disliked', 'liked')",-7.0784097,-7.1234884,-0.0450787
5,-0.08359398,-0.1583239,"('distant', 'outgoing')",-0.083594,-0.1583239,-0.0747299
6,0.2124367,0.111463465,"('distant', 'open')",0.2124367,0.1114635,-0.1009732
7,1.1858604,1.5439526,"('insensitive', 'sensitive')",1.1858604,1.5439526,0.3580922
8,1.3362404,0.9271687,"('unaffectionate', 'affectionate')",1.3362404,0.9271687,-0.4090717
9,1.8886713,1.7371734,"('unaffectionate', 'caring')",1.8886713,1.7371734,-0.1514979
10,0.88649464,1.2619497,"('unsympathetic', 'sympathetic')",0.8864946,1.2619497,0.3754551
11,1.7855191,2.112101,"('unhelpful', 'helpful')",1.7855191,2.1121011,0.326582
12,-1.1588833,-1.0047729,"('unsupportive', 'supportive')",-1.1588833,-1.0047729,0.1541104
13,0.09453877,0.23838077,"('impolite', 'polite')",0.0945388,0.2383808,0.143842
14,0.025074959,0.16046588,"('antisocial', 'social')",0.025075,0.1604659,0.1353909
15,0.53739035,0.46785605,"('boring', 'funny')",0.5373904,0.467856,-0.0695344
16,-0.4182982,-0.3666687,"('unpopular', 'popular')",-0.4182982,-0.3666687,0.0516295
17,-0.009992246,-0.12841769,"('nasty', 'nice')",-0.0099922,-0.1284177,-0.1184255
18,-0.5969198,-0.44903725,"('disagreeable', 'welcoming')",-0.5969198,-0.4490373,0.1478825
19,-0.22307003,-0.30673817,"('inhospitable', 'hospitable')",-0.22307,-0.3067382,-0.0836682
20,0.5193174,0.4344832,"('rough', 'thoughtful')",0.5193174,0.4344832,-0.0848342
21,-0.22664525,0.28204682,"('immoral', 'moral')",-0.2266452,0.2820468,0.508692
22,-0.8891944,-0.35641888,"('untrustworthy', 'trustworthy')",-0.8891944,-0.3564189,0.5327755
23,6.6417494,6.9566464,"('insincere', 'sincere')",6.6417494,6.9566464,0.314897
24,1.5039293,1.8331316,"('dishonest', 'honest')",1.5039293,1.8331316,0.3292023
25,1.3085177,1.0410862,"('egoistic', 'altruistic')",1.3085177,1.0410862,-0.2674315
26,1.3756526,0.6192881,"('hardhearted', 'benevolent')",1.3756526,0.6192881,-0.7563645
27,1.9164972,1.6088858,"('hardhearted', 'softhearted')",1.9164972,1.6088858,-0.3076114
