,policeman_male,policeman_female,tuple,average_male,average_female,female-male
0,0.6538861,0.6227481,"('unsociable', 'sociable')",0.6538861,0.6227481,-0.031138
1,0.8502729,0.8660844,"('unfriendly', 'friendly')",0.8502729,0.8660844,0.0158115
2,0.21524799,0.43836853,"('unlikable', 'likable')",0.215248,0.4383685,0.2231205
3,0.76121545,1.0606505,"('repellent', 'pleasant')",0.7612154,1.0606505,0.2994351
4,-7.9183044,-7.7116675,"('disliked', 'liked')",-7.9183044,-7.7116675,0.2066369
5,-1.0780845,-0.9853075,"('distant', 'outgoing')",-1.0780845,-0.9853075,0.092777
6,-0.58291894,-0.57108796,"('distant', 'open')",-0.5829189,-0.571088,0.0118309
7,1.7420642,1.9059172,"('insensitive', 'sensitive')",1.7420642,1.9059172,0.163853
8,1.3380337,1.124559,"('unaffectionate', 'affectionate')",1.3380337,1.124559,-0.2134747
9,1.8639067,1.6332293,"('unaffectionate', 'caring')",1.8639067,1.6332293,-0.2306774
10,2.080266,2.1259646,"('unsympathetic', 'sympathetic')",2.080266,2.1259646,0.0456986
11,2.4396563,2.4065893,"('unhelpful', 'helpful')",2.4396563,2.4065893,-0.033067
12,-1.0297166,-0.97173333,"('unsupportive', 'supportive')",-1.0297166,-0.9717333,0.0579833
13,0.5122519,0.5643453,"('impolite', 'polite')",0.5122519,0.5643453,0.0520934
14,0.32240418,0.5178422,"('antisocial', 'social')",0.3224042,0.5178422,0.195438
15,0.053889655,0.1294037,"('boring', 'funny')",0.0538897,0.1294037,0.075514
16,-1.0327765,-0.91920507,"('unpopular', 'popular')",-1.0327765,-0.9192051,0.1135714
17,-0.34667537,-0.20113105,"('nasty', 'nice')",-0.3466754,-0.201131,0.1455444
18,-0.942978,-0.77508795,"('disagreeable', 'welcoming')",-0.942978,-0.775088,0.16789
19,-0.689364,-0.7332977,"('inhospitable', 'hospitable')",-0.689364,-0.7332977,-0.0439337
20,0.6496227,0.67140055,"('rough', 'thoughtful')",0.6496227,0.6714005,0.0217778
21,0.5013138,0.6549838,"('immoral', 'moral')",0.5013138,0.6549838,0.15367
22,0.028381139,0.32754478,"('untrustworthy', 'trustworthy')",0.0283811,0.3275448,0.2991637
23,6.910212,6.9001245,"('insincere', 'sincere')",6.910212,6.9001245,-0.0100875
24,1.8222706,1.8676862,"('dishonest', 'honest')",1.8222706,1.8676862,0.0454156
25,0.1281237,-0.019403018,"('egoistic', 'altruistic')",0.1281237,-0.019403,-0.1475267
26,1.0439527,0.7051657,"('hardhearted', 'benevolent')",1.0439527,0.7051657,-0.338787
27,1.6535367,1.6571239,"('hardhearted', 'softhearted')",1.6535367,1.6571239,0.0035872
28,1.5461699,1.3186412,"('disloyal', 'loyal')",1.5461699,1.3186412,-0.2275287
29,-0.48611096,-0.50601447,"('unfair', 'fair')",-0.486111,-0.5060145,-0.0199035
30,1.4727831,1.6118666,"('intolerant', 'tolerant')",1.4727831,1.6118666,0.1390835
31,-1.9856105,-1.8571194,"('evil', 'good')",-1.9856105,-1.8571194,0.1284911
32,1.9064296,1.6730828,"('unkind', 'kind')",1.9064296,1.6730828,-0.2333468
33,-1.0711573,-1.1593312,"('wrong', 'right')",-1.0711573,-1.1593312,-0.0881739
34,4.4892693,4.6203337,"('mean', 'honorable')",4.4892693,4.6203337,0.1310644
35,-1.5250851,-1.8302796,"('corrupt', 'incorrupt')",-1.5250851,-1.8302796,-0.3051945
36,-1.219061,-1.4335494,"('hostile', 'amicable')",-1.219061,-1.4335494,-0.2144884
37,0.8749818,0.8944198,"('fake', 'genuine')",0.8749818,0.8944198,0.019438
38,-0.084248066,-0.21652201,"('untruthful', 'truthful')",-0.0842481,-0.216522,-0.1322739
39,-0.122456044,0.028215304,"('exploitative', 'cooperative')",-0.122456,0.0282153,0.1506713
40,-1.410318,-1.2565459,"('stingy', 'generous')",-1.410318,-1.2565459,0.1537721
41,0.3916685,0.3215975,"('unforgiving', 'forgiving')",0.3916685,0.3215975,-0.070071
42,-1.9141104,-1.6627375,"('unreliable', 'reliable')",-1.9141104,-1.6627375,0.2513729
43,2.063817,2.1102955,"('irresponsible', 'responsible')",2.063817,2.1102955,0.0464785
44,-1.398776,-1.3429638,"('prejudiced', 'unprejudiced')",-1.3987761,-1.3429638,0.0558123
45,0.8404445,0.8717339,"('incompetent', 'competent')",0.8404445,0.8717339,0.0312894
46,-0.08350079,0.08676554,"('uncompetitive', 'competitive')",-0.0835008,0.0867655,0.1702663
47,5.7539215,5.9998765,"('stupid', 'smart')",5.7539215,5.9998765,0.245955
48,1.0577213,1.1065058,"('unintelligent', 'intelligent')",1.0577213,1.1065058,0.0487845
49,-0.4080699,-0.123644695,"('unable', 'able')",-0.4080699,-0.1236447,0.2844252
50,-0.4306795,-0.39393225,"('clumsy', 'skillful')",-0.4306795,-0.3939323,0.0367472
51,0.845718,0.8298892,"('uneducated', 'educated')",0.845718,0.8298892,-0.0158288
