,pagan_male,pagan_female,tuple,average_male,average_female,female-male
0,0.26362678,0.14155468,"('unsociable', 'sociable')",0.2636268,0.1415547,-0.1220721
1,1.2058605,1.1781739,"('unfriendly', 'friendly')",1.2058605,1.1781739,-0.0276866
2,0.6956197,0.72950155,"('unlikable', 'likable')",0.6956197,0.7295015,0.0338818
3,1.1253233,1.2116252,"('repellent', 'pleasant')",1.1253233,1.2116252,0.0863019
4,-7.036595,-7.165641,"('disliked', 'liked')",-7.0365949,-7.1656408,-0.1290459
5,-0.30280182,-0.2589409,"('distant', 'outgoing')",-0.3028018,-0.2589409,0.0438609
6,-0.1770838,-0.13064328,"('distant', 'open')",-0.1770838,-0.1306433,0.0464405
7,1.665705,1.7073612,"('insensitive', 'sensitive')",1.665705,1.7073612,0.0416562
8,0.76875144,0.74413115,"('unaffectionate', 'affectionate')",0.7687514,0.7441311,-0.0246203
9,1.2764132,1.3903184,"('unaffectionate', 'caring')",1.2764132,1.3903184,0.1139052
10,1.6781149,1.635963,"('unsympathetic', 'sympathetic')",1.6781149,1.635963,-0.0421519
11,2.1635702,2.1817584,"('unhelpful', 'helpful')",2.1635702,2.1817584,0.0181882
12,-0.86393356,-0.923537,"('unsupportive', 'supportive')",-0.8639336,-0.923537,-0.0596034
13,0.45644534,0.39288735,"('impolite', 'polite')",0.4564453,0.3928874,-0.0635579
14,0.41445285,0.24633862,"('antisocial', 'social')",0.4144529,0.2463386,-0.1681143
15,0.1387666,0.18056153,"('boring', 'funny')",0.1387666,0.1805615,0.0417949
16,-0.4940784,-0.3436824,"('unpopular', 'popular')",-0.4940784,-0.3436824,0.150396
17,-0.1310289,-0.19915077,"('nasty', 'nice')",-0.1310289,-0.1991508,-0.0681219
18,-0.138121,-0.17714602,"('disagreeable', 'welcoming')",-0.138121,-0.177146,-0.039025
19,-0.23290497,-0.15805037,"('inhospitable', 'hospitable')",-0.232905,-0.1580504,0.0748546
20,0.87218904,0.78102,"('rough', 'thoughtful')",0.872189,0.78102,-0.091169
21,0.5692615,0.54984224,"('immoral', 'moral')",0.5692615,0.5498422,-0.0194193
