,theft_male,theft_female,tuple,average_male,average_female,female-male
0,-0.59919995,-0.69525963,"('unsociable', 'sociable')",-0.5992,-0.6952596,-0.0960596
1,1.303805,1.245372,"('unfriendly', 'friendly')",1.303805,1.2453721,-0.0584329
2,-0.3191921,-0.28330582,"('unlikable', 'likable')",-0.3191921,-0.2833058,0.0358863
3,-0.039063267,0.061566547,"('repellent', 'pleasant')",-0.0390633,0.0615665,0.1006298
4,-7.7288737,-7.7190123,"('disliked', 'liked')",-7.7288737,-7.7190123,0.0098614
5,-0.3880257,-0.4379481,"('distant', 'outgoing')",-0.3880257,-0.4379481,-0.0499224
6,0.06425732,-0.0077502728,"('distant', 'open')",0.0642573,-0.0077503,-0.0720076
7,0.688819,0.7100478,"('insensitive', 'sensitive')",0.688819,0.7100478,0.0212288
8,1.6223773,1.5699902,"('unaffectionate', 'affectionate')",1.6223773,1.5699902,-0.0523871
9,2.003715,1.9983592,"('unaffectionate', 'caring')",2.003715,1.9983592,-0.0053558
10,0.59303033,0.6323465,"('unsympathetic', 'sympathetic')",0.5930303,0.6323465,0.0393162
11,1.868801,1.8085229,"('unhelpful', 'helpful')",1.868801,1.8085229,-0.0602781
12,-1.8527471,-1.8459487,"('unsupportive', 'supportive')",-1.8527471,-1.8459487,0.0067984
13,-0.7232332,-0.82830024,"('impolite', 'polite')",-0.7232332,-0.8283002,-0.105067
14,-0.6635198,-0.7221844,"('antisocial', 'social')",-0.6635198,-0.7221844,-0.0586646
15,-0.017073112,-0.09993657,"('boring', 'funny')",-0.0170731,-0.0999366,-0.0828635
16,-0.55546093,-0.5134782,"('unpopular', 'popular')",-0.5554609,-0.5134782,0.0419827
17,-0.7084681,-0.69435006,"('nasty', 'nice')",-0.7084681,-0.6943501,0.014118
18,-0.6337077,-0.71371937,"('disagreeable', 'welcoming')",-0.6337077,-0.7137194,-0.0800117
19,-0.5018225,-0.5616193,"('inhospitable', 'hospitable')",-0.5018225,-0.5616193,-0.0597968
20,0.7467032,0.7333136,"('rough', 'thoughtful')",0.7467032,0.7333136,-0.0133896
21,-0.8748948,-0.87568414,"('immoral', 'moral')",-0.8748948,-0.8756841,-0.0007893
22,-1.4338906,-1.4821838,"('untrustworthy', 'trustworthy')",-1.4338906,-1.4821838,-0.0482932
23,6.5021133,6.4294662,"('insincere', 'sincere')",6.5021133,6.4294662,-0.0726471
24,1.3409286,1.1824871,"('dishonest', 'honest')",1.3409286,1.1824871,-0.1584415
25,0.6701112,0.6133183,"('egoistic', 'altruistic')",0.6701112,0.6133183,-0.0567929
26,1.12439,1.082881,"('hardhearted', 'benevolent')",1.12439,1.082881,-0.041509
27,1.4969579,1.420612,"('hardhearted', 'softhearted')",1.4969579,1.420612,-0.0763459
28,1.453309,1.3541087,"('disloyal', 'loyal')",1.4533091,1.3541087,-0.0992004
29,-1.1404275,-1.2441247,"('unfair', 'fair')",-1.1404275,-1.2441247,-0.1036972
30,0.73270035,0.7292252,"('intolerant', 'tolerant')",0.7327003,0.7292252,-0.0034751
31,-1.7098786,-1.6118736,"('evil', 'good')",-1.7098786,-1.6118736,0.098005
32,1.3365909,1.1917021,"('unkind', 'kind')",1.3365909,1.1917021,-0.1448888
33,-0.27746633,-0.40923092,"('wrong', 'right')",-0.2774663,-0.4092309,-0.1317646
34,5.177928,5.214897,"('mean', 'honorable')",5.177928,5.2148972,0.0369692
35,-0.67655045,-0.85836416,"('corrupt', 'incorrupt')",-0.6765504,-0.8583642,-0.1818138
36,-0.14538497,-0.22923881,"('hostile', 'amicable')",-0.145385,-0.2292388,-0.0838538
37,0.36061877,0.35865384,"('fake', 'genuine')",0.3606188,0.3586538,-0.001965
38,-0.019716699,-0.11154668,"('untruthful', 'truthful')",-0.0197167,-0.1115467,-0.09183
39,-0.19362828,-0.19470334,"('exploitative', 'cooperative')",-0.1936283,-0.1947033,-0.001075
40,-2.0942302,-2.1209884,"('stingy', 'generous')",-2.0942302,-2.1209884,-0.0267582
41,-0.46698,-0.486164,"('unforgiving', 'forgiving')",-0.46698,-0.486164,-0.019184
