,cigarette_male,cigarette_female,tuple,average_male,average_female,female-male
0,0.2721301,0.23963597,"('unsociable', 'sociable')",0.2721301,0.239636,-0.0324941
1,2.1873548,2.0568855,"('unfriendly', 'friendly')",2.1873548,2.0568855,-0.1304693
2,0.26648727,0.32951033,"('unlikable', 'likable')",0.2664873,0.3295103,0.063023
3,-0.8092677,-0.6433693,"('repellent', 'pleasant')",-0.8092677,-0.6433693,0.1658984
4,-6.951872,-7.0195866,"('disliked', 'liked')",-6.9518719,-7.0195866,-0.0677147
5,0.32136866,0.2279716,"('distant', 'outgoing')",0.3213687,0.2279716,-0.0933971
6,0.72667825,0.6413454,"('distant', 'open')",0.7266783,0.6413454,-0.0853329
7,0.5457806,0.65933704,"('insensitive', 'sensitive')",0.5457806,0.659337,0.1135564
8,1.3922915,1.2737495,"('unaffectionate', 'affectionate')",1.3922915,1.2737495,-0.118542
9,2.1790733,2.1253705,"('unaffectionate', 'caring')",2.1790733,2.1253705,-0.0537028
10,0.49667642,0.64787173,"('unsympathetic', 'sympathetic')",0.4966764,0.6478717,0.1511953
11,1.8920062,2.0017939,"('unhelpful', 'helpful')",1.8920062,2.0017939,0.1097877
12,-1.3853344,-1.3499643,"('unsupportive', 'supportive')",-1.3853344,-1.3499643,0.0353701
13,-0.102549404,-0.09589704,"('impolite', 'polite')",-0.1025494,-0.095897,0.0066524
14,0.04164848,0.05888331,"('antisocial', 'social')",0.0416485,0.0588833,0.0172348
15,0.88129187,0.75963795,"('boring', 'funny')",0.8812919,0.759638,-0.1216539
16,-0.53569657,-0.67590654,"('unpopular', 'popular')",-0.5356966,-0.6759065,-0.1402099
17,-0.1547532,-0.17692663,"('nasty', 'nice')",-0.1547532,-0.1769266,-0.0221734
18,-0.7499925,-0.8317447,"('disagreeable', 'welcoming')",-0.7499925,-0.8317447,-0.0817522
19,-0.28585473,-0.31840834,"('inhospitable', 'hospitable')",-0.2858547,-0.3184083,-0.0325536
20,0.9277102,0.93393433,"('rough', 'thoughtful')",0.9277102,0.9339343,0.0062241
21,-0.04681975,0.095777325,"('immoral', 'moral')",-0.0468198,0.0957773,0.1425971
22,-0.85225296,-0.80001545,"('untrustworthy', 'trustworthy')",-0.852253,-0.8000154,0.0522376
23,6.3939037,6.443457,"('insincere', 'sincere')",6.3939037,6.4434571,0.0495534
24,1.9921497,1.9603919,"('dishonest', 'honest')",1.9921497,1.9603919,-0.0317578
25,0.93813187,0.77541184,"('egoistic', 'altruistic')",0.9381319,0.7754118,-0.1627201
26,2.190432,2.0444832,"('hardhearted', 'benevolent')",2.1904321,2.0444832,-0.1459489
27,1.3564357,1.2216972,"('hardhearted', 'softhearted')",1.3564357,1.2216972,-0.1347385
28,1.4722093,1.398392,"('disloyal', 'loyal')",1.4722093,1.398392,-0.0738173
29,-0.751175,-0.8300729,"('unfair', 'fair')",-0.751175,-0.8300729,-0.0788979
30,0.98852247,1.0627301,"('intolerant', 'tolerant')",0.9885225,1.0627301,0.0742076
31,-1.8370552,-1.9108835,"('evil', 'good')",-1.8370552,-1.9108835,-0.0738283
32,0.8620076,0.8614992,"('unkind', 'kind')",0.8620076,0.8614992,-0.0005084
33,-0.034937073,-0.1724547,"('wrong', 'right')",-0.0349371,-0.1724547,-0.1375176
34,4.584396,4.681801,"('mean', 'honorable')",4.5843959,4.6818008,0.0974049
35,-0.60810846,-0.8555475,"('corrupt', 'incorrupt')",-0.6081085,-0.8555475,-0.247439
36,-0.22277364,-0.51816154,"('hostile', 'amicable')",-0.2227736,-0.5181615,-0.2953879
37,0.96437514,1.0479795,"('fake', 'genuine')",0.9643751,1.0479795,0.0836044
38,0.6871478,0.68940264,"('untruthful', 'truthful')",0.6871478,0.6894026,0.0022548
39,0.90040135,0.920934,"('exploitative', 'cooperative')",0.9004014,0.920934,0.0205326
40,-1.6384255,-1.7395421,"('stingy', 'generous')",-1.6384255,-1.7395421,-0.1011166
41,0.764072,0.68412,"('unforgiving', 'forgiving')",0.764072,0.68412,-0.079952
42,-3.4928184,-3.332569,"('unreliable', 'reliable')",-3.4928184,-3.3325689,0.1602495
43,1.7182554,1.8375164,"('irresponsible', 'responsible')",1.7182554,1.8375164,0.119261
44,-1.727524,-1.6416545,"('prejudiced', 'unprejudiced')",-1.727524,-1.6416545,0.0858695
45,-0.29926565,-0.13921916,"('incompetent', 'competent')",-0.2992657,-0.1392192,0.1600465
46,-0.7885402,-0.65343857,"('uncompetitive', 'competitive')",-0.7885402,-0.6534386,0.1351016
