,peoples_male,peoples_female,tuple,united_male,united_female,financial_male,financial_female,inc_male,inc_female,average_male,average_female,female-male
0,0.16462974,0.07964551,"('unsociable', 'sociable')",0.14159217,0.0926829,0.2439227,0.12499002,-0.58795476,-0.68261576,-0.0094525,-0.0963243,-0.0868718
1,0.17525144,0.13858972,"('unfriendly', 'friendly')",-0.87721306,-0.87887496,1.0190341,0.8261207,1.8089821,1.5742867,0.5315137,0.4150305,-0.1164832
2,-0.31718388,-0.30723712,"('unlikable', 'likable')",0.6076532,0.6719889,2.3463895,2.436559,0.61251175,0.71737474,0.8123426,0.8796714,0.0673288
3,-0.6130185,-0.4605828,"('repellent', 'pleasant')",-0.54007703,-0.29363853,-0.23773713,-0.17583194,-0.17021811,-0.026267555,-0.3902627,-0.2390802,0.1511825
4,0.2981553,0.26732096,"('disliked', 'liked')",0.6142344,0.5417644,0.12159242,0.08251952,-5.8056293,-5.865989,-1.1929117,-1.2435961,-0.0506844
5,-0.7037599,-0.6574753,"('distant', 'outgoing')",0.03050816,0.025557302,0.38100156,0.32362223,-0.054850142,-0.15025124,-0.0867751,-0.1146368,-0.0278617
6,-0.7321212,-0.65394616,"('distant', 'open')",-0.47264135,-0.39999616,-0.8124187,-0.8541101,0.39833838,0.2580045,-0.4047108,-0.412512,-0.0078012
7,0.82491475,0.86771363,"('insensitive', 'sensitive')",0.5978264,0.7196174,0.57012385,0.67462075,0.5760702,0.617799,0.6422338,0.7199377,0.0777039
8,0.5133199,0.4703602,"('unaffectionate', 'affectionate')",-0.71408373,-0.66826,-0.53283703,-0.5546673,0.42742246,0.27613923,-0.0765446,-0.119107,-0.0425624
9,1.1800112,1.1816876,"('unaffectionate', 'caring')",0.06600159,0.116501465,0.949785,0.89382046,1.0018443,0.8946896,0.7994105,0.7716748,-0.0277357
10,0.2745597,0.3715918,"('unsympathetic', 'sympathetic')",-0.10810536,0.15287688,-1.0099231,-0.96107024,-0.28121075,-0.27300048,-0.2811699,-0.1774005,0.1037694
11,0.6102941,0.5911296,"('unhelpful', 'helpful')",1.9061598,1.9977219,0.43333772,0.43251944,2.4392238,2.4973862,1.3472538,1.3796892,0.0324354
12,1.7364105,1.867766,"('unsupportive', 'supportive')",1.0514863,1.3227042,0.7663053,0.87982297,-1.8730358,-1.8074174,0.4202916,0.565719,0.1454274
13,0.086193725,0.04902187,"('impolite', 'polite')",0.24645938,0.23993488,0.76003623,0.823953,-0.062248383,-0.0058985725,0.2576102,0.2767528,0.0191426
14,0.34233233,0.35595024,"('antisocial', 'social')",0.71043277,0.6832984,1.8962343,1.960951,-0.62229586,-0.5969942,0.5816759,0.6008014,0.0191255
15,0.828289,0.7857626,"('boring', 'funny')",1.0351722,0.8702772,0.29536057,0.29489058,0.6262382,0.54745275,0.696265,0.6245958,-0.0716692
16,-1.5113771,-1.4889523,"('unpopular', 'popular')",-1.3306437,-1.3038137,-0.4761726,-0.4095223,0.4260594,0.41736448,-0.7230335,-0.696231,0.0268025
17,-0.63039964,-0.47248083,"('nasty', 'nice')",-0.13615678,0.0050327107,0.07247866,0.15785894,-0.31496763,-0.22059982,-0.2522613,-0.1325472,0.1197141
18,-0.544905,-0.39541212,"('disagreeable', 'welcoming')",-0.25689992,-0.011785381,-0.66839665,-0.63518876,-0.39429384,-0.4306491,-0.4661238,-0.3682588,0.097865
19,0.23061748,0.22355984,"('inhospitable', 'hospitable')",0.0062948074,0.06905484,-0.3095071,-0.36557838,-0.01721521,-0.03251534,-0.0224525,-0.0263698,-0.0039173
