,morbid_male,morbid_female,tuple,average_male,average_female,female-male
0,-0.32939225,-0.44686317,"('unsociable', 'sociable')",-0.3293923,-0.4468632,-0.1174709
1,-0.90108794,-1.0318636,"('unfriendly', 'friendly')",-0.9010879,-1.0318636,-0.1307757
2,-0.3134991,-0.35085496,"('unlikable', 'likable')",-0.3134991,-0.350855,-0.0373559
3,-1.1250324,-1.1430062,"('repellent', 'pleasant')",-1.1250324,-1.1430062,-0.0179738
4,-3.72782,-3.5555737,"('disliked', 'liked')",-3.7278199,-3.5555737,0.1722462
5,-0.7683056,-0.79991084,"('distant', 'outgoing')",-0.7683056,-0.7999108,-0.0316052
6,-1.1709093,-1.200636,"('distant', 'open')",-1.1709093,-1.200636,-0.0297267
7,-0.35652196,-0.3608111,"('insensitive', 'sensitive')",-0.356522,-0.3608111,-0.0042891
8,-0.6067071,-0.7522323,"('unaffectionate', 'affectionate')",-0.6067071,-0.7522323,-0.1455252
9,-0.13791807,-0.19444476,"('unaffectionate', 'caring')",-0.1379181,-0.1944448,-0.0565267
10,-0.8245706,-0.83937234,"('unsympathetic', 'sympathetic')",-0.8245706,-0.8393723,-0.0148017
11,1.0110357,1.0689892,"('unhelpful', 'helpful')",1.0110357,1.0689892,0.0579535
12,-1.2987106,-1.2955807,"('unsupportive', 'supportive')",-1.2987106,-1.2955807,0.0031299
13,-0.8634696,-0.8573438,"('impolite', 'polite')",-0.8634696,-0.8573438,0.0061258
14,-0.38754973,-0.49117854,"('antisocial', 'social')",-0.3875497,-0.4911785,-0.1036288
15,0.007709872,-0.0158634,"('boring', 'funny')",0.0077099,-0.0158634,-0.0235733
16,-0.23429838,-0.33667883,"('unpopular', 'popular')",-0.2342984,-0.3366788,-0.1023804
17,-1.5042379,-1.534402,"('nasty', 'nice')",-1.5042379,-1.534402,-0.0301641
18,-0.62732667,-0.79974717,"('disagreeable', 'welcoming')",-0.6273267,-0.7997472,-0.1724205
19,-1.2928575,-1.1893756,"('inhospitable', 'hospitable')",-1.2928575,-1.1893756,0.1034819
20,-0.043789834,-0.1997482,"('rough', 'thoughtful')",-0.0437898,-0.1997482,-0.1559584
21,-0.48620617,-0.47409862,"('immoral', 'moral')",-0.4862062,-0.4740986,0.0121076
22,-0.7310974,-0.7188085,"('untrustworthy', 'trustworthy')",-0.7310974,-0.7188085,0.0122889
23,2.3629577,2.206464,"('insincere', 'sincere')",2.3629577,2.2064641,-0.1564936
24,-0.43580192,-0.54040307,"('dishonest', 'honest')",-0.4358019,-0.5404031,-0.1046012
25,-0.6850841,-0.9506775,"('egoistic', 'altruistic')",-0.6850841,-0.9506775,-0.2655934
26,0.5058369,0.30270195,"('hardhearted', 'benevolent')",0.5058369,0.302702,-0.2031349
27,0.015315426,-0.19885933,"('hardhearted', 'softhearted')",0.0153154,-0.1988593,-0.2141747
28,-0.011042894,-0.08551862,"('disloyal', 'loyal')",-0.0110429,-0.0855186,-0.0744757
29,-1.0852417,-1.0811626,"('unfair', 'fair')",-1.0852417,-1.0811626,0.0040791
30,-0.105098665,-0.11741694,"('intolerant', 'tolerant')",-0.1050987,-0.1174169,-0.0123182
31,-2.310331,-2.375938,"('evil', 'good')",-2.3103311,-2.3759379,-0.0656068
32,0.38874498,0.25360027,"('unkind', 'kind')",0.388745,0.2536003,-0.1351447
33,-0.6893664,-0.71151185,"('wrong', 'right')",-0.6893664,-0.7115119,-0.0221455
34,2.1106238,2.02215,"('mean', 'honorable')",2.1106238,2.02215,-0.0884738
35,-0.097911,-0.1930099,"('corrupt', 'incorrupt')",-0.097911,-0.1930099,-0.0950989
36,-1.7090274,-1.773648,"('hostile', 'amicable')",-1.7090274,-1.773648,-0.0646206
37,-0.551593,-0.5055725,"('fake', 'genuine')",-0.551593,-0.5055725,0.0460205
38,-0.40090206,-0.29379755,"('untruthful', 'truthful')",-0.4009021,-0.2937976,0.1071045
39,-0.1614823,-0.22044133,"('exploitative', 'cooperative')",-0.1614823,-0.2204413,-0.058959
40,-1.7055436,-1.8348428,"('stingy', 'generous')",-1.7055436,-1.8348428,-0.1292992
41,-0.17964143,-0.2578555,"('unforgiving', 'forgiving')",-0.1796414,-0.2578555,-0.0782141
42,-1.618771,-1.4654138,"('unreliable', 'reliable')",-1.618771,-1.4654138,0.1533572
43,-0.03462015,-0.010122346,"('irresponsible', 'responsible')",-0.0346202,-0.0101223,0.0244979
44,-0.96686006,-0.9517685,"('prejudiced', 'unprejudiced')",-0.9668601,-0.9517685,0.0150916
45,-0.7815977,-0.74958277,"('incompetent', 'competent')",-0.7815977,-0.7495828,0.0320149
46,-0.90280986,-0.9085349,"('uncompetitive', 'competitive')",-0.9028099,-0.9085349,-0.005725
47,1.8039234,1.7290525,"('stupid', 'smart')",1.8039234,1.7290525,-0.0748709
48,0.40328354,0.22537443,"('unintelligent', 'intelligent')",0.4032835,0.2253744,-0.1779091
49,0.15943365,0.19166213,"('unable', 'able')",0.1594336,0.1916621,0.0322285
50,0.17684367,0.21736701,"('clumsy', 'skillful')",0.1768437,0.217367,0.0405233
51,0.32515472,0.4308297,"('uneducated', 'educated')",0.3251547,0.4308297,0.105675
52,-1.0217843,-1.1049931,"('irrational', 'rational')",-1.0217843,-1.1049931,-0.0832088
53,-1.1506609,-1.2021394,"('uncreative', 'creative')",-1.1506609,-1.2021394,-0.0514785
54,0.10813762,0.14586157,"('incapable', 'capable')",0.1081376,0.1458616,0.037724
55,0.19237615,0.17860211,"('incompetent', 'clever')",0.1923762,0.1786021,-0.0137741
56,0.6949064,0.8281831,"('impractical', 'practical')",0.6949064,0.8281831,0.1332767
57,-2.2841394,-2.220001,"('unimaginative', 'imaginative')",-2.2841394,-2.220001,0.0641384
58,-0.35492712,-0.37415272,"('undiscriminating', 'discriminating')",-0.3549271,-0.3741527,-0.0192256
59,0.030844193,0.108062774,"('foolish', 'wise')",0.0308442,0.1080628,0.0772186
60,0.6171854,0.5632589,"('inefficient', 'efficient')",0.6171854,0.5632589,-0.0539265
61,-0.88891196,-1.0743914,"('illogical', 'logical')",-0.888912,-1.0743914,-0.1854794
62,0.69778055,0.77120703,"('incompetent', 'brilliant')",0.6977805,0.771207,0.0734265
63,0.00043459237,0.059740443,"('unperceptive', 'insightful')",0.0004346,0.0597404,0.0593058
