,thug_male,thug_female,tuple,average_male,average_female,female-male
0,0.076132536,0.19548115,"('unsociable', 'sociable')",0.0761325,0.1954812,0.1193487
1,1.3867714,1.0284522,"('unfriendly', 'friendly')",1.3867714,1.0284522,-0.3583192
2,0.5801318,0.8182483,"('unlikable', 'likable')",0.5801318,0.8182483,0.2381165
3,0.8247841,1.039059,"('repellent', 'pleasant')",0.8247841,1.039059,0.2142749
4,-7.417226,-7.2100406,"('disliked', 'liked')",-7.4172258,-7.2100406,0.2071852
5,-0.16380292,-0.2481878,"('distant', 'outgoing')",-0.1638029,-0.2481878,-0.0843849
6,0.09502742,-0.084777415,"('distant', 'open')",0.0950274,-0.0847774,-0.1798048
7,0.6287366,0.7976443,"('insensitive', 'sensitive')",0.6287366,0.7976443,0.1689077
8,1.1509081,0.8180736,"('unaffectionate', 'affectionate')",1.1509081,0.8180736,-0.3328345
9,1.7847492,1.567836,"('unaffectionate', 'caring')",1.7847492,1.567836,-0.2169132
10,1.1797596,1.4347534,"('unsympathetic', 'sympathetic')",1.1797596,1.4347534,0.2549938
11,2.247857,2.278897,"('unhelpful', 'helpful')",2.2478571,2.278897,0.0310399
12,-1.5662928,-1.4967033,"('unsupportive', 'supportive')",-1.5662928,-1.4967033,0.0695895
13,0.43963936,0.6861052,"('impolite', 'polite')",0.4396394,0.6861052,0.2464658
14,-0.32577786,-0.19126828,"('antisocial', 'social')",-0.3257779,-0.1912683,0.1345096
15,0.52324325,0.45001206,"('boring', 'funny')",0.5232432,0.4500121,-0.0732311
16,-0.09893845,-0.16327053,"('unpopular', 'popular')",-0.0989385,-0.1632705,-0.064332
17,-0.4213908,-0.2346742,"('nasty', 'nice')",-0.4213908,-0.2346742,0.1867166
18,-0.6144052,-0.75933075,"('disagreeable', 'welcoming')",-0.6144052,-0.7593307,-0.1449255
19,-0.53121257,-0.5254235,"('inhospitable', 'hospitable')",-0.5312126,-0.5254235,0.0057891
20,0.72788155,0.69833106,"('rough', 'thoughtful')",0.7278816,0.6983311,-0.0295505
21,0.08450802,0.4369238,"('immoral', 'moral')",0.084508,0.4369238,0.3524158
22,-0.41323143,-0.13005021,"('untrustworthy', 'trustworthy')",-0.4132314,-0.1300502,0.2831812
23,6.603644,6.408133,"('insincere', 'sincere')",6.6036439,6.408133,-0.1955109
24,1.6759813,1.7442958,"('dishonest', 'honest')",1.6759813,1.7442958,0.0683145
25,0.3822618,0.23306209,"('egoistic', 'altruistic')",0.3822618,0.2330621,-0.1491997
26,0.13363971,-0.009212725,"('hardhearted', 'benevolent')",0.1336397,-0.0092127,-0.1428524
27,1.1687324,1.0884535,"('hardhearted', 'softhearted')",1.1687324,1.0884535,-0.0802789
28,1.1130763,1.0064797,"('disloyal', 'loyal')",1.1130763,1.0064797,-0.1065966
29,-0.95570046,-0.9574513,"('unfair', 'fair')",-0.9557005,-0.9574513,-0.0017508
30,0.9567175,1.0589212,"('intolerant', 'tolerant')",0.9567175,1.0589212,0.1022037
31,-1.8505696,-1.9376291,"('evil', 'good')",-1.8505696,-1.9376291,-0.0870595
32,1.3660121,1.3866954,"('unkind', 'kind')",1.3660121,1.3866954,0.0206833
33,-0.42270786,-0.405409,"('wrong', 'right')",-0.4227079,-0.405409,0.0172989
34,4.678175,4.699668,"('mean', 'honorable')",4.678175,4.6996679,0.0214929
35,-1.2831578,-1.5570271,"('corrupt', 'incorrupt')",-1.2831578,-1.5570271,-0.2738693
36,-0.7589136,-1.0482686,"('hostile', 'amicable')",-0.7589136,-1.0482686,-0.289355
37,0.4688174,0.53291756,"('fake', 'genuine')",0.4688174,0.5329176,0.0641002
38,-0.10109697,-0.057528168,"('untruthful', 'truthful')",-0.101097,-0.0575282,0.0435688
39,-0.3576921,-0.11293015,"('exploitative', 'cooperative')",-0.3576921,-0.1129301,0.244762
40,-2.0124283,-1.9182549,"('stingy', 'generous')",-2.0124283,-1.9182549,0.0941734
41,-0.31453547,-0.11487411,"('unforgiving', 'forgiving')",-0.3145355,-0.1148741,0.1996614
42,-2.2512767,-1.9820969,"('unreliable', 'reliable')",-2.2512767,-1.9820969,0.2691798
43,1.3196445,1.4633164,"('irresponsible', 'responsible')",1.3196445,1.4633164,0.1436719
44,-1.2167358,-1.1490883,"('prejudiced', 'unprejudiced')",-1.2167358,-1.1490883,0.0676475
