,united_male,united_female,tuple,rentals_male,rentals_female,inc_male,inc_female,average_male,average_female,female-male
0,0.8316993,0.7146102,"('unsociable', 'sociable')",0.50454116,0.47251636,-0.4303037,-0.54688156,0.3019789,0.213415,-0.0885639
1,-0.1335225,-0.10131047,"('unfriendly', 'friendly')",0.40046313,0.42332837,2.3379357,2.2137563,0.8682921,0.8452581,-0.023034
2,0.48735026,0.66140044,"('unlikable', 'likable')",1.058684,1.2011019,0.8436128,0.9106996,0.796549,0.9244006,0.1278516
3,0.010865256,0.05402027,"('repellent', 'pleasant')",-0.1433532,-0.026012074,0.0725156,0.10088599,-0.0199908,0.0429647,0.0629555
4,-0.08769337,-0.1535388,"('disliked', 'liked')",-0.47089615,-0.51012063,-5.86316,-5.9307513,-2.1405832,-2.198137,-0.0575538
5,0.1989046,0.2685231,"('distant', 'outgoing')",-0.23344386,-0.24931009,0.28692788,0.27348375,0.0841295,0.0975656,0.0134361
6,0.13975632,0.2604909,"('distant', 'open')",-0.62469584,-0.6351064,0.851326,0.764818,0.1221288,0.1300675,0.0079387
7,0.843698,0.82468235,"('insensitive', 'sensitive')",0.3451764,0.4601555,0.6726149,0.6362013,0.6204964,0.6403464,0.01985
8,-0.43315053,-0.34958342,"('unaffectionate', 'affectionate')",0.19976903,0.21587028,0.99150103,0.88323057,0.2527065,0.2498391,-0.0028674
9,0.77889085,0.8534965,"('unaffectionate', 'caring')",0.922209,0.94594795,1.29336,1.2514441,0.9981533,1.0169628,0.0188095
10,0.88678986,0.87216514,"('unsympathetic', 'sympathetic')",-0.20244244,-0.15530501,-0.5402425,-0.5321224,0.048035,0.0615792,0.0135442
11,0.7066627,0.8095387,"('unhelpful', 'helpful')",0.5842599,0.5973945,1.7355981,1.8236705,1.0088402,1.0768679,0.0680277
12,1.466701,1.6213584,"('unsupportive', 'supportive')",1.0925077,1.2220595,-1.4393272,-1.4116875,0.3732939,0.4772435,0.1039496
13,-0.02970627,-0.11658856,"('impolite', 'polite')",0.72499347,0.6733422,-0.36582384,-0.43049073,0.1098211,0.0420876,-0.0677335
14,0.8032886,0.7929743,"('antisocial', 'social')",0.71479,0.8094087,-0.79725593,-0.8194766,0.2402742,0.2609688,0.0206946
15,0.71502507,0.6434049,"('boring', 'funny')",0.44489795,0.36142626,0.6918228,0.6513701,0.6172486,0.5520671,-0.0651815
16,-1.4934553,-1.457047,"('unpopular', 'popular')",0.23202507,0.2851995,0.7154003,0.69087803,-0.18201,-0.1603231,0.0216869
17,-0.120415315,-0.08056636,"('nasty', 'nice')",0.21329308,0.35186186,-0.23644127,-0.17946118,-0.0478545,0.0306114,0.0784659
18,-0.08555503,0.02739589,"('disagreeable', 'welcoming')",-0.5268028,-0.40015215,-0.27436814,-0.35499316,-0.2955753,-0.2425831,0.0529922
19,0.19984746,0.29358226,"('inhospitable', 'hospitable')",-0.61498165,-0.6087029,0.40258405,0.44557813,-0.0041834,0.0434858,0.0476692
20,-0.042805154,-0.05379454,"('rough', 'thoughtful')",-0.8188707,-0.7086794,0.85927063,0.82222766,-0.0008017,0.0199179,0.0207196
21,0.8066951,0.7395757,"('immoral', 'moral')",0.4772346,0.5163281,-0.7348764,-0.6717735,0.1830178,0.1947101,0.0116923
22,0.3834795,0.3224075,"('untrustworthy', 'trustworthy')",-0.3049602,-0.24080898,-1.0419534,-1.1140546,-0.3211447,-0.344152,-0.0230073
23,1.4689946,1.4679147,"('insincere', 'sincere')",0.6438234,0.6677881,5.4606414,5.384081,2.5244865,2.5065947,-0.0178918
24,1.9053794,1.902979,"('dishonest', 'honest')",-0.16422749,-0.17923482,0.8330516,0.7564295,0.8580678,0.8267245,-0.0313433
25,-0.7267199,-0.7376595,"('egoistic', 'altruistic')",0.3517322,0.40985137,1.7199584,1.6793175,0.4483236,0.4505031,0.0021795
26,1.0516696,1.0041449,"('hardhearted', 'benevolent')",0.8178902,0.9006887,1.7969044,1.741436,1.2221548,1.2154232,-0.0067316
