,objection_male,objection_female,tuple,average_male,average_female,female-male
0,0.6764854,0.3543761,"('unsociable', 'sociable')",0.6764854,0.3543761,-0.3221093
1,0.22353023,0.20160486,"('unfriendly', 'friendly')",0.2235302,0.2016049,-0.0219253
2,-0.29751855,-0.13650914,"('unlikable', 'likable')",-0.2975186,-0.1365091,0.1610095
3,1.275999,1.2178372,"('repellent', 'pleasant')",1.275999,1.2178372,-0.0581618
4,-7.4171734,-7.554048,"('disliked', 'liked')",-7.4171734,-7.5540481,-0.1368747
5,-1.7191982,-1.5157759,"('distant', 'outgoing')",-1.7191982,-1.5157759,0.2034223
6,-1.497987,-1.2979763,"('distant', 'open')",-1.497987,-1.2979763,0.2000107
7,1.9779752,1.7606696,"('insensitive', 'sensitive')",1.9779752,1.7606696,-0.2173056
8,0.2565983,0.40286595,"('unaffectionate', 'affectionate')",0.2565983,0.4028659,0.1462676
9,1.0308213,1.2636932,"('unaffectionate', 'caring')",1.0308213,1.2636932,0.2328719
10,2.2268095,2.1377075,"('unsympathetic', 'sympathetic')",2.2268095,2.1377075,-0.089102
11,2.7804654,2.8842664,"('unhelpful', 'helpful')",2.7804654,2.8842664,0.103801
12,-1.3475922,-1.2593482,"('unsupportive', 'supportive')",-1.3475922,-1.2593482,0.088244
13,0.7561768,0.6459143,"('impolite', 'polite')",0.7561768,0.6459143,-0.1102625
14,0.7461218,0.37338707,"('antisocial', 'social')",0.7461218,0.3733871,-0.3727347
15,0.48935214,0.40139526,"('boring', 'funny')",0.4893521,0.4013953,-0.0879568
16,-1.2604736,-1.1271834,"('unpopular', 'popular')",-1.2604736,-1.1271834,0.1332902
17,-0.25643998,-0.19898336,"('nasty', 'nice')",-0.25644,-0.1989834,0.0574566
18,-1.1906605,-1.1068648,"('disagreeable', 'welcoming')",-1.1906605,-1.1068648,0.0837957
19,-1.4141324,-1.2143397,"('inhospitable', 'hospitable')",-1.4141324,-1.2143397,0.1997927
20,1.0138178,0.7628696,"('rough', 'thoughtful')",1.0138178,0.7628696,-0.2509482
21,0.6904192,0.69224894,"('immoral', 'moral')",0.6904192,0.6922489,0.0018297
22,-0.07566565,-0.19690132,"('untrustworthy', 'trustworthy')",-0.0756657,-0.1969013,-0.1212356
23,6.7653356,6.893118,"('insincere', 'sincere')",6.7653356,6.8931179,0.1277823
24,2.1571503,2.205927,"('dishonest', 'honest')",2.1571503,2.2059269,0.0487766
25,-0.100106694,-0.03691648,"('egoistic', 'altruistic')",-0.1001067,-0.0369165,0.0631902
26,0.9988566,0.4982555,"('hardhearted', 'benevolent')",0.9988566,0.4982555,-0.5006011
27,1.966513,1.8114955,"('hardhearted', 'softhearted')",1.966513,1.8114955,-0.1550175
28,1.4199905,1.340497,"('disloyal', 'loyal')",1.4199905,1.340497,-0.0794935
29,-1.0197785,-1.2403846,"('unfair', 'fair')",-1.0197785,-1.2403846,-0.2206061
30,1.6984383,1.659413,"('intolerant', 'tolerant')",1.6984383,1.659413,-0.0390253
31,-2.8889313,-2.923557,"('evil', 'good')",-2.8889313,-2.923557,-0.0346257
32,1.4760911,1.2729789,"('unkind', 'kind')",1.4760911,1.2729789,-0.2031122
33,-0.83859843,-0.6952439,"('wrong', 'right')",-0.8385984,-0.6952439,0.1433545
34,4.612319,5.0119567,"('mean', 'honorable')",4.612319,5.0119567,0.3996377
35,-2.0199003,-2.0979521,"('corrupt', 'incorrupt')",-2.0199003,-2.0979521,-0.0780518
36,-2.3592582,-2.297523,"('hostile', 'amicable')",-2.3592582,-2.297523,0.0617352
37,1.2644371,1.2236167,"('fake', 'genuine')",1.2644371,1.2236167,-0.0408204
38,-0.1865541,-0.03221844,"('untruthful', 'truthful')",-0.1865541,-0.0322184,0.1543357
39,0.36875787,0.39901495,"('exploitative', 'cooperative')",0.3687579,0.3990149,0.030257
40,-1.4033657,-1.5945629,"('stingy', 'generous')",-1.4033657,-1.5945629,-0.1911972
41,0.4753912,0.23291823,"('unforgiving', 'forgiving')",0.4753912,0.2329182,-0.242473
42,-2.331621,-2.293764,"('unreliable', 'reliable')",-2.3316209,-2.2937641,0.0378568
