,cruise_male,cruise_female,tuple,average_male,average_female,female-male
0,-0.0059052743,0.18398106,"('unsociable', 'sociable')",-0.0059053,0.1839811,0.1898864
1,1.5950353,1.9239303,"('unfriendly', 'friendly')",1.5950353,1.9239303,0.328895
2,0.35751504,0.6727017,"('unlikable', 'likable')",0.357515,0.6727017,0.3151867
3,0.7984668,0.3711674,"('repellent', 'pleasant')",0.7984668,0.3711674,-0.4272994
4,-6.7750506,-6.920613,"('disliked', 'liked')",-6.7750506,-6.9206128,-0.1455622
5,-0.26666352,-0.18968502,"('distant', 'outgoing')",-0.2666635,-0.189685,0.0769785
6,0.237707,0.27939433,"('distant', 'open')",0.237707,0.2793943,0.0416873
7,1.1709545,1.1844714,"('insensitive', 'sensitive')",1.1709545,1.1844714,0.0135169
8,1.4891093,1.8491306,"('unaffectionate', 'affectionate')",1.4891093,1.8491306,0.3600213
9,1.4820695,2.0859284,"('unaffectionate', 'caring')",1.4820695,2.0859284,0.6038589
10,0.8395384,0.7631289,"('unsympathetic', 'sympathetic')",0.8395384,0.7631289,-0.0764095
11,1.3869108,1.4907497,"('unhelpful', 'helpful')",1.3869108,1.4907497,0.1038389
12,-1.3825328,-1.1342056,"('unsupportive', 'supportive')",-1.3825328,-1.1342056,0.2483272
13,-0.17891586,-0.10375969,"('impolite', 'polite')",-0.1789159,-0.1037597,0.0751562
14,0.07841498,0.15561135,"('antisocial', 'social')",0.078415,0.1556114,0.0771964
15,0.6003803,0.7946618,"('boring', 'funny')",0.6003803,0.7946618,0.1942815
16,-0.6165122,-0.32397598,"('unpopular', 'popular')",-0.6165122,-0.323976,0.2925362
17,0.015006281,0.053586252,"('nasty', 'nice')",0.0150063,0.0535863,0.03858
18,-0.22392428,-0.065212876,"('disagreeable', 'welcoming')",-0.2239243,-0.0652129,0.1587114
19,-0.32399833,-0.05841292,"('inhospitable', 'hospitable')",-0.3239983,-0.0584129,0.2655854
20,0.61112654,0.26913214,"('rough', 'thoughtful')",0.6111265,0.2691321,-0.3419944
21,-0.42890733,-0.5007441,"('immoral', 'moral')",-0.4289073,-0.5007441,-0.0718368
22,-0.33165023,-0.73285246,"('untrustworthy', 'trustworthy')",-0.3316502,-0.7328525,-0.4012023
23,5.9332194,6.247159,"('insincere', 'sincere')",5.9332194,6.247159,0.3139396
24,1.3534929,1.1518995,"('dishonest', 'honest')",1.3534929,1.1518995,-0.2015934
25,0.9773478,1.0296415,"('egoistic', 'altruistic')",0.9773478,1.0296415,0.0522937
