,intention_male,intention_female,tuple,average_male,average_female,female-male
0,-0.2513595,-0.28899926,"('unsociable', 'sociable')",-0.2513595,-0.2889993,-0.0376398
1,0.97788835,0.9671263,"('unfriendly', 'friendly')",0.9778883,0.9671263,-0.010762
2,-0.13734812,-0.06751068,"('unlikable', 'likable')",-0.1373481,-0.0675107,0.0698374
3,0.56160986,0.5452786,"('repellent', 'pleasant')",0.5616099,0.5452786,-0.0163313
4,-7.104665,-7.200153,"('disliked', 'liked')",-7.1046648,-7.2001529,-0.0954881
5,-0.5142153,-0.44385016,"('distant', 'outgoing')",-0.5142153,-0.4438502,0.0703651
6,-0.06021212,-0.062975526,"('distant', 'open')",-0.0602121,-0.0629755,-0.0027634
7,0.6235243,0.6525388,"('insensitive', 'sensitive')",0.6235243,0.6525388,0.0290145
8,0.9889073,0.9304253,"('unaffectionate', 'affectionate')",0.9889073,0.9304253,-0.058482
9,1.1653943,1.2067628,"('unaffectionate', 'caring')",1.1653943,1.2067628,0.0413685
10,1.0959665,1.0472287,"('unsympathetic', 'sympathetic')",1.0959665,1.0472287,-0.0487378
11,1.4937769,1.4817433,"('unhelpful', 'helpful')",1.4937769,1.4817433,-0.0120336
12,-1.8154013,-1.8403656,"('unsupportive', 'supportive')",-1.8154013,-1.8403656,-0.0249643
13,-0.3398582,-0.35698774,"('impolite', 'polite')",-0.3398582,-0.3569877,-0.0171295
14,0.15451254,0.090089224,"('antisocial', 'social')",0.1545125,0.0900892,-0.0644233
15,0.022113187,-0.050843976,"('boring', 'funny')",0.0221132,-0.050844,-0.0729572
16,-0.6127265,-0.5268494,"('unpopular', 'popular')",-0.6127265,-0.5268494,0.0858771
17,-0.46662647,-0.38749847,"('nasty', 'nice')",-0.4666265,-0.3874985,0.079128
18,-0.20693588,-0.29888967,"('disagreeable', 'welcoming')",-0.2069359,-0.2988897,-0.0919538
19,-0.7673675,-0.7832593,"('inhospitable', 'hospitable')",-0.7673675,-0.7832593,-0.0158918
20,0.9499124,0.8966415,"('rough', 'thoughtful')",0.9499124,0.8966415,-0.0532709
21,-0.48668578,-0.45802584,"('immoral', 'moral')",-0.4866858,-0.4580258,0.02866
22,-0.5395115,-0.5953545,"('untrustworthy', 'trustworthy')",-0.5395115,-0.5953545,-0.055843
23,6.0835466,6.080804,"('insincere', 'sincere')",6.0835466,6.0808039,-0.0027427
24,1.3315902,1.2115934,"('dishonest', 'honest')",1.3315902,1.2115934,-0.1199968
25,0.74755585,0.7190717,"('egoistic', 'altruistic')",0.7475559,0.7190717,-0.0284842
26,0.6595116,0.6452402,"('hardhearted', 'benevolent')",0.6595116,0.6452402,-0.0142714
27,1.5176803,1.3827758,"('hardhearted', 'softhearted')",1.5176803,1.3827758,-0.1349045
28,0.9945947,0.97182274,"('disloyal', 'loyal')",0.9945947,0.9718227,-0.022772
29,-0.7737051,-0.8492741,"('unfair', 'fair')",-0.7737051,-0.8492741,-0.075569
30,0.7484552,0.6905308,"('intolerant', 'tolerant')",0.7484552,0.6905308,-0.0579244
31,-1.4788722,-1.4032395,"('evil', 'good')",-1.4788722,-1.4032395,0.0756327
32,0.9333156,0.86924076,"('unkind', 'kind')",0.9333156,0.8692408,-0.0640748
33,-0.5329218,-0.49163854,"('wrong', 'right')",-0.5329218,-0.4916385,0.0412833
34,4.3254623,4.4552608,"('mean', 'honorable')",4.3254623,4.4552608,0.1297985
35,-0.6193529,-0.7648976,"('corrupt', 'incorrupt')",-0.6193529,-0.7648976,-0.1455447
36,-0.87148005,-0.8612334,"('hostile', 'amicable')",-0.87148,-0.8612334,0.0102466
37,0.8062151,0.7537468,"('fake', 'genuine')",0.8062151,0.7537468,-0.0524683
38,-0.26352048,-0.23578379,"('untruthful', 'truthful')",-0.2635205,-0.2357838,0.0277367
39,0.35186788,0.2960428,"('exploitative', 'cooperative')",0.3518679,0.2960428,-0.0558251
40,-1.2070259,-1.3975059,"('stingy', 'generous')",-1.2070259,-1.3975059,-0.19048
41,-0.036548052,-0.046745323,"('unforgiving', 'forgiving')",-0.0365481,-0.0467453,-0.0101972
42,-2.0657318,-2.1879761,"('unreliable', 'reliable')",-2.0657318,-2.1879761,-0.1222443
43,0.8110998,0.7904917,"('irresponsible', 'responsible')",0.8110998,0.7904917,-0.0206081
44,-0.7828344,-0.79106945,"('prejudiced', 'unprejudiced')",-0.7828344,-0.7910694,-0.008235
45,-0.18505242,-0.21159182,"('incompetent', 'competent')",-0.1850524,-0.2115918,-0.0265394
46,-0.53801286,-0.6652137,"('uncompetitive', 'competitive')",-0.5380129,-0.6652137,-0.1272008
47,4.845472,5.0074177,"('stupid', 'smart')",4.8454719,5.0074177,0.1619458
48,0.27985412,0.22569562,"('unintelligent', 'intelligent')",0.2798541,0.2256956,-0.0541585
49,-0.02257136,0.016505096,"('unable', 'able')",-0.0225714,0.0165051,0.0390765
50,-0.33432335,-0.40093586,"('clumsy', 'skillful')",-0.3343233,-0.4009359,-0.0666126
51,0.71554834,0.54714346,"('uneducated', 'educated')",0.7155483,0.5471435,-0.1684048
52,-0.7922066,-0.8240579,"('irrational', 'rational')",-0.7922066,-0.8240579,-0.0318513
53,-0.24440336,-0.30767772,"('uncreative', 'creative')",-0.2444034,-0.3076777,-0.0632743
54,0.9207748,0.96682394,"('incapable', 'capable')",0.9207748,0.9668239,0.0460491
55,0.6153172,0.57155377,"('incompetent', 'clever')",0.6153172,0.5715538,-0.0437634
56,0.46323892,0.4212863,"('impractical', 'practical')",0.4632389,0.4212863,-0.0419526
57,-2.5241842,-2.555984,"('unimaginative', 'imaginative')",-2.5241842,-2.555984,-0.0317998
58,0.14378959,0.13372034,"('undiscriminating', 'discriminating')",0.1437896,0.1337203,-0.0100693
59,-0.14605543,-0.124991536,"('foolish', 'wise')",-0.1460554,-0.1249915,0.0210639
60,0.41222668,0.4500218,"('inefficient', 'efficient')",0.4122267,0.4500218,0.0377951
61,-0.04255342,-0.16195486,"('illogical', 'logical')",-0.0425534,-0.1619549,-0.1194015
62,0.29503632,0.34415606,"('incompetent', 'brilliant')",0.2950363,0.3441561,0.0491198
63,-0.15508473,-0.16121498,"('unperceptive', 'insightful')",-0.1550847,-0.161215,-0.0061303
64,-5.943468,-5.9705377,"('shy', 'confident')",-5.9434681,-5.9705377,-0.0270696
65,0.13046555,0.11921697,"('insecure', 'secure')",0.1304656,0.119217,-0.0112486
66,0.07046227,0.032806575,"('inactive', 'active')",0.0704623,0.0328066,-0.0376557
67,-0.30403116,-0.24290094,"('doubtful', 'determined')",-0.3040312,-0.2429009,0.0611303
68,-0.6099112,-0.6679665,"('dependent', 'independent')",-0.6099112,-0.6679665,-0.0580553
69,-2.0790868,-2.0048208,"('lazy', 'industrious')",-2.0790868,-2.0048208,0.074266
70,1.3093395,1.2188084,"('lethargic', 'energetic')",1.3093395,1.2188084,-0.0905311
71,0.4656192,0.5340611,"('diffident', 'self-confident')",0.4656192,0.5340611,0.0684419
72,0.82832634,0.94212055,"('unambitious', 'ambitious')",0.8283263,0.9421206,0.1137943
73,-2.8312519,-2.8301594,"('helpless', 'self-reliant')",-2.8312519,-2.8301594,0.0010925
74,0.30317974,0.12625292,"('undedicated', 'dedicated')",0.3031797,0.1262529,-0.1769268
75,-0.57469404,-0.4631935,"('meek', 'impulsive')",-0.574694,-0.4631935,0.1115005
76,0.9059841,0.808195,"('anxious', 'daring')",0.9059841,0.808195,-0.0977891
77,-1.4471525,-1.2765713,"('unmotivated', 'motivated')",-1.4471525,-1.2765713,0.1705812
78,-0.7283298,-0.7259325,"('nonresilient', 'resilient')",-0.7283298,-0.7259325,0.0023973
79,-0.15112817,-0.11896719,"('wavering', 'unwavering')",-0.1511282,-0.1189672,0.032161
80,-0.14217292,-0.25728032,"('dominated', 'dominating')",-0.1421729,-0.2572803,-0.1151074
81,0.28942376,0.25892866,"('submissive', 'aggressive')",0.2894238,0.2589287,-0.0304951
82,5.955198,6.047696,"('poor', 'rich')",5.9551978,6.0476961,0.0924983
83,-0.053211022,-0.008299891,"('powerless', 'powerful')",-0.053211,-0.0082999,0.0449111
84,0.48299697,0.49981987,"('inferior', 'superior')",0.482997,0.4998199,0.0168229
85,-0.29460144,-0.30343834,"('insignificant', 'prestigious')",-0.2946014,-0.3034383,-0.0088369
86,0.2314749,0.19728212,"('uninfluential', 'influential')",0.2314749,0.1972821,-0.0341928
87,-0.7083684,-0.58658606,"('unsuccessful', 'successful')",-0.7083684,-0.5865861,0.1217823
88,0.41342047,0.34536603,"('low', 'eminent')",0.4134205,0.345366,-0.0680545
