,premeditation_male,premeditation_female,tuple,average_male,average_female,female-male
0,-0.41999382,-0.72559553,"('unsociable', 'sociable')",-0.4199938,-0.7255955,-0.3056017
1,-0.94624865,-1.0302925,"('unfriendly', 'friendly')",-0.9462487,-1.0302925,-0.0840438
2,0.58206874,0.6508989,"('unlikable', 'likable')",0.5820687,0.6508989,0.0688302
3,-0.1850517,-0.16803978,"('repellent', 'pleasant')",-0.1850517,-0.1680398,0.0170119
4,-1.8066704,-2.0672097,"('disliked', 'liked')",-1.8066704,-2.0672097,-0.2605393
5,-0.39359275,-0.3279778,"('distant', 'outgoing')",-0.3935927,-0.3279778,0.0656149
6,-0.38246936,-0.3574041,"('distant', 'open')",-0.3824694,-0.3574041,0.0250653
7,-0.63252604,-0.54384446,"('insensitive', 'sensitive')",-0.632526,-0.5438445,0.0886815
8,-0.99094415,-0.97085613,"('unaffectionate', 'affectionate')",-0.9909441,-0.9708561,0.020088
9,-1.4614725,-1.4150993,"('unaffectionate', 'caring')",-1.4614725,-1.4150993,0.0463732
10,-1.2544132,-1.2218473,"('unsympathetic', 'sympathetic')",-1.2544132,-1.2218473,0.0325659
11,0.3369094,0.5041348,"('unhelpful', 'helpful')",0.3369094,0.5041348,0.1672254
12,-1.5335138,-1.453151,"('unsupportive', 'supportive')",-1.5335138,-1.453151,0.0803628
13,-0.88008654,-0.77880627,"('impolite', 'polite')",-0.8800865,-0.7788063,0.1012802
14,0.18534051,0.16532059,"('antisocial', 'social')",0.1853405,0.1653206,-0.0200199
15,0.966151,0.7953231,"('boring', 'funny')",0.966151,0.7953231,-0.1708279
16,0.67313486,0.4460607,"('unpopular', 'popular')",0.6731349,0.4460607,-0.2270742
17,-0.3749047,-0.35835192,"('nasty', 'nice')",-0.3749047,-0.3583519,0.0165528
18,-0.2640457,-0.32640496,"('disagreeable', 'welcoming')",-0.2640457,-0.326405,-0.0623593
19,0.05476729,-0.08762666,"('inhospitable', 'hospitable')",0.0547673,-0.0876267,-0.142394
20,0.88638276,0.9428439,"('rough', 'thoughtful')",0.8863828,0.9428439,0.0564611
21,-0.13154456,-0.12153425,"('immoral', 'moral')",-0.1315446,-0.1215343,0.0100103
22,0.10765473,0.043308392,"('untrustworthy', 'trustworthy')",0.1076547,0.0433084,-0.0643463
23,1.9380984,1.9624527,"('insincere', 'sincere')",1.9380984,1.9624527,0.0243543
24,-0.4275165,-0.33778152,"('dishonest', 'honest')",-0.4275165,-0.3377815,0.089735
25,0.8144829,0.6132623,"('egoistic', 'altruistic')",0.8144829,0.6132623,-0.2012206
26,0.72136587,0.5648969,"('hardhearted', 'benevolent')",0.7213659,0.5648969,-0.156469
27,-0.68542576,-0.5542781,"('hardhearted', 'softhearted')",-0.6854258,-0.5542781,0.1311477
28,-0.3221595,-0.29975733,"('disloyal', 'loyal')",-0.3221595,-0.2997573,0.0224022
