,billing_male,billing_female,tuple,average_male,average_female,female-male
0,0.19455704,0.05174262,"('unsociable', 'sociable')",0.194557,0.0517426,-0.1428144
1,1.0222198,0.96045566,"('unfriendly', 'friendly')",1.0222198,0.9604557,-0.0617641
2,0.25577143,0.46118405,"('unlikable', 'likable')",0.2557714,0.4611841,0.2054127
3,0.7381352,0.8452083,"('repellent', 'pleasant')",0.7381352,0.8452083,0.1070731
4,-7.342427,-7.419645,"('disliked', 'liked')",-7.3424268,-7.4196448,-0.077218
5,-0.59254897,-0.39908278,"('distant', 'outgoing')",-0.592549,-0.3990828,0.1934662
6,-0.3824778,-0.2201051,"('distant', 'open')",-0.3824778,-0.2201051,0.1623727
7,0.6468253,0.6323257,"('insensitive', 'sensitive')",0.6468253,0.6323257,-0.0144996
8,0.8611202,0.8673701,"('unaffectionate', 'affectionate')",0.8611202,0.8673701,0.0062499
9,1.5086643,1.6394594,"('unaffectionate', 'caring')",1.5086643,1.6394594,0.1307951
10,1.3790965,1.4854158,"('unsympathetic', 'sympathetic')",1.3790965,1.4854158,0.1063193
11,2.1093569,2.2073002,"('unhelpful', 'helpful')",2.1093569,2.2073002,0.0979433
12,-1.4772809,-1.5059856,"('unsupportive', 'supportive')",-1.4772809,-1.5059856,-0.0287047
13,0.4732661,0.47791454,"('impolite', 'polite')",0.4732661,0.4779145,0.0046484
14,-0.116566695,-0.24548288,"('antisocial', 'social')",-0.1165667,-0.2454829,-0.1289162
15,0.15787107,0.04254301,"('boring', 'funny')",0.1578711,0.042543,-0.1153281
16,-0.55243003,-0.46492618,"('unpopular', 'popular')",-0.55243,-0.4649262,0.0875038
17,-0.094892815,-0.071107134,"('nasty', 'nice')",-0.0948928,-0.0711071,0.0237857
18,-0.73778605,-0.8269331,"('disagreeable', 'welcoming')",-0.7377861,-0.8269331,-0.089147
19,-0.838557,-0.6680857,"('inhospitable', 'hospitable')",-0.838557,-0.6680857,0.1704713
20,0.76699245,0.5648261,"('rough', 'thoughtful')",0.7669924,0.5648261,-0.2021663
21,-0.047433164,0.19314292,"('immoral', 'moral')",-0.0474332,0.1931429,0.2405761
22,-0.45577273,-0.4858564,"('untrustworthy', 'trustworthy')",-0.4557727,-0.4858564,-0.0300837
23,6.26163,6.3337965,"('insincere', 'sincere')",6.2616301,6.3337965,0.0721664
24,1.5506822,1.5937744,"('dishonest', 'honest')",1.5506822,1.5937744,0.0430922
25,0.19130325,0.1783584,"('egoistic', 'altruistic')",0.1913033,0.1783584,-0.0129449
26,0.3648635,0.119480446,"('hardhearted', 'benevolent')",0.3648635,0.1194804,-0.2453831
27,1.4740753,1.3378994,"('hardhearted', 'softhearted')",1.4740753,1.3378994,-0.1361759
28,0.9983623,1.0248871,"('disloyal', 'loyal')",0.9983623,1.0248871,0.0265248
29,-0.5661346,-0.7752427,"('unfair', 'fair')",-0.5661346,-0.7752427,-0.2091081
30,0.7417799,0.8226268,"('intolerant', 'tolerant')",0.7417799,0.8226268,0.0808469
31,-1.9727026,-2.008103,"('evil', 'good')",-1.9727026,-2.0081029,-0.0354003
32,1.386482,1.3110807,"('unkind', 'kind')",1.386482,1.3110807,-0.0754013
33,-0.49740428,-0.4251022,"('wrong', 'right')",-0.4974043,-0.4251022,0.0723021
34,4.4910226,4.7749133,"('mean', 'honorable')",4.4910226,4.7749133,0.2838907
35,-1.4256454,-1.5649154,"('corrupt', 'incorrupt')",-1.4256454,-1.5649154,-0.13927
36,-1.2019953,-1.2512401,"('hostile', 'amicable')",-1.2019953,-1.2512401,-0.0492448
37,0.9122951,0.8587554,"('fake', 'genuine')",0.9122951,0.8587554,-0.0535397
