,angle_male,angle_female,tuple,average_male,average_female,female-male
0,-0.017299073,-0.038042653,"('unsociable', 'sociable')",-0.0172991,-0.0380427,-0.0207436
1,1.3979266,1.2629958,"('unfriendly', 'friendly')",1.3979266,1.2629958,-0.1349308
2,0.10843055,0.157571,"('unlikable', 'likable')",0.1084305,0.157571,0.0491405
3,0.2662964,0.43000215,"('repellent', 'pleasant')",0.2662964,0.4300022,0.1637058
4,-7.646352,-7.7111626,"('disliked', 'liked')",-7.6463518,-7.7111626,-0.0648108
5,-0.93406546,-1.0895647,"('distant', 'outgoing')",-0.9340655,-1.0895647,-0.1554992
6,-0.24073005,-0.3326155,"('distant', 'open')",-0.24073,-0.3326155,-0.0918855
7,1.0490774,1.2422582,"('insensitive', 'sensitive')",1.0490774,1.2422582,0.1931808
8,0.9847501,0.8914812,"('unaffectionate', 'affectionate')",0.9847501,0.8914812,-0.0932689
9,1.8864515,1.8234959,"('unaffectionate', 'caring')",1.8864515,1.8234959,-0.0629556
10,1.1427989,1.2551087,"('unsympathetic', 'sympathetic')",1.1427989,1.2551087,0.1123098
11,1.399145,1.4942846,"('unhelpful', 'helpful')",1.399145,1.4942846,0.0951396
12,-1.5698067,-1.5439626,"('unsupportive', 'supportive')",-1.5698067,-1.5439626,0.0258441
13,-0.48290205,-0.47371382,"('impolite', 'polite')",-0.4829021,-0.4737138,0.0091883
14,-0.022025283,0.0033155615,"('antisocial', 'social')",-0.0220253,0.0033156,0.0253409
15,0.19233918,0.12381068,"('boring', 'funny')",0.1923392,0.1238107,-0.0685285
16,-0.64332056,-0.7034819,"('unpopular', 'popular')",-0.6433206,-0.7034819,-0.0601613
17,-0.39692658,-0.42964453,"('nasty', 'nice')",-0.3969266,-0.4296445,-0.0327179
18,-0.69626474,-0.5866145,"('disagreeable', 'welcoming')",-0.6962647,-0.5866145,0.1096502
19,-0.3731269,-0.42372507,"('inhospitable', 'hospitable')",-0.3731269,-0.4237251,-0.0505982
20,0.88291997,0.9521614,"('rough', 'thoughtful')",0.88292,0.9521614,0.0692414
21,0.07121478,0.114822924,"('immoral', 'moral')",0.0712148,0.1148229,0.0436081
22,-0.8458807,-0.83451086,"('untrustworthy', 'trustworthy')",-0.8458807,-0.8345109,0.0113698
23,6.5375867,6.6193967,"('insincere', 'sincere')",6.5375867,6.6193967,0.08181
24,1.7118114,1.6379622,"('dishonest', 'honest')",1.7118114,1.6379622,-0.0738492
25,1.1853348,1.0269291,"('egoistic', 'altruistic')",1.1853348,1.0269291,-0.1584057
26,0.9475127,0.93623346,"('hardhearted', 'benevolent')",0.9475127,0.9362335,-0.0112792
27,1.8678432,1.7897929,"('hardhearted', 'softhearted')",1.8678432,1.7897929,-0.0780503
28,1.2375015,1.1290883,"('disloyal', 'loyal')",1.2375015,1.1290883,-0.1084132
29,-1.2120968,-1.3343047,"('unfair', 'fair')",-1.2120968,-1.3343047,-0.1222079
30,1.2462391,1.3276513,"('intolerant', 'tolerant')",1.2462391,1.3276513,0.0814122
31,-1.3129927,-1.3353753,"('evil', 'good')",-1.3129927,-1.3353753,-0.0223826
32,1.1076716,1.0211383,"('unkind', 'kind')",1.1076716,1.0211383,-0.0865333
33,-0.35190344,-0.4430692,"('wrong', 'right')",-0.3519034,-0.4430692,-0.0911658
34,5.1543,5.2346644,"('mean', 'honorable')",5.1543002,5.2346644,0.0803642
35,-0.66133976,-0.923113,"('corrupt', 'incorrupt')",-0.6613398,-0.923113,-0.2617732
36,-0.050112687,-0.25954217,"('hostile', 'amicable')",-0.0501127,-0.2595422,-0.2094295
37,0.58856344,0.6501301,"('fake', 'genuine')",0.5885634,0.6501301,0.0615667
38,0.1759234,0.05444838,"('untruthful', 'truthful')",0.1759234,0.0544484,-0.121475
39,0.46169248,0.41762453,"('exploitative', 'cooperative')",0.4616925,0.4176245,-0.044068
40,-1.9207466,-1.9340675,"('stingy', 'generous')",-1.9207466,-1.9340675,-0.0133209
