,angle_male,angle_female,tuple,average_male,average_female,female-male
0,0.29008976,0.12887323,"('unsociable', 'sociable')",0.2900898,0.1288732,-0.1612166
1,1.2451723,1.3482152,"('unfriendly', 'friendly')",1.2451723,1.3482152,0.1030429
2,0.6092729,0.8380047,"('unlikable', 'likable')",0.6092729,0.8380047,0.2287318
3,0.79060185,0.8036914,"('repellent', 'pleasant')",0.7906018,0.8036914,0.0130896
4,-7.127452,-6.935497,"('disliked', 'liked')",-7.1274519,-6.9354968,0.1919551
5,-0.8225778,-0.47385976,"('distant', 'outgoing')",-0.8225778,-0.4738598,0.348718
6,-0.29238844,0.03983164,"('distant', 'open')",-0.2923884,0.0398316,0.33222
7,1.0021619,1.0420215,"('insensitive', 'sensitive')",1.0021619,1.0420215,0.0398596
8,0.86235625,0.92861927,"('unaffectionate', 'affectionate')",0.8623562,0.9286193,0.0662631
9,1.9448323,2.0466123,"('unaffectionate', 'caring')",1.9448323,2.0466123,0.10178
10,1.4913104,1.5624801,"('unsympathetic', 'sympathetic')",1.4913104,1.5624801,0.0711697
11,1.9429172,2.0585701,"('unhelpful', 'helpful')",1.9429172,2.0585701,0.1156529
12,-1.4408042,-1.3726172,"('unsupportive', 'supportive')",-1.4408042,-1.3726172,0.068187
13,0.2583159,0.16785944,"('impolite', 'polite')",0.2583159,0.1678594,-0.0904565
14,-0.11059656,-0.3854216,"('antisocial', 'social')",-0.1105966,-0.3854216,-0.274825
15,0.5039992,0.64249074,"('boring', 'funny')",0.5039992,0.6424907,0.1384915
16,-0.36032888,-0.24954009,"('unpopular', 'popular')",-0.3603289,-0.2495401,0.1107888
17,-0.271582,-0.24884742,"('nasty', 'nice')",-0.271582,-0.2488474,0.0227346
18,-0.71641576,-0.72872865,"('disagreeable', 'welcoming')",-0.7164158,-0.7287287,-0.0123129
19,-0.7724818,-0.4606255,"('inhospitable', 'hospitable')",-0.7724818,-0.4606255,0.3118563
20,0.728907,0.60604894,"('rough', 'thoughtful')",0.728907,0.6060489,-0.1228581
21,0.34457234,0.31959215,"('immoral', 'moral')",0.3445723,0.3195921,-0.0249802
22,-0.50646126,-0.4489676,"('untrustworthy', 'trustworthy')",-0.5064613,-0.4489676,0.0574937
23,6.400181,6.3407607,"('insincere', 'sincere')",6.4001808,6.3407607,-0.0594201
24,1.9467465,1.9634714,"('dishonest', 'honest')",1.9467465,1.9634714,0.0167249
25,0.59071755,0.45281383,"('egoistic', 'altruistic')",0.5907176,0.4528138,-0.1379038
26,0.50100726,0.41341227,"('hardhearted', 'benevolent')",0.5010073,0.4134123,-0.087595
27,1.651047,1.5101477,"('hardhearted', 'softhearted')",1.651047,1.5101477,-0.1408993
28,1.026735,0.9263111,"('disloyal', 'loyal')",1.0267349,0.9263111,-0.1004238
29,-1.0748382,-1.0193161,"('unfair', 'fair')",-1.0748382,-1.0193161,0.0555221
30,1.295114,1.2201877,"('intolerant', 'tolerant')",1.295114,1.2201877,-0.0749263
31,-1.6402705,-1.5035995,"('evil', 'good')",-1.6402705,-1.5035995,0.136671
32,1.3131632,1.3207172,"('unkind', 'kind')",1.3131632,1.3207172,0.007554
33,-0.26231328,-0.2245313,"('wrong', 'right')",-0.2623133,-0.2245313,0.037782
34,4.7868357,4.938987,"('mean', 'honorable')",4.7868357,4.9389868,0.1521511
35,-1.1626323,-1.1983482,"('corrupt', 'incorrupt')",-1.1626323,-1.1983482,-0.0357159
36,-0.57903886,-0.60048026,"('hostile', 'amicable')",-0.5790389,-0.6004803,-0.0214414
37,0.48288956,0.53225374,"('fake', 'genuine')",0.4828896,0.5322537,0.0493641
38,0.13629009,0.20487672,"('untruthful', 'truthful')",0.1362901,0.2048767,0.0685866
39,-0.010637561,-0.20238012,"('exploitative', 'cooperative')",-0.0106376,-0.2023801,-0.1917425
40,-2.0451312,-2.1200092,"('stingy', 'generous')",-2.0451312,-2.1200092,-0.074878
41,0.109437265,-0.0019163843,"('unforgiving', 'forgiving')",0.1094373,-0.0019164,-0.1113537
42,-2.0940666,-1.8933512,"('unreliable', 'reliable')",-2.0940666,-1.8933512,0.2007154
43,1.3077126,1.392959,"('irresponsible', 'responsible')",1.3077126,1.392959,0.0852464
44,-1.6306983,-1.5547911,"('prejudiced', 'unprejudiced')",-1.6306983,-1.5547911,0.0759072
45,0.24695484,0.31039304,"('incompetent', 'competent')",0.2469548,0.310393,0.0634382
46,-0.3056014,-0.31724977,"('uncompetitive', 'competitive')",-0.3056014,-0.3172498,-0.0116484
47,5.2147493,5.3103204,"('stupid', 'smart')",5.2147493,5.3103204,0.0955711
48,1.2767938,1.1038594,"('unintelligent', 'intelligent')",1.2767938,1.1038594,-0.1729344
49,0.92519313,1.1099002,"('unable', 'able')",0.9251931,1.1099002,0.1847071
50,0.029303262,0.1466234,"('clumsy', 'skillful')",0.0293033,0.1466234,0.1173201
51,0.2865542,0.36214334,"('uneducated', 'educated')",0.2865542,0.3621433,0.0755891
52,-0.34238347,-0.39798492,"('irrational', 'rational')",-0.3423835,-0.3979849,-0.0556014
53,0.062025778,0.21953227,"('uncreative', 'creative')",0.0620258,0.2195323,0.1575065
54,1.0408965,1.3893533,"('incapable', 'capable')",1.0408965,1.3893533,0.3484568
55,1.0299948,0.90396625,"('incompetent', 'clever')",1.0299948,0.9039662,-0.1260286
56,1.3411257,1.3974618,"('impractical', 'practical')",1.3411257,1.3974618,0.0563361
57,-2.4222255,-2.2252026,"('unimaginative', 'imaginative')",-2.4222255,-2.2252026,0.1970229
58,-0.167711,-0.060668886,"('undiscriminating', 'discriminating')",-0.167711,-0.0606689,0.1070421
59,0.19865143,0.29141283,"('foolish', 'wise')",0.1986514,0.2914128,0.0927614
60,1.2925693,1.165709,"('inefficient', 'efficient')",1.2925693,1.165709,-0.1268603
